iyear,imonth,count
1992,1,3
1992,2,3
1992,3,2
1992,4,1
1992,6,3
1992,9,2
1992,10,7
1994,1,2
1994,2,1
1994,3,5
1994,4,7
1994,5,5
1994,6,8
1994,7,3
1994,9,3
1994,10,5
1994,11,7
1994,12,1
1995,1,4
1995,2,1
1995,3,3
1995,4,1
1995,5,2
1995,6,2
1995,7,1
1995,8,4
1995,9,4
1995,10,6
1995,11,4
1995,12,5
1996,1,7
1996,2,7
1996,3,4
1996,4,6
1996,5,4
1996,6,4
1996,7,8
1996,8,11
1996,9,3
1996,10,1
1996,11,7
1996,12,4
1997,1,7
1997,2,4
1997,3,6
1997,4,7
1997,5,4
1997,6,5
1997,7,18
1997,8,8
1997,9,5
1997,11,2
1997,12,11
1998,1,3
1998,2,1
1998,4,2
1998,5,3
1998,6,1
1998,7,2
1998,8,4
1998,9,5
1998,10,4
1998,11,1
1999,1,1
1999,2,2
1999,3,6
1999,4,6
1999,5,6
1999,6,11
1999,7,9
1999,8,2
1999,9,4
1999,10,2
1999,11,1
1999,12,4
2000,1,4
2000,2,4
2000,3,4
2000,5,11
2000,6,17
2000,7,18
2000,8,15
2000,9,25
2000,10,21
2000,11,10
2000,12,9
2001,1,16
2001,2,6
2001,3,14
2001,4,8
2001,5,4
2001,6,4
2001,7,2
2001,8,48
2001,9,12
2001,11,12
2001,12,9
2002,1,19
2002,2,12
2002,3,1
2002,4,3
2002,5,9
2002,6,6
2002,7,12
2002,8,14
2002,9,1
2002,10,3
2002,11,8
2002,12,1
2003,1,16
2003,2,5
2003,3,9
2003,4,3
2003,5,13
2003,6,4
2003,7,11
2003,8,1
2003,9,3
2003,10,1
2003,11,6
2003,12,4
2004,2,2
2004,3,5
2004,4,1
2004,5,2
2004,6,5
2004,7,8
2004,8,5
2004,9,9
2004,10,3
2004,11,1
2004,12,2
2005,1,4
2005,3,9
2005,4,5
2005,5,4
2005,6,3
2005,7,14
2005,8,9
2005,9,6
2005,10,9
2005,12,1
2006,1,3
2006,2,3
2006,4,15
2006,5,1
2006,6,3
2006,7,10
2006,8,17
2006,9,1
2006,10,1
2006,11,2
2007,2,7
2007,4,2
2007,6,4
2007,7,5
2007,8,9
2007,9,1
2007,10,2
2007,11,20
2007,12,1
2008,1,7
2008,2,4
2008,3,4
2008,4,11
2008,5,16
2008,6,14
2008,7,28
2008,8,17
2008,9,8
2008,10,15
2008,11,21
2008,12,25
2009,1,8
2009,2,11
2009,3,10
2009,4,9
2009,5,14
2009,6,16
2009,7,18
2009,8,13
2009,9,7
2009,10,15
2009,11,24
2009,12,7
2010,1,14
2010,2,19
2010,3,8
2010,4,18
2010,5,12
2010,6,16
2010,7,33
2010,8,23
2010,9,28
2010,10,18
2010,11,36
2010,12,26
2011,1,21
2011,2,29
2011,3,18
2011,4,17
2011,5,15
2011,6,18
2011,7,15
2011,8,10
2011,9,16
2011,10,10
2011,11,13
2011,12,6
2012,1,9
2012,2,2
2012,3,9
2012,4,8
2012,5,18
2012,6,22
2012,7,14
2012,8,29
2012,9,8
2012,10,16
2012,11,9
2012,12,7
2013,1,11
2013,2,8
2013,3,4
2013,4,8
2013,5,14
2013,6,7
2013,7,17
2013,8,13
2013,9,11
2013,10,17
2013,11,18
2013,12,17
2014,1,9
2014,2,1
2014,3,1
2014,4,4
2014,5,5
2014,6,7
2014,7,5
2014,8,6
2014,9,3
2014,10,3
2014,12,4
2015,2,2
2015,3,2
2015,7,2
2015,8,3
2015,9,2
2015,10,4
2015,11,2
2015,12,5
2016,2,2
2016,3,7
2016,4,7
2016,5,7
2016,6,7
2016,8,7
2016,9,6
2016,10,9
2016,12,4
2017,1,2
2017,3,3
2017,4,7
2017,5,3
2017,6,2
2017,7,1
2017,8,4
2017,9,5
2017,10,2
2017,11,2
2017,12,3
2018,1,4
2018,2,1
2018,3,1
2018,4,1
2018,5,3
2018,6,1
2018,7,1
2018,8,3
2018,9,1
2018,10,4
2018,11,3
2019,1,2
2019,2,1
2019,4,1
2019,7,2
2019,11,2
2019,12,2
2020,2,1
2020,3,1
2020,4,1
2020,5,1
2020,6,1
2020,7,1
2020,10,1
2020,11,1
2020,12,4
