iyear,imonth,count
1991,2,2
1991,9,1
1992,2,2
1992,3,6
1992,4,1
1992,5,6
1992,11,1
1992,12,2
1994,2,3
1994,3,2
1994,4,15
1994,5,5
1994,6,4
1994,10,3
1994,12,1
1995,1,4
1995,3,2
1995,4,1
1995,7,2
1995,8,2
1995,9,1
1995,10,1
1995,11,4
1996,1,1
1996,2,4
1996,3,1
1996,5,2
1996,6,1
1996,7,5
1996,12,1
1997,1,7
1997,2,5
1997,4,3
1997,5,1
1997,6,2
1997,8,1
1997,9,1
1997,10,2
1997,11,2
1997,12,9
1998,1,2
1998,3,1
1998,4,1
1998,7,2
1998,8,2
1998,9,1
2000,5,1
2001,6,1
2001,8,1
2005,7,1
2008,12,1
2009,9,1
2010,2,3
2010,3,1
2010,5,2
2010,7,1
2010,8,1
2011,1,1
2011,7,1
2012,1,2
2012,3,3
2012,11,1
2013,3,1
2013,7,1
2013,9,2
2014,1,1
2014,4,1
2016,4,1
2017,5,1
2017,6,1
2018,6,2
2018,7,1
2018,12,2
2019,10,2
2019,11,1
2020,6,1
