iyear,imonth,count
1977,5,1
1979,11,1
1984,11,2
1985,3,1
1985,5,1
1986,12,1
1988,3,1
1989,7,3
1991,2,1
1991,3,1
1994,3,1
1994,4,1
1995,10,2
1995,11,1
1996,6,1
2000,8,1
2000,10,1
2000,11,2
2000,12,1
2001,3,1
2001,5,1
2001,10,1
2002,6,1
2002,11,1
2003,5,4
2003,9,1
2003,11,1
2003,12,2
2004,4,2
2004,5,4
2004,6,4
2004,8,1
2004,9,3
2004,10,1
2004,12,2
2005,10,1
2006,2,1
2006,5,2
2007,2,1
2009,8,1
2009,10,1
2009,11,1
2011,6,1
2011,10,1
2012,1,2
2012,3,1
2012,7,2
2012,11,1
2013,2,3
2013,6,1
2013,8,1
2013,11,1
2014,1,1
2014,2,1
2014,4,2
2014,7,3
2014,9,2
2014,10,1
2014,11,3
2014,12,1
2015,1,2
2015,3,1
2015,4,8
2015,5,23
2015,6,11
2015,7,12
2015,8,13
2015,9,12
2015,10,3
2015,11,7
2015,12,12
2016,1,12
2016,2,12
2016,3,3
2016,4,5
2016,5,7
2016,6,2
2016,7,13
2016,8,22
2016,9,8
2016,10,31
2016,11,13
2016,12,6
2017,1,3
2017,2,11
2017,3,4
2017,4,7
2017,5,5
2017,6,6
2017,7,8
2017,8,2
2017,9,4
2017,10,3
2017,11,3
2017,12,1
2018,1,6
2018,2,2
2018,3,6
2018,4,16
2018,5,12
2018,6,8
2018,7,10
2018,8,13
2018,9,13
2018,10,3
2018,11,2
2018,12,3
2019,1,1
2019,3,1
2019,4,4
2019,5,7
2019,6,11
2019,7,6
2019,8,6
2019,9,4
2019,11,2
2019,12,1
2020,1,2
2020,2,1
2020,3,2
2020,6,6
2020,7,2
2020,8,11
2020,9,10
2020,10,16
2020,11,7
2020,12,3
