iyear,imonth,count
1980,3,1
1988,5,1
1988,12,2
1990,4,1
1990,5,2
1990,6,1
1990,7,4
1990,8,1
1990,10,1
1990,12,1
1991,1,1
1991,4,2
1991,12,1
1992,7,1
1992,8,5
1992,10,4
1992,11,5
1994,1,1
1994,2,1
1995,1,2
1995,3,1
1995,4,4
1995,10,1
1997,3,1
1997,7,1
1997,8,4
1997,9,5
1997,10,2
1997,11,5
1997,12,8
1998,10,1
1999,4,1
2000,2,2
2000,9,1
2000,12,1
2001,2,1
2001,3,2
2001,4,1
2001,8,2
2001,11,2
2002,3,1
2002,5,1
2002,8,1
2005,6,1
2007,2,1
2008,5,2
2009,8,1
2009,10,1
2009,12,1
2010,10,1
2011,2,1
2011,11,1
2011,12,2
2012,1,4
2012,2,1
2012,3,4
2012,5,1
2012,7,1
2012,8,1
2013,2,2
2013,5,1
2014,7,1
2014,8,1
2015,7,1
2015,10,1
2018,1,1
2018,5,1
2018,8,1
2019,10,1
