iyear,imonth,count
1975,3,1
1980,4,1
1981,1,8
1983,4,1
1984,7,1
1984,11,1
1987,1,1
1988,5,1
1988,6,1
1989,6,1
1989,9,1
1990,7,5
1990,8,2
1990,9,2
1990,10,1
1990,12,2
1991,1,1
1991,3,1
1991,4,2
1991,5,2
1991,12,2
1992,1,2
1992,4,1
1992,5,1
1992,6,1
1992,8,2
1992,9,3
1992,10,2
1992,11,6
1992,12,3
1994,1,6
1994,2,13
1994,3,14
1994,4,3
1994,5,2
1994,6,2
1994,7,3
1994,8,4
1994,9,4
1994,11,2
1994,12,4
1995,1,1
1995,2,2
1995,3,1
1995,5,1
1995,8,3
1995,9,2
1995,10,1
1995,11,1
1995,12,1
1996,2,1
1996,3,4
1996,4,1
1996,5,1
1996,6,2
1996,8,1
1996,9,4
1996,10,2
1997,4,1
1997,5,3
1997,6,2
1997,7,2
1997,8,5
1997,9,1
1997,11,4
1997,12,1
1998,4,1
1999,1,1
1999,7,1
1999,9,2
2000,1,3
2000,3,1
2000,6,1
2000,7,1
2000,10,1
2000,11,2
2001,1,2
2001,3,2
2001,8,1
2002,2,1
2002,4,1
2002,5,1
2003,1,1
2004,3,1
2005,1,2
2005,5,1
2005,7,2
2005,10,1
2006,4,2
2006,6,1
2006,7,2
2006,9,2
2006,12,3
2007,1,4
2007,2,20
2007,3,8
2007,5,8
2007,6,18
2007,7,12
2007,8,22
2007,9,10
2007,10,10
2007,11,29
2007,12,15
2008,1,8
2008,2,8
2008,3,7
2008,4,21
2008,5,21
2008,6,27
2008,7,21
2008,8,18
2008,9,5
2008,10,14
2008,11,10
2008,12,12
2009,1,12
2009,2,9
2009,3,6
2009,4,15
2009,5,15
2009,6,9
2009,7,6
2009,8,8
2009,9,7
2009,10,11
2009,11,12
2009,12,12
2010,1,5
2010,2,12
2010,3,6
2010,4,10
2010,5,15
2010,6,7
2010,7,12
2010,8,10
2010,9,13
2010,10,11
2010,11,15
2010,12,14
2011,1,15
2011,2,7
2011,3,10
2011,4,13
2011,5,8
2011,6,21
2011,7,20
2011,8,19
2011,9,13
2011,10,13
2011,11,39
2011,12,7
2012,1,28
2012,2,30
2012,3,30
2012,4,31
2012,5,43
2012,6,30
2012,7,29
2012,8,16
2012,9,21
2012,10,29
2012,11,16
2012,12,22
2013,1,17
2013,2,19
2013,3,11
2013,4,19
2013,5,27
2013,6,21
2013,7,45
2013,8,51
2013,9,29
2013,10,30
2013,11,21
2013,12,52
2014,1,63
2014,2,65
2014,3,96
2014,4,77
2014,5,59
2014,6,85
2014,7,173
2014,8,44
2014,9,59
2014,10,60
2014,11,47
2014,12,44
2015,1,29
2015,2,37
2015,3,30
2015,4,27
2015,5,40
2015,6,32
2015,7,38
2015,8,35
2015,9,37
2015,10,35
2015,11,41
2015,12,41
2016,1,35
2016,2,36
2016,3,55
2016,4,39
2016,5,46
2016,6,59
2016,7,59
2016,8,63
2016,9,49
2016,10,61
2016,11,49
2016,12,51
2017,1,54
2017,2,61
2017,3,56
2017,4,63
2017,5,57
2017,6,51
2017,7,50
2017,8,48
2017,9,48
2017,10,47
2017,11,37
2017,12,45
2018,1,52
2018,2,39
2018,3,41
2018,4,47
2018,5,51
2018,6,52
2018,7,62
2018,8,41
2018,9,46
2018,10,27
2018,11,40
2018,12,29
2019,1,43
2019,2,39
2019,3,46
2019,4,39
2019,5,51
2019,6,27
2019,7,23
2019,8,10
2019,9,34
2019,10,16
2019,11,17
2019,12,16
2020,1,22
2020,2,23
2020,3,32
2020,4,22
2020,5,27
2020,6,26
2020,7,15
2020,8,32
2020,9,20
2020,10,25
2020,11,18
2020,12,18
