iyear,imonth,count
1974,12,1
1976,11,1
1977,2,1
1977,3,1
1977,6,1
1977,7,3
1977,11,4
1977,12,5
1978,2,3
1978,3,2
1978,6,1
1978,8,1
1978,10,1
1978,12,1
1979,1,3
1979,2,1
1979,4,1
1979,5,4
1979,6,1
1979,11,5
1979,12,1
1980,1,1
1980,2,4
1980,3,2
1980,4,3
1980,6,6
1980,8,2
1980,10,3
1980,11,1
1980,12,1
1981,2,2
1981,3,1
1981,4,2
1981,5,9
1981,6,5
1981,7,7
1981,8,4
1981,9,2
1981,10,4
1981,11,5
1981,12,1
1982,1,1
1982,3,1
1982,4,1
1982,5,6
1982,6,5
1982,9,1
1982,10,2
1982,11,3
1982,12,6
1983,1,2
1983,2,2
1983,3,3
1983,4,1
1983,5,4
1983,6,4
1983,7,3
1983,8,5
1983,9,5
1983,10,7
1983,11,10
1983,12,10
1984,1,1
1984,2,5
1984,3,3
1984,4,6
1984,5,8
1984,6,6
1984,7,10
1984,8,8
1984,9,9
1984,12,4
1985,3,3
1985,4,3
1985,5,10
1985,6,20
1985,7,10
1985,8,9
1985,9,5
1985,10,7
1985,11,18
1985,12,21
1986,1,15
1986,2,19
1986,3,18
1986,4,9
1986,5,4
1986,6,28
1986,7,23
1986,8,11
1986,9,11
1986,10,5
1986,11,10
1986,12,6
1987,1,12
1987,2,6
1987,3,13
1987,4,32
1987,5,12
1987,6,7
1987,7,19
1987,8,7
1987,9,8
1987,10,6
1987,11,6
1987,12,5
1988,1,3
1988,2,7
1988,3,19
1988,4,16
1988,5,13
1988,6,25
1988,7,26
1988,8,19
1988,9,40
1988,10,44
1988,11,11
1988,12,22
1989,1,19
1989,2,11
1989,3,7
1989,4,17
1989,5,9
1989,6,12
1989,7,16
1989,8,18
1989,9,17
1989,10,3
1989,11,8
1989,12,12
1990,1,3
1990,2,3
1990,3,12
1990,4,9
1990,5,30
1990,6,26
1990,7,39
1990,8,9
1990,9,10
1990,10,10
1990,11,2
1990,12,1
1991,1,1
1991,2,10
1991,3,13
1991,4,7
1991,5,13
1991,6,2
1991,7,4
1991,8,3
1991,9,10
1991,10,39
1991,11,12
1991,12,13
1992,1,18
1992,2,28
1992,3,52
1992,4,26
1992,5,20
1992,6,23
1992,7,19
1992,8,23
1992,9,10
1992,10,16
1992,11,28
1992,12,8
1994,1,11
1994,2,27
1994,3,42
1994,4,56
1994,5,7
1994,6,4
1994,7,7
1994,8,6
1994,9,1
1994,10,4
1994,11,5
1994,12,4
1995,1,7
1995,3,3
1995,4,1
1995,5,5
1995,6,3
1995,7,2
1995,8,1
1995,9,4
1995,10,1
1995,11,2
1995,12,3
1996,1,2
1996,2,1
1996,3,6
1996,4,2
1996,5,3
1996,6,2
1996,7,3
1996,8,1
1996,9,2
1996,12,25
1997,1,6
1997,4,2
1997,7,1
1997,9,2
1997,10,4
1997,12,2
1998,6,1
1998,7,1
1998,8,1
1998,10,1
1998,11,1
1998,12,1
1999,1,5
1999,3,2
1999,4,3
1999,5,1
1999,7,1
1999,11,4
1999,12,1
2000,1,4
2000,5,1
2000,6,1
2000,7,2
2000,8,2
2000,9,4
2000,10,3
2000,11,2
2000,12,2
2002,10,5
2002,11,3
2007,11,2
2008,5,1
2012,5,1
2012,6,1
2012,9,1
2012,10,1
2013,2,2
2013,4,2
2013,6,1
2013,7,2
2013,8,1
2013,9,3
2013,10,2
2014,2,2
2014,3,3
2014,5,2
2014,8,1
2014,9,2
2014,10,8
2014,11,1
2014,12,1
2015,1,1
2015,9,1
2015,10,1
2015,11,1
2015,12,1
2016,2,1
2016,3,2
2016,4,3
2016,5,2
2016,6,2
2016,7,8
2016,8,2
2016,9,1
2016,10,1
2016,11,1
2016,12,4
2017,1,3
2017,2,3
2017,3,5
2017,4,1
2017,5,2
2017,6,2
2017,7,3
2017,8,4
2017,9,2
2017,10,2
2017,11,2
2018,1,2
2018,2,3
2018,3,2
2018,4,1
2018,5,7
2018,6,1
2018,7,8
2018,8,1
2018,9,2
2018,10,13
2018,11,1
2019,1,3
2019,2,2
2019,4,4
2019,5,2
2019,6,2
2019,7,4
2019,8,2
2019,10,4
2020,5,4
2020,6,1
2020,7,3
2020,11,9
