iyear,imonth,count
2012,1,1
2012,2,1
2012,3,1
2012,4,1
2012,8,1
2013,2,1
2013,3,1
2013,4,3
2013,5,2
2013,10,3
2013,12,3
2014,1,5
2014,2,8
2014,3,1
2014,4,9
2014,5,2
2014,7,3
2014,8,7
2014,9,2
2014,10,3
2015,1,5
2015,2,8
2015,3,3
2015,4,4
2015,5,6
2015,6,3
2015,7,5
2015,8,8
2015,9,3
2015,10,4
2015,11,2
2015,12,3
2016,1,1
2016,3,2
2016,4,3
2016,6,6
2016,7,2
2016,8,5
2016,9,11
2016,10,12
2016,11,10
2016,12,7
2017,1,1
2017,2,1
2017,3,6
2017,4,7
2017,5,4
2017,6,6
2017,7,12
2017,8,2
2017,9,3
2017,10,2
2017,11,8
2017,12,2
2018,1,13
2018,2,2
2018,3,2
2018,4,4
2018,5,3
2018,6,35
2018,7,4
2018,9,3
2018,11,1
2018,12,2
2019,1,2
2019,3,1
2019,7,1
2019,8,7
2019,11,1
2019,12,1
2020,1,1
2020,2,1
2020,3,1
2020,4,1
2020,5,2
2020,7,2
2020,8,4
2020,9,2
2020,10,2
