iyear,imonth,count
1975,7,1
1979,2,1
1979,3,2
1981,10,1
1981,12,1
1982,6,1
1982,10,1
1983,3,1
1983,4,2
1983,6,1
1983,8,2
1983,11,1
1984,3,7
1984,4,12
1984,5,3
1984,6,7
1984,7,4
1984,8,9
1984,9,17
1984,10,1
1984,11,9
1984,12,12
1985,1,15
1985,2,1
1985,3,3
1985,4,10
1985,5,10
1985,6,11
1985,7,7
1985,8,9
1985,9,10
1985,10,9
1985,11,16
1985,12,9
1986,0,1
1986,1,13
1986,2,2
1986,3,19
1986,4,7
1986,5,12
1986,6,21
1986,7,13
1986,8,27
1986,9,11
1986,10,13
1986,11,3
1987,1,12
1987,2,4
1987,3,7
1987,4,8
1987,5,3
1987,6,8
1987,7,5
1987,8,3
1987,9,16
1987,10,25
1987,11,15
1987,12,9
1988,1,18
1988,2,16
1988,3,21
1988,4,15
1988,5,23
1988,6,42
1988,7,59
1988,8,21
1988,9,21
1988,10,35
1988,11,43
1988,12,36
1989,1,45
1989,2,45
1989,3,24
1989,4,33
1989,5,15
1989,6,13
1989,7,15
1989,8,48
1989,9,76
1989,10,69
1989,11,72
1989,12,55
1990,1,15
1990,2,7
1990,4,1
1990,5,1
1990,6,35
1990,7,19
1990,8,31
1990,9,7
1990,10,11
1990,11,5
1990,12,8
1991,1,16
1991,2,12
1991,3,8
1991,4,23
1991,5,2
1991,6,15
1991,7,4
1991,8,5
1991,9,7
1991,10,5
1991,11,8
1991,12,10
1992,1,8
1992,2,10
1992,3,11
1992,4,10
1992,5,8
1992,6,3
1992,7,11
1992,8,12
1992,9,10
1992,10,13
1992,11,4
1992,12,3
1994,1,1
1994,2,3
1994,4,5
1994,6,3
1994,7,2
1994,8,4
1994,9,2
1994,10,6
1994,11,7
1994,12,2
1995,1,1
1995,2,1
1995,4,7
1995,5,17
1995,6,16
1995,7,19
1995,8,10
1995,9,9
1995,10,16
1995,11,10
1995,12,20
1996,1,15
1996,2,12
1996,3,14
1996,4,13
1996,5,24
1996,6,21
1996,7,6
1996,8,17
1996,9,21
1996,10,16
1996,11,4
1996,12,13
1997,1,11
1997,2,11
1997,3,7
1997,4,6
1997,5,1
1997,6,6
1997,7,7
1997,9,1
1997,10,7
1997,11,3
1997,12,3
1998,1,6
1998,2,6
1998,3,7
1998,4,4
1998,5,2
1998,7,3
1998,8,2
1998,9,2
1998,10,1
1998,11,1
1998,12,1
1999,1,3
1999,3,10
1999,4,3
1999,5,2
1999,6,1
1999,7,7
1999,8,6
1999,9,6
1999,10,1
1999,11,3
1999,12,4
2000,1,11
2000,2,5
2000,3,4
2000,4,2
2000,5,8
2000,6,10
2000,7,2
2000,8,3
2000,9,8
2000,10,7
2000,11,5
2000,12,2
2001,1,1
2001,2,1
2001,3,2
2001,4,3
2001,5,1
2001,6,1
2001,7,1
2001,8,6
2001,9,3
2001,10,4
2001,11,8
2001,12,5
2002,5,1
2002,7,1
2002,12,1
2003,2,1
2003,3,1
2003,4,2
2003,5,2
2003,6,2
2003,7,1
2004,2,1
2004,3,7
2004,5,1
2004,7,5
2004,8,5
2004,9,3
2004,10,4
2004,11,4
2004,12,3
2005,1,1
2005,2,4
2005,3,15
2005,4,25
2005,5,15
2005,6,14
2005,7,9
2005,8,10
2005,9,13
2005,10,12
2005,11,8
2005,12,7
2006,1,21
2006,2,4
2006,3,7
2006,4,25
2006,5,15
2006,6,22
2006,7,18
2006,8,42
2006,9,23
2006,10,17
2006,11,12
2006,12,10
2007,1,17
2007,2,8
2007,3,5
2007,4,15
2007,5,12
2007,6,13
2007,7,10
2007,8,10
2007,9,8
2007,10,7
2007,11,20
2007,12,7
2008,1,11
2008,2,6
2008,3,7
2008,4,7
2008,5,22
2008,6,9
2008,7,2
2008,8,2
2008,9,6
2008,10,10
2008,11,10
2008,12,8
2009,1,8
2009,2,8
2009,3,11
2009,4,3
2009,5,4
2009,6,1
2009,7,1
2009,8,1
2010,1,3
2012,4,1
2012,5,1
2012,10,2
2013,1,2
2013,2,1
2013,3,3
2013,4,3
2013,6,1
2013,7,1
2013,8,2
2013,9,1
2014,1,2
2014,3,2
2014,6,7
2014,9,1
2014,10,1
2014,12,3
2015,1,4
2015,7,1
2015,8,5
2015,10,1
2016,1,1
2017,4,4
2017,5,27
2017,6,6
2017,7,1
2017,9,1
2017,12,2
2018,1,1
2018,3,2
2018,6,3
2018,11,1
2019,3,1
2019,4,8
2019,5,1
2019,11,5
2020,8,1
