iyear,imonth,count
1973,3,1
1981,6,1
1982,2,1
1982,5,1
1982,10,1
1983,6,1
1983,11,2
1984,2,3
1984,4,1
1984,9,1
1986,4,2
1986,5,1
1986,10,3
1987,3,1
1988,1,1
1988,2,5
1988,5,2
1988,11,2
1989,2,2
1989,4,2
1989,5,1
1989,8,1
1989,9,1
1989,11,1
1990,2,1
1991,5,1
1991,11,2
1992,2,1
1992,7,1
1992,9,4
1992,11,1
1994,2,2
1994,4,1
1994,8,1
1994,11,1
1995,1,1
1995,2,1
1995,3,1
1995,11,1
1996,3,1
1996,4,1
1996,6,1
1996,8,2
1996,9,2
1996,10,1
1996,11,2
1997,3,1
1997,11,1
1997,12,1
1999,2,1
1999,3,2
1999,9,1
1999,10,1
2000,1,2
2000,2,2
2000,5,1
2000,11,1
2000,12,1
2001,1,1
2001,2,1
2001,3,1
2001,4,1
2001,5,1
2001,7,1
2001,8,3
2002,3,1
2002,4,5
2002,5,7
2004,4,2
2004,9,1
2004,12,2
2005,1,1
2005,5,3
2005,9,1
2005,10,1
2006,1,3
2006,4,4
2006,5,1
2006,7,2
2006,8,1
2006,10,4
2006,11,6
2006,12,3
2007,1,3
2007,2,1
2007,3,6
2007,4,4
2007,6,1
2007,8,3
2007,9,2
2007,10,1
2007,11,1
2007,12,1
2008,1,1
2008,2,2
2008,3,2
2008,4,1
2008,5,2
2008,6,2
2008,7,3
2008,8,2
2008,10,9
2008,11,4
2008,12,4
2009,1,3
2009,2,2
2009,5,4
2009,7,2
2009,8,4
2009,9,2
2009,10,4
2009,11,2
2009,12,3
2010,2,1
2010,3,1
2010,4,2
2010,5,4
2010,6,2
2010,7,4
2010,8,2
2010,9,5
2010,10,2
2010,11,2
2010,12,3
2011,1,5
2011,2,1
2011,3,2
2011,4,3
2011,5,6
2011,6,4
2011,7,1
2011,8,3
2011,9,3
2011,10,5
2011,11,5
2012,1,3
2012,2,5
2012,3,1
2012,4,3
2012,5,1
2012,6,3
2012,8,6
2012,9,2
2012,10,11
2012,11,4
2012,12,1
2013,1,9
2013,3,4
2013,4,4
2013,5,4
2013,6,2
2013,7,4
2013,8,4
2013,9,2
2013,10,4
2013,11,5
2013,12,4
2014,1,14
2014,2,6
2014,3,33
2014,4,14
2014,5,10
2014,6,14
2014,7,19
2014,8,5
2014,9,11
2014,10,9
2014,11,6
2014,12,16
2015,1,8
2015,2,7
2015,3,15
2015,4,21
2015,5,28
2015,6,13
2015,7,21
2015,9,14
2015,10,5
2015,11,15
2015,12,11
2016,1,11
2016,2,20
2016,3,16
2016,4,16
2016,5,23
2016,6,20
2016,7,9
2016,8,7
2016,9,9
2016,10,9
2016,11,18
2016,12,15
2017,1,10
2017,2,7
2017,3,8
2017,4,20
2017,5,5
2017,6,10
2017,7,10
2017,8,10
2017,9,11
2017,10,9
2017,11,5
2017,12,1
2018,1,2
2018,2,4
2018,3,4
2018,4,3
2018,5,5
2018,6,11
2018,7,8
2018,8,1
2018,9,3
2018,11,1
2019,1,1
2019,2,1
2019,3,2
2019,4,1
2019,6,1
2019,7,3
2019,11,6
2019,12,11
2020,1,9
2020,2,1
2020,3,2
2020,4,3
2020,6,2
2020,7,6
2020,8,1
2020,9,1
2020,10,6
2020,12,2
