iyear,imonth,count
1971,2,1
1971,4,1
1972,3,1
1972,5,1
1972,9,1
1975,4,1
1978,1,1
1979,12,1
1983,2,1
1986,2,1
1986,4,1
1986,9,1
1989,11,1
1989,12,2
1990,3,1
1990,5,3
1990,6,1
1990,9,1
1991,10,1
1991,11,1
1991,12,4
1992,1,1
1992,2,3
1992,3,3
1992,4,1
1992,5,1
1992,9,1
1992,11,2
1994,1,1
1995,3,1
1996,12,1
1997,1,1
1997,8,3
1999,6,1
1999,7,1
2000,11,1
2005,1,1
2005,3,1
2005,12,1
2006,4,1
2008,5,1
2009,2,1
2010,5,1
2010,12,2
2011,7,1
2012,8,1
2012,9,1
2014,2,1
2014,11,1
2014,12,3
2015,1,1
2015,6,2
2015,7,1
2015,8,1
2015,9,4
2015,10,21
2015,11,3
2015,12,2
2016,1,1
2016,2,2
2016,3,4
2016,4,3
2016,9,1
2016,10,4
2016,11,1
2017,1,2
2017,2,2
2017,4,2
2017,5,1
2017,6,5
2017,7,2
2017,9,1
2017,12,3
2018,1,1
2018,4,2
2018,5,1
2018,8,1
2018,10,1
2019,1,1
2019,10,1
2020,2,2
2020,7,1
