iyear,imonth,count
1970,2,1
1970,5,1
1970,9,1
1971,12,1
1972,9,3
1973,9,1
1973,12,1
1974,1,1
1974,6,2
1975,1,1
1975,2,1
1975,9,1
1976,5,2
1976,10,2
1977,1,1
1977,6,1
1977,7,1
1977,12,1
1978,7,1
1978,12,2
1979,2,2
1979,8,2
1979,11,2
1980,2,1
1980,4,1
1980,10,2
1980,11,2
1980,12,1
1981,1,1
1981,5,1
1981,6,3
1981,7,4
1981,10,3
1981,12,1
1982,1,1
1982,4,1
1982,5,1
1982,6,2
1982,9,1
1983,2,1
1983,3,1
1983,9,1
1984,8,1
1985,3,1
1985,4,4
1985,6,1
1985,9,1
1987,7,1
1988,3,1
1988,11,1
1988,12,2
1990,4,1
1991,4,1
1991,7,1
1992,3,5
1992,4,1
1995,3,2
1995,7,1
1995,8,1
1995,11,1
1996,7,2
1996,11,2
1997,8,1
1998,10,1
1999,2,2
2000,1,1
2000,4,2
2000,11,1
2001,1,1
2001,9,1
2003,5,1
2007,6,1
2007,11,1
2011,1,2
2011,3,1
2013,1,2
2016,10,1
2016,11,1
2018,1,1
2019,4,1
2020,9,1
2020,11,1
