iyear,imonth,count
1974,8,1
1974,9,1
1974,10,2
1975,1,2
1976,9,1
1976,12,1
1977,6,1
1977,7,2
1978,10,1
1979,3,1
1979,6,7
1979,7,2
1979,8,5
1979,9,10
1979,10,1
1979,12,2
1980,1,4
1980,2,5
1980,3,2
1980,4,4
1980,5,2
1980,6,7
1980,7,5
1980,8,1
1980,12,3
1981,1,24
1981,2,9
1981,3,3
1981,8,1
1981,9,1
1981,10,2
1981,11,1
1982,1,2
1982,2,3
1982,3,3
1982,4,9
1982,5,2
1982,6,1
1983,7,1
1984,2,1
1985,7,1
1986,6,2
1986,7,1
1986,9,1
1989,1,1
1996,5,1
1996,12,1
1997,5,1
1998,10,1
2004,4,1
2006,9,1
2008,9,1
2011,4,1
2011,5,4
2011,7,5
2011,8,3
2011,9,6
2011,10,5
2011,11,19
2011,12,6
2012,1,9
2012,2,9
2012,3,6
2012,4,19
2012,5,22
2012,6,15
2012,7,13
2012,8,6
2012,9,14
2012,10,26
2012,11,33
2012,12,8
2013,1,20
2013,2,27
2013,3,29
2013,4,22
2013,5,24
2013,6,22
2013,7,34
2013,8,17
2013,9,16
2013,10,24
2013,11,29
2013,12,23
2014,1,24
2014,2,20
2014,3,13
2014,4,49
2014,5,40
2014,6,31
2014,7,21
2014,8,31
2014,9,23
2014,10,43
2014,11,17
2014,12,21
2015,1,30
2015,2,36
2015,3,29
2015,4,35
2015,5,59
2015,6,89
2015,7,42
2015,8,65
2015,9,37
2015,10,17
2015,11,27
2015,12,25
2016,1,34
2016,2,24
2016,3,17
2016,4,46
2016,5,53
2016,6,32
2016,7,51
2016,8,40
2016,9,46
2016,10,62
2016,11,39
2016,12,30
2017,1,36
2017,2,22
2017,3,24
2017,4,11
2017,5,25
2017,6,21
2017,7,30
2017,8,23
2017,9,15
2017,10,20
2017,11,10
2017,12,13
2018,1,21
2018,2,15
2018,3,21
2018,4,14
2018,5,24
2018,6,22
2018,7,22
2018,8,20
2018,9,15
2018,10,12
2018,11,32
2018,12,17
2019,1,27
2019,2,26
2019,3,17
2019,4,20
2019,5,26
2019,6,29
2019,7,40
2019,8,20
2019,9,19
2019,10,27
2019,11,28
2019,12,14
2020,1,23
2020,2,21
2020,3,23
2020,4,14
2020,5,17
2020,6,21
2020,7,19
2020,8,26
2020,9,23
2020,10,27
2020,11,23
2020,12,19
