iyear,imonth,count
1992,5,2
1992,8,2
1992,10,3
1992,11,5
1992,12,5
1994,1,1
1994,3,1
1994,4,2
1994,5,5
1994,6,9
1994,9,3
1994,10,2
1994,11,6
1994,12,2
1995,1,4
1995,2,6
1995,3,3
1995,4,3
1995,5,3
1995,6,3
1995,7,4
1995,8,1
1995,9,2
1995,10,3
1995,11,1
1995,12,1
1996,1,1
1996,2,2
1996,3,3
1996,5,2
1996,6,1
1996,7,1
1996,8,2
1996,9,2
1996,11,2
1996,12,6
1997,1,8
1997,2,6
1997,3,1
1997,4,1
1997,5,1
1997,8,4
1997,9,9
1997,10,6
1997,11,2
1997,12,2
1998,3,1
1998,7,1
1998,8,1
1998,9,1
1998,10,3
1998,11,4
1999,4,1
1999,9,1
1999,10,1
1999,11,1
2000,2,1
2000,4,1
2000,5,1
2000,7,1
2000,10,2
2001,3,1
2001,4,2
2001,6,1
2001,7,1
2001,9,1
2005,6,1
2007,11,1
2009,4,1
2010,9,1
2012,6,1
2012,7,3
2012,8,1
2014,5,1
2015,9,2
2015,11,1
2016,3,1
2016,8,1
2017,1,1
2017,3,1
2018,7,1
2018,8,1
2018,11,1
2019,5,1
2019,11,1
