iyear,imonth,count
1972,12,1
1974,4,1
1977,6,2
1977,9,1
1978,8,2
1978,9,1
1978,10,2
1979,2,1
1979,4,8
1979,5,2
1979,6,2
1979,10,1
1979,11,2
1980,2,5
1980,3,4
1980,4,6
1980,5,1
1980,6,4
1980,8,2
1980,9,3
1980,10,1
1981,2,3
1981,6,3
1981,7,3
1981,8,3
1981,9,2
1981,10,3
1981,12,1
1982,1,1
1982,9,1
1982,12,1
1983,9,1
1984,3,1
1985,8,1
1986,4,2
1986,7,1
1988,3,1
1988,4,2
1988,6,2
1989,1,1
1989,2,1
1989,5,2
1989,6,6
1989,7,3
1989,9,1
1989,11,1
1989,12,1
1990,2,1
1990,3,1
1990,4,1
1990,5,1
1990,7,1
1990,8,2
1990,10,1
1990,11,2
1991,1,3
1991,3,1
1991,4,2
1991,7,2
1992,2,2
1992,3,4
1992,4,1
1992,5,4
1992,7,1
1992,8,5
1992,9,2
1992,10,2
1992,11,2
1992,12,2
1994,1,2
1994,2,2
1994,3,7
1994,4,2
1994,5,1
1994,6,2
1994,7,1
1994,8,2
1994,9,3
1994,12,2
1995,1,1
1995,2,2
1995,3,2
1995,4,1
1995,5,1
1995,6,1
1995,12,4
1996,1,2
1996,4,1
1996,6,3
1996,8,1
1996,11,12
1997,1,3
1997,2,2
1997,3,1
1997,4,3
1997,5,1
1997,8,3
1997,11,1
1997,12,6
1998,1,1
1998,2,1
1998,3,1
1998,6,1
1999,1,1
1999,7,1
1999,8,1
1999,10,1
2000,1,2
2000,6,1
2000,12,1
2001,1,1
2001,3,1
2001,4,4
2001,5,1
2001,6,2
2001,12,5
2002,4,1
2002,5,1
2002,6,2
2002,7,5
2002,8,1
2002,10,1
2002,12,1
2003,2,1
2003,7,3
2003,8,1
2003,11,1
2004,1,3
2004,3,3
2004,4,3
2004,5,4
2004,6,8
2004,7,1
2004,8,7
2004,9,2
2004,10,3
2004,11,5
2004,12,5
2005,1,10
2005,2,4
2005,3,15
2005,4,17
2005,5,18
2005,6,32
2005,7,4
2005,8,34
2005,9,7
2005,10,5
2005,11,5
2005,12,4
2006,1,32
2006,2,30
2006,3,10
2006,4,24
2006,5,17
2006,6,8
2006,7,8
2006,8,18
2006,9,8
2006,10,6
2006,11,27
2006,12,14
2007,1,9
2007,2,29
2007,3,29
2007,4,22
2007,5,16
2007,6,58
2007,7,10
2007,8,18
2007,9,15
2007,10,25
2007,11,57
2007,12,5
2008,1,17
2008,2,7
2008,3,16
2008,4,21
2008,5,23
2008,6,9
2008,7,27
2008,8,31
2008,9,17
2008,10,5
2008,11,21
2008,12,6
2009,1,14
2009,2,8
2009,3,34
2009,4,22
2009,5,9
2009,6,38
2009,7,25
2009,8,23
2009,9,49
2009,10,32
2009,11,25
2009,12,19
2010,1,10
2010,2,20
2010,3,32
2010,4,26
2010,5,42
2010,6,19
2010,7,13
2010,8,12
2010,9,37
2010,10,20
2010,11,8
2010,12,14
2011,1,21
2011,2,22
2011,3,16
2011,4,8
2011,5,12
2011,6,10
2011,7,11
2011,8,12
2011,9,7
2011,10,25
2011,11,20
2011,12,18
2012,1,15
2012,2,17
2012,3,39
2012,4,17
2012,5,13
2012,6,18
2012,7,33
2012,8,30
2012,9,21
2012,10,37
2012,11,27
2012,12,13
2013,1,22
2013,2,52
2013,3,42
2013,4,59
2013,5,37
2013,6,41
2013,7,28
2013,8,52
2013,9,16
2013,10,52
2013,11,38
2013,12,33
2014,1,51
2014,2,59
2014,3,58
2014,4,31
2014,5,78
2014,6,27
2014,7,28
2014,8,20
2014,9,11
2014,10,26
2014,11,18
2014,12,16
2015,1,9
2015,2,12
2015,3,15
2015,4,32
2015,5,48
2015,6,4
2015,7,24
2015,8,28
2015,9,21
2015,10,53
2015,11,13
2015,12,19
2016,1,13
2016,2,24
2016,3,38
2016,4,28
2016,5,12
2016,6,34
2016,7,20
2016,8,80
2016,9,14
2016,10,11
2016,11,43
2016,12,12
2017,1,2
2017,2,13
2017,3,10
2017,4,70
2017,5,16
2017,6,14
2017,7,9
2017,8,14
2017,9,9
2017,10,8
2017,11,5
2017,12,9
2018,1,7
2018,2,25
2018,3,5
2018,4,12
2018,5,40
2018,6,9
2018,7,7
2018,8,11
2018,9,9
2018,10,10
2018,11,12
2018,12,35
2019,1,15
2019,2,12
2019,3,27
2019,4,10
2019,5,10
2019,6,7
2019,7,8
2019,8,24
2019,9,4
2019,10,5
2019,11,8
2020,1,3
2020,2,4
2020,3,7
2020,7,3
2020,8,4
2020,10,7
2020,11,4
2020,12,7
