iyear,imonth,count
1979,1,1
1980,1,1
1986,4,1
1986,9,1
1987,8,4
1991,1,1
1991,2,1
1994,4,1
1995,2,1
2000,5,1
2001,10,1
2002,4,1
2007,1,1
2008,2,1
2011,5,2
2011,7,1
2012,9,2
2012,10,1
2013,1,2
2013,2,1
2013,3,1
2013,4,3
2013,5,1
2013,6,2
2013,7,5
2013,8,3
2013,9,2
2013,10,7
2013,11,2
2014,2,1
2014,4,2
2014,5,2
2014,6,1
2014,7,6
2014,8,4
2014,9,1
2014,10,1
2014,11,3
2014,12,2
2015,1,1
2015,2,1
2015,3,2
2015,4,2
2015,5,1
2015,6,3
2015,8,4
2015,9,1
2015,10,2
2015,11,2
2016,1,1
2016,3,5
2016,5,2
2016,7,1
2016,8,1
2016,9,1
2016,11,1
2017,3,2
2017,6,1
2017,11,1
2018,1,3
2018,3,1
2018,4,1
2018,5,1
2018,6,3
2018,7,1
2018,8,2
2018,9,2
2018,10,4
2018,11,1
2019,2,5
2019,3,2
2019,4,3
2019,6,3
2019,9,2
2019,10,1
2020,3,1
2020,4,1
2020,7,1
2020,9,1
2020,12,1
