iyear,imonth,count
1970,4,1
1970,8,1
1970,10,5
1970,11,3
1970,12,2
1971,1,7
1971,2,12
1971,3,5
1971,4,4
1971,5,3
1971,7,1
1971,10,1
1971,11,1
1971,12,1
1972,1,1
1972,3,1
1972,5,6
1972,10,1
1974,10,1
1975,3,1
1975,5,2
1975,9,2
1975,10,5
1976,0,2
1976,1,3
1976,2,4
1976,3,10
1976,4,3
1976,5,2
1976,7,1
1976,8,1
1976,9,1
1976,10,3
1976,11,5
1977,1,2
1977,2,11
1977,3,42
1977,4,2
1977,5,22
1977,6,5
1977,7,38
1977,8,62
1977,10,1
1977,12,4
1978,1,6
1978,2,5
1978,3,2
1978,4,3
1978,5,3
1978,6,3
1978,7,3
1978,8,4
1978,9,1
1978,10,14
1978,11,2
1978,12,6
1979,1,4
1979,2,52
1979,3,14
1979,4,3
1979,5,6
1979,6,9
1979,7,11
1979,8,12
1979,9,17
1979,10,4
1979,11,6
1979,12,3
1980,1,19
1980,2,10
1980,3,6
1980,4,13
1980,5,13
1980,6,7
1980,7,9
1980,8,1
1980,9,9
1980,10,4
1980,11,3
1980,12,1
1981,2,3
1981,4,1
1981,5,2
1981,9,1
1981,12,1
1982,1,1
1982,4,3
1982,8,1
1983,4,1
1983,6,1
1983,12,3
1984,8,2
1984,9,12
1984,10,4
1984,11,1
1985,7,1
1985,8,1
1986,9,4
1986,10,3
1987,1,3
1987,2,2
1987,3,1
1987,5,1
1987,6,9
1987,7,11
1987,8,5
1987,9,2
1987,10,3
1987,11,3
1987,12,3
1988,2,1
1988,3,2
1988,4,3
1988,5,10
1988,6,5
1988,7,1
1988,9,2
1988,10,7
1988,11,10
1988,12,1
1989,1,5
1989,3,3
1989,4,7
1989,5,12
1989,6,14
1989,7,10
1989,8,26
1989,9,14
1989,10,8
1989,11,12
1989,12,3
1990,1,4
1990,2,5
1990,3,15
1990,4,28
1990,5,14
1990,6,26
1990,7,26
1990,8,17
1990,9,31
1990,10,21
1990,11,4
1990,12,4
1991,1,22
1991,2,7
1991,3,42
1991,4,41
1991,5,9
1991,6,18
1991,7,27
1991,8,17
1991,9,12
1991,10,49
1991,11,37
1991,12,12
1992,1,12
1992,2,26
1992,3,84
1992,4,53
1992,5,32
1992,6,29
1992,7,67
1992,8,56
1992,9,63
1992,10,37
1992,11,35
1992,12,20
1994,1,70
1994,2,20
1994,3,38
1994,4,27
1994,5,37
1994,6,26
1994,7,12
1994,8,9
1994,9,27
1994,10,10
1994,11,7
1994,12,17
1995,1,11
1995,2,15
1995,3,22
1995,4,10
1995,5,6
1995,6,7
1995,7,13
1995,8,13
1995,9,12
1995,10,9
1995,11,2
1995,12,13
1996,1,4
1996,3,4
1996,4,5
1996,5,4
1996,6,12
1996,7,5
1996,8,4
1996,9,4
1996,10,5
1996,11,5
1996,12,2
1997,1,2
1997,2,1
1997,3,4
1997,4,3
1997,5,2
1997,6,6
1997,7,3
1997,8,7
1997,9,4
1997,10,4
1997,11,5
1997,12,3
1998,2,1
1998,4,1
1998,5,1
1998,6,2
1998,8,1
1998,9,4
1998,10,4
1998,11,7
1998,12,2
1999,1,1
1999,3,38
1999,4,8
1999,5,4
1999,6,5
1999,7,23
1999,8,4
1999,9,4
1999,10,17
1999,11,2
1999,12,3
2000,1,7
2000,2,5
2000,3,1
2000,4,2
2000,5,1
2000,7,1
2000,8,2
2000,9,2
2000,10,4
2000,11,6
2000,12,4
2001,1,7
2001,2,3
2001,3,2
2001,4,2
2001,5,1
2001,8,1
2001,9,1
2001,11,2
2002,2,1
2002,5,3
2002,8,1
2003,1,1
2003,2,3
2003,3,2
2003,4,1
2003,5,1
2003,6,1
2003,7,3
2003,8,1
2003,11,5
2003,12,1
2004,3,2
2004,5,3
2004,6,4
2004,7,4
2004,8,6
2004,9,6
2004,10,2
2005,1,2
2005,3,2
2005,5,4
2005,6,1
2005,7,15
2005,8,9
2005,9,2
2005,10,2
2005,11,3
2005,12,1
2006,1,2
2006,2,3
2006,3,3
2006,4,7
2006,5,3
2006,6,3
2006,7,2
2006,8,14
2006,9,4
2006,10,2
2007,1,2
2007,4,3
2007,5,4
2007,6,7
2007,7,2
2007,8,1
2007,9,3
2007,10,4
2007,11,3
2007,12,1
2008,1,4
2008,3,1
2008,4,1
2008,5,6
2008,6,3
2008,7,4
2008,8,6
2008,10,1
2008,11,4
2008,12,2
2009,2,1
2009,3,1
2009,4,5
2009,5,2
2009,7,1
2009,8,1
2009,11,1
2009,12,1
2010,4,1
2010,5,1
2010,6,1
2010,7,2
2010,8,9
2010,9,1
2010,12,5
2011,2,1
2011,3,1
2011,4,2
2011,5,13
2011,6,3
2011,7,3
2011,8,5
2011,9,13
2011,10,4
2011,11,6
2012,1,2
2012,2,4
2012,3,3
2012,4,8
2012,5,19
2012,6,27
2012,7,12
2012,8,41
2012,9,26
2012,10,37
2012,11,5
2012,12,6
2013,1,7
2013,2,2
2013,3,6
2013,5,2
2013,6,6
2013,7,8
2013,8,1
2013,9,4
2013,10,2
2013,11,2
2013,12,2
2014,1,4
2014,2,2
2014,3,6
2014,4,6
2014,5,13
2014,6,13
2014,7,5
2014,8,9
2014,9,17
2014,10,16
2014,11,2
2014,12,2
2015,1,10
2015,2,3
2015,3,5
2015,4,9
2015,5,7
2015,6,12
2015,7,64
2015,8,130
2015,9,73
2015,10,42
2015,11,32
2015,12,38
2016,1,39
2016,2,43
2016,3,43
2016,4,66
2016,5,64
2016,6,46
2016,7,58
2016,8,57
2016,9,41
2016,10,54
2016,11,20
2016,12,13
2017,1,11
2017,2,5
2017,3,9
2017,4,17
2017,5,11
2017,6,26
2017,7,25
2017,8,24
2017,9,23
2017,10,17
2017,11,5
2017,12,8
2018,1,17
2018,2,15
2018,3,13
2018,4,9
2018,5,7
2018,6,12
2018,7,5
2018,8,4
2018,9,3
2018,10,5
2018,11,3
2018,12,1
2019,1,1
2019,2,3
2019,3,2
2019,4,1
2019,5,11
2019,6,3
2019,7,13
2019,8,11
2019,9,8
2019,10,14
2019,11,2
2019,12,1
2020,3,2
2020,4,2
2020,5,5
2020,6,4
2020,7,2
2020,10,3
2020,11,1
2020,12,1
