iyear,imonth,count
1979,2,3
1979,9,3
1979,10,2
1981,2,9
1981,3,4
1981,4,6
1981,5,6
1982,3,1
1983,1,5
1983,3,1
1984,1,1
1984,2,1
1984,6,1
1985,5,5
1985,6,1
1985,11,1
1986,3,1
1987,9,1
1988,1,1
1988,2,1
1988,3,1
1988,7,1
1988,8,1
1988,9,7
1988,10,3
1989,1,3
1989,2,1
1989,3,3
1989,4,1
1989,5,2
1989,6,3
1989,9,1
1989,10,1
1990,1,2
1990,3,2
1990,4,3
1990,5,3
1990,7,1
1990,8,1
1990,9,1
1990,12,1
1991,1,1
1991,11,1
1992,8,3
1994,1,1
1994,2,1
1994,3,2
1994,6,3
1994,7,1
1994,8,4
1994,12,1
1995,3,1
1995,4,2
1995,5,2
1995,7,1
1995,9,1
1996,2,1
1996,3,8
1996,4,3
1996,5,3
1996,6,3
1996,7,3
1996,8,2
1996,10,3
1996,11,3
1997,1,2
1997,2,2
1997,3,1
1997,4,1
1997,6,1
1997,7,6
1997,8,2
1997,9,1
1997,10,6
1997,11,1
1997,12,1
1998,2,3
1998,4,5
1998,6,1
1998,7,2
1998,8,1
1998,10,2
1998,11,4
1999,2,6
1999,3,1
1999,4,2
1999,5,2
1999,7,3
1999,9,1
1999,10,2
1999,11,2
2000,1,6
2000,2,1
2000,3,2
2000,6,1
2000,8,2
2000,9,5
2000,10,3
2001,1,3
2001,2,2
2001,3,8
2001,4,1
2001,6,1
2001,7,3
2001,8,1
2001,9,1
2001,11,1
2001,12,3
2002,2,2
2002,3,1
2002,6,4
2002,7,3
2002,8,3
2002,9,4
2002,10,3
2002,11,2
2002,12,2
2003,1,4
2003,4,3
2003,5,6
2003,6,4
2003,7,3
2003,8,1
2003,9,3
2003,10,1
2003,11,4
2003,12,1
2004,2,1
2004,4,1
2004,5,4
2004,6,3
2004,7,1
2005,2,4
2005,3,1
2005,5,2
2005,6,1
2005,7,1
2005,8,1
2005,11,1
2007,11,1
2008,2,1
2008,4,2
2008,6,1
2008,8,3
2009,3,1
2009,10,1
2010,7,2
2010,8,1
2010,11,2
2010,12,1
2012,4,1
2012,6,1
2012,8,1
2012,11,1
2014,1,1
2014,7,3
2014,12,2
2015,1,1
2015,2,1
2015,3,1
2015,5,1
2015,6,1
2015,7,1
2015,10,1
2015,11,2
2015,12,1
2016,1,1
2016,2,1
2016,3,1
2016,5,2
2016,6,1
2016,7,2
2016,11,5
2016,12,2
2017,3,1
2017,4,3
2017,7,1
2017,9,1
2017,10,3
2017,11,3
2017,12,1
2018,1,1
2018,2,1
2018,5,2
2018,6,1
2018,8,1
2018,9,2
2018,11,2
2019,4,1
2019,8,3
2020,3,1
2020,6,3
2020,8,1
