iyear,imonth,count
1991,11,1
1991,12,1
1992,3,1
1994,1,1
1994,5,2
1994,6,3
1994,8,2
1994,9,1
1994,10,1
1995,2,1
1995,5,1
1996,3,1
1996,7,1
1996,8,1
1997,5,1
1997,8,1
1999,7,1
1999,10,1
1999,11,4
2000,11,1
2002,1,1
2002,3,1
2002,5,1
2003,11,1
2007,11,1
2008,4,1
2009,2,1
2009,3,1
2010,7,1
2010,10,3
2011,1,2
2011,11,1
2012,1,1
2012,4,5
2012,5,1
2012,6,1
2013,2,1
2013,7,1
2013,10,3
2014,1,3
2014,2,15
2014,3,6
2014,4,67
2014,5,81
2014,6,81
2014,7,191
2014,8,70
2014,9,85
2014,10,134
2014,11,103
2014,12,60
2015,1,141
2015,2,76
2015,3,102
2015,4,77
2015,5,51
2015,6,37
2015,7,29
2015,8,46
2015,9,16
2015,10,26
2015,11,23
2015,12,14
2016,1,5
2016,2,12
2016,3,6
2016,4,10
2016,5,4
2016,6,1
2016,7,5
2016,8,4
2016,9,7
2016,10,2
2016,11,2
2016,12,4
2017,1,5
2017,2,5
2017,3,7
2017,4,1
2017,5,7
2017,6,8
2017,7,5
2017,8,6
2017,9,5
2017,10,7
2017,11,1
2017,12,5
2018,1,3
2018,2,5
2018,3,1
2018,4,7
2018,5,3
2018,6,2
2018,7,4
2018,8,4
2018,9,3
2018,10,3
2018,11,1
2019,1,1
2019,2,4
2019,3,5
2019,4,2
2019,5,3
2019,6,3
2019,7,4
2019,8,4
2019,9,2
2019,11,2
2019,12,1
2020,1,2
2020,2,4
2020,3,3
2020,4,4
2020,5,2
2020,6,4
2020,7,10
2020,8,4
2020,9,1
2020,10,3
2020,11,1
