iyear,imonth,count
1970,6,5
1970,8,1
1970,9,3
1970,10,1
1970,11,1
1970,12,1
1971,1,1
1971,2,5
1971,3,2
1971,5,3
1971,7,2
1971,8,11
1971,9,16
1971,10,14
1971,11,13
1971,12,14
1972,1,9
1972,2,16
1972,3,21
1972,4,12
1972,5,26
1972,6,25
1972,7,52
1972,8,33
1972,9,32
1972,10,23
1972,11,17
1972,12,26
1973,1,11
1973,2,27
1973,3,23
1973,4,9
1973,5,20
1973,6,18
1973,7,13
1973,8,21
1973,9,8
1973,10,9
1973,11,14
1973,12,16
1974,1,22
1974,2,15
1974,3,23
1974,4,14
1974,5,16
1974,6,12
1974,7,14
1974,8,9
1974,9,10
1974,10,19
1974,11,34
1974,12,15
1975,1,8
1975,2,19
1975,3,7
1975,4,20
1975,5,8
1975,6,16
1975,7,8
1975,8,26
1975,9,22
1975,10,26
1975,11,23
1975,12,11
1976,1,25
1976,2,16
1976,3,14
1976,4,15
1976,5,15
1976,6,26
1976,7,15
1976,8,12
1976,9,11
1976,10,18
1976,11,19
1976,12,8
1977,1,12
1977,2,12
1977,3,17
1977,4,14
1977,5,11
1977,6,5
1977,7,9
1977,8,24
1977,9,10
1977,10,8
1977,11,2
1977,12,16
1978,1,5
1978,2,7
1978,3,5
1978,4,8
1978,5,3
1978,6,8
1978,7,8
1978,8,7
1978,9,10
1978,10,6
1978,11,6
1978,12,27
1979,1,16
1979,2,14
1979,3,53
1979,4,14
1979,5,16
1979,6,26
1979,7,8
1979,8,13
1979,9,11
1979,10,16
1979,11,21
1979,12,31
1980,1,23
1980,2,17
1980,3,8
1980,4,20
1980,5,8
1980,6,11
1980,7,7
1980,8,11
1980,9,6
1980,10,8
1980,11,6
1980,12,9
1981,1,18
1981,2,5
1981,3,5
1981,4,10
1981,5,14
1981,6,11
1981,7,6
1981,8,14
1981,9,15
1981,10,20
1981,11,21
1981,12,3
1982,1,5
1982,3,12
1982,4,15
1982,5,4
1982,6,9
1982,7,4
1982,8,4
1982,9,10
1982,10,16
1982,11,10
1982,12,6
1983,1,17
1983,2,13
1983,3,21
1983,4,8
1983,5,16
1983,6,5
1983,7,22
1983,8,12
1983,9,23
1983,10,18
1983,11,11
1983,12,11
1984,1,24
1984,2,15
1984,3,30
1984,4,24
1984,5,19
1984,6,14
1984,7,4
1984,8,3
1984,9,3
1984,10,4
1984,11,2
1984,12,3
1985,2,8
1985,3,9
1985,4,5
1985,5,9
1985,6,7
1985,7,3
1985,8,8
1985,9,6
1985,10,2
1985,11,8
1985,12,2
1986,1,5
1986,2,3
1986,3,4
1986,4,16
1986,5,8
1986,6,2
1986,7,9
1986,8,18
1986,9,6
1986,10,11
1986,11,2
1986,12,11
1987,1,5
1987,2,6
1987,3,20
1987,4,21
1987,5,10
1987,6,11
1987,7,14
1987,8,7
1987,9,8
1987,10,6
1987,11,6
1987,12,3
1988,1,9
1988,2,5
1988,3,14
1988,4,9
1988,5,9
1988,6,7
1988,7,9
1988,8,46
1988,9,10
1988,10,19
1988,11,18
1988,12,25
1989,1,13
1989,2,16
1989,3,19
1989,4,13
1989,5,12
1989,6,8
1989,7,10
1989,8,13
1989,9,18
1989,10,14
1989,11,22
1989,12,5
1990,1,22
1990,2,7
1990,3,9
1990,4,15
1990,5,7
1990,6,23
1990,7,11
1990,8,6
1990,9,16
1990,10,12
1990,11,12
1990,12,7
1991,1,21
1991,2,10
1991,3,10
1991,4,22
1991,5,12
1991,6,11
1991,7,10
1991,8,18
1991,9,22
1991,10,27
1991,11,47
1991,12,52
1992,1,48
1992,2,29
1992,3,16
1992,4,16
1992,5,9
1992,6,28
1992,7,16
1992,8,18
1992,9,25
1992,10,31
1992,11,18
1992,12,20
1994,1,44
1994,2,47
1994,3,13
1994,4,47
1994,5,18
1994,6,21
1994,7,23
1994,8,28
1994,9,5
1994,10,1
1994,11,1
1994,12,8
1995,1,3
1995,3,2
1995,4,3
1995,5,1
1995,7,3
1995,8,1
1995,9,2
1995,11,3
1995,12,4
1996,1,2
1996,2,4
1996,3,3
1996,4,2
1996,5,2
1996,6,2
1996,7,3
1996,9,5
1996,10,3
1996,11,3
1996,12,7
1997,1,11
1997,2,6
1997,3,8
1997,4,11
1997,5,2
1997,6,8
1997,7,15
1997,9,5
1997,10,2
1997,11,3
1997,12,7
1998,1,8
1998,2,7
1998,3,9
1998,4,4
1998,5,3
1998,6,3
1998,7,19
1998,8,6
1998,10,1
1998,11,1
1998,12,2
1999,1,11
1999,2,3
1999,3,12
1999,4,7
1999,5,2
1999,6,17
1999,7,8
1999,8,6
1999,9,1
1999,10,5
1999,11,2
1999,12,2
2000,1,2
2000,2,3
2000,4,2
2000,5,2
2000,6,9
2000,7,7
2000,8,4
2000,9,20
2000,10,5
2000,11,5
2000,12,2
2001,1,14
2001,2,17
2001,3,9
2001,4,4
2001,5,1
2001,6,4
2001,7,4
2001,8,25
2001,9,5
2001,10,6
2001,11,4
2001,12,1
2002,1,2
2002,2,2
2002,3,2
2002,4,4
2002,5,2
2002,6,2
2002,7,1
2002,8,3
2002,9,1
2002,10,1
2002,11,1
2003,1,3
2003,2,8
2003,3,2
2003,5,3
2003,11,4
2003,12,3
2004,4,1
2004,9,4
2005,1,1
2005,3,5
2005,4,1
2005,5,1
2005,6,1
2005,7,16
2005,8,1
2005,9,3
2006,4,4
2006,9,1
2006,11,1
2007,1,3
2007,2,7
2007,3,2
2007,4,3
2007,6,3
2007,7,1
2007,9,2
2007,11,3
2008,2,1
2008,4,6
2008,5,9
2008,6,5
2008,7,1
2008,8,13
2008,9,1
2008,11,2
2008,12,1
2009,1,2
2009,3,7
2009,4,2
2009,5,3
2009,6,1
2009,7,1
2009,8,1
2009,9,1
2009,10,2
2009,11,3
2010,1,7
2010,2,4
2010,4,5
2010,5,6
2010,6,5
2010,7,5
2010,8,9
2010,10,5
2010,11,8
2010,12,3
2011,1,9
2011,2,6
2011,3,6
2011,4,5
2011,5,3
2011,6,5
2011,7,8
2011,8,1
2011,9,2
2011,10,2
2012,1,3
2012,2,1
2012,3,4
2012,4,9
2012,5,5
2012,6,7
2012,7,2
2012,8,1
2012,9,5
2012,10,4
2012,11,4
2012,12,9
2013,1,12
2013,2,11
2013,3,12
2013,4,5
2013,5,15
2013,6,18
2013,7,6
2013,8,13
2013,9,4
2013,10,17
2013,11,11
2013,12,12
2014,1,1
2014,2,13
2014,3,16
2014,4,7
2014,5,4
2014,6,11
2014,7,6
2014,8,14
2014,9,9
2014,10,11
2014,11,7
2014,12,5
2015,1,6
2015,2,12
2015,3,11
2015,4,10
2015,5,13
2015,6,4
2015,7,8
2015,8,9
2015,9,6
2015,10,10
2015,11,17
2015,12,8
2016,1,9
2016,2,6
2016,3,15
2016,4,9
2016,5,11
2016,6,7
2016,7,16
2016,8,8
2016,9,5
2016,10,6
2016,11,5
2016,12,7
2017,1,12
2017,2,10
2017,3,10
2017,4,4
2017,5,9
2017,6,14
2017,7,10
2017,8,10
2017,9,17
2017,10,11
2017,11,10
2017,12,6
2018,1,6
2018,2,7
2018,3,3
2018,4,3
2018,5,7
2018,6,7
2018,7,29
2018,8,13
2018,9,4
2018,10,5
2018,11,9
2018,12,8
2019,1,6
2019,2,5
2019,3,12
2019,4,6
2019,5,5
2019,6,5
2019,7,10
2019,8,8
2019,9,13
2019,10,6
2019,11,3
2019,12,6
2020,1,12
2020,2,6
2020,3,4
2020,4,22
2020,5,7
2020,6,6
2020,7,6
2020,8,8
2020,9,5
2020,10,1
2020,11,10
2020,12,3
