iyear,imonth,count
1970,1,26
1970,2,50
1970,3,54
1970,4,69
1970,5,63
1970,6,38
1970,7,54
1970,8,29
1970,9,20
1970,10,32
1970,11,22
1970,12,11
1971,1,19
1971,2,18
1971,3,30
1971,4,42
1971,5,32
1971,6,20
1971,7,14
1971,8,33
1971,9,12
1971,10,8
1971,11,13
1971,12,6
1972,1,17
1972,2,4
1972,3,6
1972,4,2
1972,5,11
1972,6,3
1972,7,1
1972,8,5
1972,9,6
1972,10,5
1972,12,8
1973,1,8
1973,2,3
1973,3,8
1973,4,4
1973,5,4
1973,6,2
1973,7,3
1973,8,2
1973,9,4
1973,10,5
1973,11,5
1973,12,10
1974,1,5
1974,2,4
1974,3,7
1974,4,9
1974,5,8
1974,6,14
1974,7,3
1974,8,7
1974,9,3
1974,10,11
1974,11,3
1974,12,20
1975,1,6
1975,2,15
1975,3,18
1975,4,16
1975,5,14
1975,6,9
1975,7,6
1975,8,7
1975,9,9
1975,10,24
1975,11,5
1975,12,20
1976,1,13
1976,2,8
1976,3,9
1976,4,9
1976,5,12
1976,6,16
1976,7,15
1976,8,2
1976,9,9
1976,10,3
1976,12,9
1977,1,10
1977,2,11
1977,3,20
1977,4,8
1977,5,9
1977,6,7
1977,7,5
1977,8,16
1977,9,10
1977,10,19
1977,11,8
1977,12,7
1978,1,7
1978,2,10
1978,3,6
1978,4,4
1978,5,12
1978,6,6
1978,7,8
1978,8,6
1978,9,2
1978,10,15
1978,11,3
1978,12,8
1979,2,6
1979,3,7
1979,4,5
1979,5,6
1979,6,9
1979,7,3
1979,8,1
1979,9,4
1979,10,11
1979,11,10
1979,12,7
1980,1,10
1980,2,3
1980,3,6
1980,4,5
1980,5,3
1980,6,7
1980,7,11
1980,8,5
1980,9,3
1980,10,7
1980,11,2
1980,12,5
1981,1,7
1981,2,4
1981,3,4
1981,4,4
1981,5,8
1981,6,9
1981,7,3
1981,8,6
1981,9,12
1981,10,5
1981,11,8
1981,12,4
1982,1,4
1982,2,10
1982,3,1
1982,4,8
1982,5,15
1982,6,4
1982,7,9
1982,8,4
1982,9,6
1982,10,3
1982,11,3
1982,12,10
1983,1,6
1983,2,4
1983,3,2
1983,4,3
1983,5,4
1983,6,1
1983,7,4
1983,8,8
1983,9,2
1983,10,4
1983,11,3
1983,12,3
1984,1,4
1984,2,3
1984,3,7
1984,4,7
1984,5,2
1984,6,5
1984,7,5
1984,8,4
1984,9,12
1984,10,1
1984,11,4
1984,12,9
1985,1,2
1985,2,3
1985,3,1
1985,4,2
1985,5,2
1985,6,3
1985,7,1
1985,8,5
1985,9,2
1985,10,6
1985,11,4
1985,12,9
1986,1,5
1986,3,5
1986,4,3
1986,5,3
1986,6,2
1986,7,1
1986,8,1
1986,9,7
1986,10,11
1986,11,5
1986,12,6
1987,1,2
1987,2,2
1987,3,2
1987,4,2
1987,5,10
1987,6,1
1987,7,2
1987,8,3
1987,9,4
1987,10,2
1987,11,4
1988,1,4
1988,2,1
1988,3,2
1988,5,2
1988,6,3
1988,7,2
1988,9,5
1988,10,2
1988,11,3
1988,12,3
1989,1,2
1989,2,4
1989,3,5
1989,4,5
1989,5,3
1989,6,3
1989,7,5
1989,8,4
1989,9,3
1989,10,1
1989,11,1
1989,12,6
1990,1,4
1990,2,2
1990,3,1
1990,4,5
1990,5,7
1990,6,2
1990,7,2
1990,8,1
1990,9,6
1990,11,2
1991,1,2
1991,2,7
1991,3,5
1991,4,3
1991,5,2
1991,6,3
1991,7,1
1991,8,1
1991,9,3
1991,10,1
1991,11,1
1991,12,2
1992,1,3
1992,2,4
1992,3,1
1992,4,4
1992,6,2
1992,7,1
1992,8,5
1992,9,2
1992,10,2
1992,11,4
1992,12,4
1994,1,7
1994,2,1
1994,3,4
1994,4,1
1994,5,3
1994,6,1
1994,7,5
1994,8,2
1994,9,4
1994,10,11
1994,11,4
1994,12,12
1995,1,11
1995,2,6
1995,3,7
1995,4,7
1995,5,3
1995,6,5
1995,8,8
1995,9,1
1995,10,3
1995,11,4
1995,12,5
1996,1,6
1996,4,4
1996,5,2
1996,7,7
1996,8,3
1996,9,3
1996,10,3
1996,11,3
1996,12,4
1997,1,12
1997,2,7
1997,3,5
1997,4,4
1997,5,5
1997,7,3
1997,10,1
1997,11,2
1997,12,3
1998,1,2
1998,2,1
1998,3,2
1998,4,3
1998,5,1
1998,6,5
1998,7,3
1998,8,2
1998,9,4
1998,10,7
1998,12,1
1999,3,10
1999,4,2
1999,5,3
1999,6,3
1999,7,9
1999,8,8
1999,9,1
1999,10,13
1999,11,1
1999,12,4
2000,1,7
2000,2,1
2000,3,7
2000,4,9
2000,5,3
