iyear,imonth,count
1970,1,1
1970,6,1
1971,2,2
1971,3,1
1971,5,1
1972,6,1
1973,5,1
1973,11,2
1973,12,1
1974,3,3
1975,3,1
1975,5,2
1975,7,2
1976,2,3
1976,10,1
1977,2,1
1977,3,1
1977,12,1
1978,2,1
1978,10,3
1978,11,1
1978,12,2
1979,1,2
1979,6,1
1979,10,1
1980,2,1
1980,8,1
1980,9,2
1980,11,3
1980,12,1
1981,3,1
1981,11,1
1981,12,5
1982,1,1
1982,10,1
1983,2,1
1983,3,1
1983,9,3
1983,11,1
1984,7,1
1984,9,2
1984,11,1
1985,3,1
1985,12,1
1986,4,1
1986,5,2
1986,6,1
1986,8,1
1986,10,1
1986,12,2
1987,1,1
1987,2,1
1987,3,1
1987,5,1
1987,6,1
1987,7,1
1987,8,1
1987,9,1
1987,10,1
1987,11,1
1987,12,3
1988,1,2
1988,4,3
1988,5,2
1988,6,1
1988,8,1
1988,10,1
1989,1,1
1989,4,1
1989,6,1
1989,7,1
1989,8,1
1989,10,3
1990,1,1
1991,1,1
1991,2,2
1991,3,1
1991,6,1
1991,8,1
1991,9,4
1991,10,2
1991,11,4
1991,12,1
1992,2,2
1992,3,6
1992,4,4
1992,5,1
1992,6,6
1992,8,2
1992,9,4
1992,10,2
1992,11,4
1992,12,1
1994,4,3
1994,5,2
1994,6,3
1994,10,1
1994,11,3
1995,2,2
1995,6,1
1995,8,1
1995,11,4
1995,12,3
1996,2,1
1996,4,1
1996,5,2
1996,6,7
1996,9,1
1997,2,2
1997,3,6
1997,4,3
1997,5,2
1997,6,2
1997,7,2
1997,8,6
1997,9,8
1997,10,7
1997,11,2
1997,12,1
1998,5,1
1999,1,1
1999,7,1
1999,8,3
2001,7,2
2001,8,3
2002,11,4
2002,12,1
2003,2,3
2003,3,4
2003,11,1
2007,11,2
2008,2,1
2009,1,1
2009,2,1
2009,10,1
2012,2,1
2013,4,1
2014,4,2
2014,5,1
2014,10,1
2015,3,1
2015,11,1
2015,12,1
2016,3,1
2016,7,1
2016,8,3
2016,9,1
2017,1,2
2017,4,1
2017,5,2
2017,6,1
2017,7,5
2017,8,2
2017,10,1
2017,11,2
2017,12,1
2018,1,1
2018,2,1
2018,5,1
2018,8,4
2018,10,2
2018,11,2
2019,1,2
2019,2,1
2019,3,2
2019,5,1
2019,6,1
2019,8,1
2019,10,1
2020,1,3
2020,2,1
2020,3,1
2020,5,1
2020,12,1
