iyear,imonth,count
1972,1,1
1976,4,1
1978,4,1
1978,8,1
1978,9,1
1978,11,1
1979,1,4
1979,3,2
1979,4,2
1979,5,5
1979,6,2
1979,8,4
1979,10,4
1980,1,10
1980,2,7
1980,3,2
1980,4,1
1980,5,8
1980,6,13
1980,7,5
1980,8,2
1980,9,1
1980,11,9
1981,1,4
1981,2,4
1981,3,6
1981,4,1
1981,7,1
1981,8,3
1981,11,2
1982,1,1
1982,2,1
1982,3,6
1982,4,30
1982,5,11
1982,6,2
1982,9,1
1982,10,1
1982,11,3
1983,1,5
1983,2,9
1983,3,10
1983,4,3
1983,5,1
1983,6,3
1983,7,4
1983,8,1
1983,12,3
1984,1,8
1984,2,8
1984,3,4
1984,4,4
1984,7,1
1984,9,2
1984,10,3
1984,12,1
1985,6,1
1985,7,1
1985,9,1
1986,1,1
1986,3,2
1986,4,1
1986,5,2
1986,6,2
1986,7,3
1986,8,2
1986,9,1
1987,5,2
1987,6,1
1987,7,1
1987,8,5
1987,11,2
1987,12,3
1988,2,1
1988,3,5
1988,4,3
1988,5,3
1988,6,2
1988,7,1
1988,10,6
1989,1,8
1989,2,1
1989,4,6
1989,5,13
1989,6,9
1989,7,10
1989,8,12
1989,9,20
1989,10,16
1989,11,11
1989,12,7
1990,1,15
1990,2,9
1990,3,5
1990,4,4
1990,5,5
1990,6,4
1990,7,6
1990,8,8
1990,9,11
1990,10,14
1990,11,16
1990,12,8
1991,2,5
1991,3,8
1991,4,8
1991,5,2
1991,6,3
1991,7,7
1991,8,20
1991,9,6
1991,10,8
1991,11,20
1991,12,7
1992,1,10
1992,2,15
1992,3,20
1992,4,7
1992,5,8
1992,6,10
1992,7,13
1992,8,7
1992,9,9
1992,10,21
1992,11,13
1992,12,6
1994,1,18
1994,2,19
1994,3,27
1994,4,21
1994,5,21
1994,6,10
1994,7,13
1994,8,13
1994,9,5
1994,10,6
1994,11,14
1994,12,12
1995,1,12
1995,2,1
1995,3,2
1995,4,4
1995,5,6
1995,6,7
1995,7,6
1995,8,3
1995,9,10
1995,10,2
1995,11,9
1995,12,6
1996,1,5
1996,2,2
1996,3,3
1996,4,2
1996,5,3
1996,6,3
1996,7,1
1996,8,2
1996,10,2
1996,11,2
1996,12,6
1997,1,2
1997,3,1
1997,4,12
1997,5,2
1997,6,1
1997,7,5
1998,1,1
1998,2,1
1998,3,1
1998,5,1
1998,8,2
1998,9,3
1998,10,5
1999,1,1
1999,2,1
1999,6,1
1999,7,1
1999,8,4
1999,10,3
2000,3,1
2000,5,2
2000,9,3
2000,10,7
2000,11,12
2000,12,5
2001,1,7
2001,2,3
2001,3,9
2001,4,7
2001,5,15
2001,6,4
2001,7,4
2001,8,45
2001,9,9
2001,10,7
2001,11,10
2001,12,11
2002,1,4
2002,2,28
2002,3,13
2002,4,10
2002,5,6
2002,6,8
2002,7,5
2002,8,5
2002,9,1
2002,10,3
2002,11,4
2002,12,1
2003,1,7
2003,2,4
2003,3,5
2003,4,6
2003,5,8
2003,6,4
2003,7,1
2003,8,3
2003,9,1
2003,10,3
2003,11,3
2003,12,4
2004,1,2
2004,3,1
2004,4,4
2004,5,2
2004,6,3
2004,7,5
2004,8,7
2004,9,4
2004,10,2
2004,11,3
2004,12,2
2005,1,9
2005,2,2
2005,3,4
2005,4,6
2005,5,2
2005,6,4
2005,7,4
2005,8,9
2005,9,1
2005,10,5
2005,12,7
2006,1,5
2006,2,4
2006,3,3
2006,4,2
2006,5,2
2006,6,1
2006,7,4
2006,8,2
2006,9,1
2006,10,1
2006,11,3
2006,12,9
2007,1,8
2007,2,6
2007,3,3
2007,4,4
2007,5,1
2007,6,52
2007,8,6
2007,9,1
2007,10,1
2007,11,10
2008,1,4
2008,2,2
2008,3,3
2008,4,20
2008,5,12
2008,6,6
2008,7,8
2008,8,1
2008,9,5
2008,10,5
2008,12,2
2009,1,1
2009,3,1
2009,4,1
2009,5,3
2009,6,1
2009,8,1
2009,11,1
2009,12,1
2010,2,1
2010,3,4
2010,4,1
2010,6,1
2010,8,1
2010,9,2
2010,10,1
2011,1,1
2011,4,4
2011,5,2
2011,6,2
2011,7,1
2011,8,1
2011,9,1
2011,10,4
2011,11,1
2011,12,3
2012,1,4
2012,4,1
2012,6,1
2012,7,1
2012,8,4
2012,9,2
2012,10,2
2012,11,7
2012,12,1
2013,1,11
2013,2,3
2013,3,3
2013,4,6
2013,5,8
2013,6,4
2013,7,2
2013,8,1
2013,9,7
2013,10,6
2013,11,7
2013,12,6
2014,1,11
2014,2,4
2014,3,6
2014,4,9
2014,5,9
2014,6,9
2014,7,30
2014,8,17
2014,9,4
2014,10,5
2014,11,18
2014,12,11
2015,1,11
2015,2,11
2015,3,4
2015,4,13
2015,5,10
2015,6,8
2015,7,13
2015,8,17
2015,9,9
2015,10,72
2015,11,43
2015,12,34
2016,1,25
2016,2,27
2016,3,23
2016,4,6
2016,5,6
2016,6,10
2016,7,11
2016,8,4
2016,9,11
2016,10,7
2016,11,16
2016,12,11
2017,1,10
2017,2,4
2017,3,9
2017,4,10
2017,5,5
2017,6,6
2017,7,11
2017,8,8
2017,9,8
2017,10,4
2017,11,2
2017,12,7
2018,1,7
2018,2,3
2018,3,13
2018,4,11
2018,5,13
2018,6,6
2018,7,14
2018,8,9
2018,9,13
2018,10,8
2018,11,10
2018,12,11
2019,1,11
2019,2,5
2019,3,13
2019,4,8
2019,5,10
2019,6,9
2019,7,4
2019,8,12
2019,9,5
2019,10,12
2019,11,7
2019,12,1
2020,1,7
2020,2,7
2020,3,1
2020,4,4
2020,5,7
2020,6,8
2020,7,5
2020,8,8
2020,9,3
2020,10,2
2020,11,5
2020,12,4
