iyear,imonth,count
1970,2,3
1970,3,1
1970,4,1
1970,5,2
1970,6,5
1970,7,1
1970,9,1
1970,10,3
1970,11,2
1970,12,1
1971,1,5
1971,2,1
1971,3,3
1971,5,1
1971,9,1
1971,11,2
1972,2,3
1972,4,3
1972,5,6
1972,6,1
1972,7,4
1972,9,1
1972,10,1
1972,11,2
1972,12,3
1973,1,2
1973,3,2
1973,4,1
1973,6,2
1973,7,3
1973,8,2
1973,9,5
1973,10,4
1973,11,3
1973,12,3
1974,2,3
1974,3,2
1974,4,2
1974,5,2
1974,6,4
1974,8,3
1974,10,4
1974,11,7
1974,12,1
1975,1,1
1975,2,3
1975,3,2
1975,4,4
1975,5,3
1975,7,1
1975,8,2
1975,9,2
1975,10,7
1975,11,3
1975,12,7
1976,1,3
1976,2,4
1976,3,2
1976,4,2
1976,5,7
1976,6,11
1976,7,5
1976,9,3
1976,10,5
1976,11,3
1976,12,5
1977,1,12
1977,2,2
1977,3,2
1977,4,4
1977,5,3
1977,6,4
1977,7,1
1977,8,7
1977,9,3
1977,10,1
1977,12,1
1978,1,2
1978,2,1
1978,5,2
1978,6,2
1978,8,10
1978,9,1
1978,11,1
1979,1,1
1979,4,3
1979,5,3
1979,6,3
1979,7,1
1979,8,2
1979,9,1
1979,10,1
1979,12,2
1980,2,1
1980,3,9
1980,5,1
1980,6,4
1980,8,1
1980,9,1
1980,11,2
1980,12,1
1981,2,2
1981,3,6
1981,4,6
1981,5,1
1981,6,2
1981,8,3
1981,9,5
1981,11,5
1981,12,1
1982,1,4
1982,2,1
1982,4,2
1982,6,7
1982,7,2
1982,8,1
1982,9,5
1982,10,1
1982,11,1
1982,12,5
1983,3,1
1983,8,2
1983,9,1
1983,12,1
1984,1,2
1984,2,2
1984,4,2
1984,6,3
1984,8,1
1984,10,1
1984,12,10
1985,1,10
1985,2,4
1985,3,6
1985,4,5
1985,5,3
1985,6,3
1985,8,6
1985,9,7
1985,10,4
1985,11,4
1985,12,1
1986,1,1
1986,2,1
1986,3,3
1986,4,5
1986,5,2
1986,7,4
1986,8,6
1986,9,7
1986,10,5
1986,11,3
1986,12,9
1987,3,4
1987,4,2
1987,6,4
1987,7,1
1987,8,1
1987,9,2
1987,10,1
1987,11,4
1988,2,2
1988,4,2
1988,5,2
1988,6,2
1988,7,1
1988,8,1
1988,9,2
1988,10,2
1989,2,1
1989,3,3
1989,4,7
1989,6,1
1989,7,3
1989,8,1
1989,9,2
1989,10,1
1989,11,1
1989,12,1
1990,2,2
1990,5,1
1990,6,3
1990,7,1
1990,10,2
