iyear,imonth,count
1991,1,1
1991,5,1
1991,7,1
1991,9,1
1991,11,1
1992,2,2
1992,4,3
1992,5,2
1992,7,3
1992,8,4
1992,9,6
1992,11,1
1992,12,3
1994,1,5
1994,2,6
1994,3,2
1994,4,3
1994,5,1
1994,6,1
1994,9,1
1995,1,1
1995,2,1
1995,7,2
1995,8,1
1995,9,3
1996,1,1
1996,3,2
1996,5,1
1996,10,2
1996,12,2
1997,2,1
1997,3,2
1997,4,5
1997,5,1
1997,7,1
1997,8,3
1997,10,5
1997,12,1
1998,7,2
1998,11,2
1998,12,3
1999,1,3
1999,6,2
1999,7,2
1999,8,7
1999,9,1
1999,10,1
1999,11,1
2000,1,3
2000,2,1
2000,3,1
2000,4,1
2000,6,1
2000,10,2
2000,11,1
2001,1,5
2001,11,1
2001,12,1
2002,4,3
2002,5,1
2002,9,1
2002,11,1
2002,12,1
2003,2,1
2003,3,1
2003,6,1
2003,7,2
2003,9,1
2003,12,1
2005,1,1
2005,4,2
2005,5,1
2005,10,1
2005,11,1
2005,12,1
2006,4,2
2006,9,2
2006,12,1
2007,3,1
2007,4,2
2007,6,1
2007,7,1
2007,8,1
2007,11,1
2008,1,1
2008,3,1
2008,4,8
2008,5,4
2008,6,1
2008,7,3
2008,8,1
2008,9,1
2008,10,1
2008,11,1
2009,1,5
2009,3,4
2009,4,1
2009,5,1
2009,6,2
2009,7,4
2009,9,1
2009,10,3
2009,11,2
2010,1,1
2010,2,7
2010,4,5
2010,5,15
2010,6,6
2010,7,12
2010,8,12
2010,9,24
2010,10,12
2010,11,11
2010,12,7
2011,1,10
2011,2,7
2011,3,10
2011,4,6
2011,5,11
2011,6,13
2011,7,11
2011,8,12
2011,9,16
2011,10,7
2011,11,8
2011,12,7
2012,1,15
2012,2,24
2012,3,43
2012,4,31
2012,5,27
2012,6,27
2012,7,30
2012,8,30
2012,9,19
2012,10,19
2012,11,20
2012,12,28
2013,1,22
2013,2,27
2013,3,26
2013,4,29
2013,5,28
2013,6,25
2013,7,29
2013,8,37
2013,9,55
2013,10,44
2013,11,50
2013,12,63
2014,1,50
2014,2,69
2014,3,65
2014,4,51
2014,5,107
2014,6,64
2014,7,64
2014,8,62
2014,9,65
2014,10,73
2014,11,44
2014,12,100
2015,1,83
2015,2,83
2015,3,86
2015,4,93
2015,5,75
2015,6,65
2015,7,76
2015,8,87
2015,9,51
2015,10,30
2015,11,41
2015,12,48
2016,1,76
2016,2,51
2016,3,50
2016,4,84
2016,5,113
2016,6,107
2016,7,53
2016,8,58
2016,9,56
2016,10,100
2016,11,91
2016,12,78
2017,1,55
2017,2,49
2017,3,60
2017,4,43
2017,5,37
2017,6,41
2017,7,39
2017,8,58
2017,9,36
2017,10,30
2017,11,47
2017,12,36
2018,1,45
2018,2,33
2018,3,40
2018,4,43
2018,5,24
2018,6,38
2018,7,67
2018,8,32
2018,9,33
2018,10,54
2018,11,46
2018,12,43
2019,1,96
2019,2,87
2019,3,88
2019,4,93
2019,5,73
2019,6,81
2019,7,70
2019,8,31
2019,9,29
2019,10,52
2019,11,31
2019,12,64
2020,1,24
2020,2,32
2020,3,35
2020,4,30
2020,5,21
2020,6,36
2020,7,33
2020,8,51
2020,9,75
2020,10,60
2020,11,31
2020,12,46
