iyear,imonth,count
1973,8,1
1974,6,1
1977,6,1
1980,4,1
1981,6,1
1981,9,1
1983,3,1
1984,6,1
1989,4,2
1989,5,1
1990,2,1
1990,3,1
1990,10,3
1991,3,1
1991,4,1
1991,5,2
1991,6,4
1991,7,2
1991,12,1
1992,2,1
1992,3,7
1992,4,1
1992,8,1
1992,11,1
1992,12,1
1994,8,1
1995,3,1
1995,10,2
1996,2,1
1996,4,6
1996,6,2
1996,8,5
1996,10,1
1996,11,1
1997,1,4
1997,3,4
1997,4,1
1997,5,1
1997,6,2
1997,7,3
1997,8,5
1997,9,12
1997,10,4
1997,11,2
1998,3,1
1998,4,2
1998,5,4
1998,7,14
1998,8,6
1998,10,3
1998,11,11
1998,12,5
1999,1,4
1999,2,5
1999,3,4
1999,5,1
1999,6,5
1999,10,2
1999,11,2
2000,1,3
2000,2,1
2000,3,1
2000,4,2
2000,5,2
2000,6,3
2000,10,2
2001,1,5
2001,2,7
2001,3,5
2001,4,1
2001,5,1
2001,8,1
2002,1,1
2002,2,1
2002,6,1
