iyear,imonth,count
1980,4,2
1980,6,1
1980,7,1
1980,9,2
1980,10,5
1980,11,3
1981,2,3
1981,3,4
1981,7,2
1982,5,3
1982,7,4
1982,8,2
1982,12,3
1983,1,2
1983,3,2
1983,4,1
1983,6,1
1984,11,3
1985,2,1
1986,1,1
1987,5,6
1987,6,1
1987,10,1
1987,11,3
1988,1,1
1989,1,2
1989,7,1
1990,1,3
1990,3,1
1990,4,2
1991,7,1
1992,5,1
1994,6,1
1995,10,1
1995,11,1
2000,6,1
2001,1,1
2001,3,1
2001,6,1
2002,2,4
2002,5,2
2002,6,1
2002,8,1
2003,1,1
2006,7,1
2007,3,1
2008,6,1
2008,7,1
2008,8,2
2008,11,1
2010,10,1
2011,6,1
2013,2,1
2013,3,1
2013,12,1
2014,2,1
2017,7,3
2018,6,1
2018,8,1
2019,8,2
2020,9,1
