eventid,country_txt,latitude,longitude,nkill,summary,targtype1_txt,gname
200101000001,Colombia,3.800889,-76.641271,3.0,"1/8/2001: Paramilitaries killed three farmers in Valle province, Colombia. According to authorities, the farmers were wearing sneakers that had been part of a shipment stolen by Revolutionary Armed Forces of Colombia (FARC) two weeks prior. Authorities believe that the paramilitaries targeted the farmers for possible connections to FARC.",Private Citizens & Property,Paramilitaries
200101010001,Yemen,12.825647,44.846416,0.0,"01/01/2001: The wall of an Anglican Church was partially destroyed by an explosive charge causing extensive property damage. The explosive charge was placed in a waste bin outside the church in the Tawahi district in Aden, Yemen. There were no reported injuries or fatalities and the group responsible was unknown.",Religious Figures/Institutions,Unknown
200101010002,Colombia,4.5981,-74.07603,0.0,"01/01/2001: The United Self-defense Forces of Colombia (AUC - Las Autodefensas Unidas de Colombia) kidnapped 24 peasants in Northeastern Colombia. 17 were released on January 7, 2001 after it was clear they had no connection to the guerilla organizations in the area. The fate of the rest of the hostages was unknown.",Private Citizens & Property,United Self Defense Units of Colombia (AUC)
200101010004,Turkey,41.106178,28.689863,0.0,"1/1/2001: An improvised explosive device went off shortly after midnight on Istiklal Street, near Taksim square, Istanbul, Turkey. Taksim square was full of people celebrating the new year when the bomb exploded. Ten people were injured in the attack and the remaining crowds fled in panic. Authorities speculate that the attack may have been retaliatory for a recent crackdown on jail-based hunger strikes.",Private Citizens & Property,Unknown
200101010005,Algeria,34.666667,3.25,5.0,"1/1/2000: Unknown perpetrators, believed to be affiliated with the Islamic insurgency in Algeria, killed five Algerian civilians in Djelfa, Algeria. One other individual was wounded in the attack. Reports conflict as to whether the victims were shot or stabbed.",Private Citizens & Property,Algerian Islamic Extremists
200101020002,Yemen,12.825647,44.846416,0.0,01/02/2001: A small bomb exploded outside the office of the Yemeni News Agency (SABA) in Aden. Authorities held a number of Islamic militants whom they believed were responsible. There were no deaths and one was injured.,Journalists & Media,Muslim extremists
200101020003,Yugoslavia,42.55,21.9,0.0,01/02/2001: A Serbian Policeman wounded in a rocket attack by armed Albanians near the southern city of Vranje. The attack was launched somewhere between the villages of Djordjevac and Car. The policeman was the only reported injury.,Police,Unknown
200101020004,United States,42.738006,-123.417103,0.0,"01/02/2001: Five members of the Animal and Earth Liberations Fronts (ALF and ELF),  Jacob Ferguson, Stanislas Meyerhoff, Kevin Tubbs, Suzanne Savoie, and Daniel McGowan, caused arson to the Superior Lumber Company in Glendale, Oregon in the United States, by placing two incendiary devices containing ignitable liquids at the west side of the building. The arson caused $1,041,696 in damage to the office. There were no casualties in the incident. The next day, the perpetrators sent out a communiqué, claiming responsibility for the arson in the name of the ELF, stating that the Superior Lumber Company was a ""typical earth raper contributing to the ecological destruction of the Northwest.""  The company was targeted due to its involvement in the purchase of timber. The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",Business,Earth Liberation Front (ELF)
200101030001,Turkey,41.106178,28.689863,3.0,01/03/2001: A suicide bomber attacked and Istanbul police station killing three and injuring seven. The bomber was posthumously identified as Gultenkin Koc. He was associated with the Revolutionary People’s Liberation Party-Front (DHKP-C).,Police,Devrimici Halk Kurtulus Cephesi (DHKP/C)
200101030002,Switzerland,47.36865,8.539182,0.0,"01/03/2001: Members of a group calling itself ""For a Revolutionary Perspective"" placed an explosive device in front of the offices of the El-Al Airlines in Zurich, Switzerland. No injuries were reported, but the explosion seriously damaged the facility, causing $5,500 in damage.",Airports & Aircraft,Revolutionary Perspective
