gname,nkill
Taliban,54118.0
Islamic State of Iraq and the Levant (ISIL),43352.0
Boko Haram,25528.0
Al-Shabaab,12277.0
Shining Path (SL),11608.0
Liberation Tigers of Tamil Eelam (LTTE),10778.0
Farabundo Marti National Liberation Front (FMLN),8065.0
Nicaraguan Democratic Force (FDN),6662.0
Houthi extremists (Ansar Allah),6420.0
Tehrik-i-Taliban Pakistan (TTP),6344.0
Revolutionary Armed Forces of Colombia (FARC),5661.0
Kurdistan Workers' Party (PKK),5391.0
Fulani extremists,5070.0
New People's Army (NPA),4841.0
Al-Qaida in Iraq,4381.0
Hutu extremists,4102.0
Al-Qaida,3863.0
Khorasan Chapter of the Islamic State,3824.0
Al-Qaida in the Arabian Peninsula (AQAP),3738.0
Lord's Resistance Army (LRA),3123.0
Al-Nusrah Front,2977.0
Sikh Extremists,2813.0
National Union for the Total Independence of Angola (UNITA),2726.0
Mozambique National Resistance Movement (MNR),2564.0
Communist Party of India - Maoist (CPI-Maoist),2530.0
Allied Democratic Forces (ADF),2419.0
Muslim extremists,2397.0
Sinai Province of the Islamic State,1914.0
Maoists,1849.0
National Liberation Army of Colombia (ELN),1847.0
Sudan People's Liberation Movement in Opposition (SPLM-IO),1826.0
Democratic Revolutionary Alliance (ARDE),1803.0
Irish Republican Army (IRA),1796.0
Islamic State of Iraq (ISI),1726.0
Donetsk People's Republic,1663.0
Chechen Rebels,1616.0
Tamils,1483.0
Armed Islamic Group (GIA),1465.0
M-19 (Movement of April 19),1323.0
Lashkar-e-Jhangvi,1310.0
Hezbollah,1273.0
Islamist extremists,1158.0
Separatists,1062.0
Lashkar-e-Taiba (LeT),1037.0
Tutsi extremists,932.0
Al-Qaida in the Islamic Maghreb (AQIM),921.0
Tawhid and Jihad,876.0
People's Liberation Front (JVP),859.0
Abu Sayyaf Group (ASG),858.0
Hamas (Islamic Resistance Movement),857.0
Jamaat Nusrat al-Islam wal Muslimin (JNIM),855.0
Basque Fatherland and Freedom (ETA),819.0
Anti-Balaka Militia,817.0
Hay'at Tahrir al-Sham,816.0
Death Squad,813.0
Islamic State in the Greater Sahara (ISGS),806.0
Samri militia,766.0
Moro Islamic Liberation Front (MILF),749.0
Tribesmen,706.0
Muslim Militants,695.0
Communist Party of Nepal- Maoist (CPN-M),654.0
African National Congress (South Africa),636.0
United Liberation Front of Assam (ULFA),627.0
Moro National Liberation Front (MNLF),623.0
Central Africa Province of the Islamic State,620.0
Haqqani Network,600.0
Salafist Group for Preaching and Fighting (GSPC),590.0
Nicaraguan Resistance,588.0
Sudan People's Liberation Movement - North,586.0
Guerrilla Army of the Poor (EGP),579.0
Tupac Amaru Revolutionary Movement (MRTA),560.0
Tripoli Province of the Islamic State,552.0
Algerian Islamic Extremists,551.0
Revolutionary United Front (RUF),533.0
Janjaweed,526.0
Popular Liberation Army (EPL),524.0
Palestinians,520.0
Mujahedin-e Khalq (MEK),516.0
Democratic Front for the Liberation of Rwanda (FDLR),516.0
National Democratic Front of Bodoland (NDFB),514.0
Gunmen,513.0
Adan-Abyan Province of the Islamic State,493.0
Narco-Terrorists,492.0
Al-Gama'at al-Islamiyya (IG),492.0
Hizbul Mujahideen (HM),477.0
Shanti Bahini - Peace Force,439.0
Cooperative for the Development of the Congo (CODECO) militia,439.0
Contras,427.0
Free Syrian Army,421.0
Baloch Liberation Army (BLA),419.0
Seleka,418.0
Barqa Province of the Islamic State,417.0
Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs,412.0
Rebels,410.0
People's War Group (PWG),410.0
Naxalites,409.0
Muslim Rebels,409.0
Simon Bolivar Guerrilla Coordinating Board (CGSB),391.0
Uighur Separatists,389.0
Muslims,387.0
Murle Tribe,385.0
Lashkar-e-Islam (Pakistan),384.0
Bangsamoro Islamic Freedom Movement (BIFM),379.0
Bodo Militants,376.0
Ulster Volunteer Force (UVF),367.0
Khmer Rouge,361.0
Tigray Peoples Liberation Front (TPLF),354.0
Inkatha Freedom Party (IFP),345.0
Protestant extremists,345.0
Jihadi-inspired extremists,343.0
Jemaah Islamiya (JI),341.0
United Self Defense Units of Colombia (AUC),341.0
Left-Wing Guerrillas,341.0
Mayi Mayi,328.0
Palestinian Extremists,315.0
Peasant Self-Defense Group (ACCU),313.0
Palestinian Islamic Jihad (PIJ),307.0
Muslim Brotherhood,306.0
Jaysh al-Islam (Syria),305.0
Christian extremists,304.0
Sanaa Province of the Islamic State,304.0
Union for Peace in Central Africa (UPC),297.0
Baloch Liberation Front (BLF),295.0
Movement for the Emancipation of the Niger Delta (MEND),290.0
Al-Aqsa Martyrs Brigade,290.0
Islamic Front (Syria),287.0
Front for the Liberation of Lebanon from Foreigners,287.0
Revolutionary Organization of People in Arms (ORPA),287.0
Abu Nidal Organization (ANO),278.0
Anti-Government extremists,277.0
Misurasata Indian Organization,270.0
Party for the Liberation of the Hutu People (PALIPEHUTU),269.0
Justice and Equality Movement (JEM),267.0
Ansar al-Sunna (Mozambique),266.0
National Liberation Front of Tripura (NLFT),259.0
Paramilitaries,258.0
Jundallah (Pakistan),254.0
Luhansk People's Republic,252.0
Vigilante Group,250.0
Kashmiri extremists,249.0
Palestine Liberation Organization (PLO),246.0
Popular Front for the Renaissance of the Central African Republic (FPRC),245.0
Ethiopian People's Revolutionary Party,241.0
Sandinista National Liberation Front (FSLN),241.0
Jaish-e-Mohammad (JeM),237.0
Front for the Restoration of Unity and Democracy,236.0
Muttahida Qami Movement (MQM),236.0
Harkatul Jihad-e-Islami,234.0
Ansar Bayt al-Maqdis (Ansar Jerusalem),231.0
Movement of Democratic Forces of Casamance,231.0
Karen National Union,228.0
Caucasus Emirate,228.0
National Resistance Movement (NRM),228.0
Maoist Communist Center (MCC),226.0
Right-Wing Death Squad,225.0
Gumuz militia,222.0
Polisario Front,220.0
Kamwina Nsapu Militia,220.0
Oromo Liberation Front,219.0
David Yau Yau Militia,218.0
Sudan People's Liberation Army (SPLA),218.0
Communists,215.0
Indian Mujahideen,212.0
Montoneros (Argentina),212.0
Islamic Salvation Front (FIS),211.0
Ansar al-Din Front,206.0
Baloch Republican Army (BRA),202.0
Ulster Freedom Fighters (UFF),202.0
National Patriotic Front of Liberia (NPFL),196.0
Deccan Mujahideen,184.0
Special Purpose Islamic Regiment (SPIR),184.0
Serbian extremists,184.0
M23,183.0
The Extraditables,181.0
Abdullah Azzam Brigades,180.0
Muslim Separatists,180.0
Shia Muslim extremists,173.0
"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",173.0
Sunni Muslim extremists,169.0
Revolutionary Armed Forces of Colombia (FARC) dissidents,169.0
Al-Naqshabandiya Army,165.0
Ansar al-Sunna,164.0
Kurdistan Freedom Hawks (TAK),161.0
Jundallah (Iran),161.0
United Baloch Army (UBA),161.0
Ogaden National Liberation Front (ONLF),159.0
Rebel Military Unit,158.0
Dan Na Ambassagou,157.0
Rwanda Patriotic Front (RPF),156.0
Tripura National Volunteers (TNV),154.0
Arakan Rohingya Salvation Army (ARSA),151.0
Popular Front for the Liberation of Palestine (PFLP),150.0
Islamic State in Egypt,150.0
Movement for Oneness and Jihad in West Africa (MUJAO),150.0
Dissident Military Mmbrs of Northern Tribal Group,150.0
Misrata Brigades,146.0
Moslem Activists,146.0
Militants,146.0
National Socialist Council of Nagaland,146.0
Naga People,145.0
Azawad National Liberation Movement (MNLA),144.0
Zimbabwe African People's Union,143.0
Anti-Government Guerrillas,143.0
Anti-Communist Vigilante Group,142.0
Taliban (Pakistan),141.0
Mujahideen Ansar,141.0
Free Aceh Movement (GAM),140.0
Uganda People's Army,136.0
Ahrar al-Sham,135.0
Hadramawt Province of the Islamic State,134.0
Khalistan Liberation Force,134.0
Tuareg extremists,134.0
Muslim Fundamentalists,129.0
Patriotic Union of Kurdistan (PUK),128.0
People's Protection Units (YPG),126.0
People's Liberation Forces (FPL),124.0
Ansar al-Sharia (Libya),123.0
Karen Insurgents,123.0
White supremacists/nationalists,123.0
Dev Sol,123.0
Asa'ib Ahl al-Haqq,122.0
Military Council of the Tribal Revolutionaries (MCTR),122.0
Right-wing extremists,120.0
Islambouli Brigades of al-Qaida,120.0
Khalistan Commando Force,118.0
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),117.0
Guatemalan National Revolutionary Unity (URNG),115.0
Southern Mobility Movement (Yemen),114.0
Ansar al-Dine (Mali),114.0
Revolutionary Front for an Independent East Timor (FRETILIN),112.0
Mai Mai Mazembe Militia,111.0
Jaish al-Adl,110.0
Turkestan Islamic Party,109.0
Free Papua Movement (OPM-Organisasi Papua Merdeka),109.0
Rahanwein Resistance Army (RRA),109.0
Irish National Liberation Army (INLA),108.0
Popular Resistance Committees (Yemen),107.0
Jund al-Khilafah (Tunisia),105.0
Terrorists,105.0
Haftar Militia,104.0
Right-Wing Paramilitaries,104.0
Union of Forces for Democracy and Development (UFDD),103.0
Dogon extremists,102.0
Jaish-e-Islam,102.0
Issa and Gurgura Liberation Front,100.0
Institutional Revolutionary Party (PRI),100.0
Fezzan Province of the Islamic State,100.0
Jabha East Africa,100.0
Revolutionary Armed Forces of Nicaragua (FARN),100.0
Armed Forces of the Chechen Republic of Ichkeria,99.0
Shura Council of Benghazi Revolutionaries,99.0
Ansar al-Islam,99.0
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),98.0
Ahmad Jibril,98.0
Armenian Guerrillas,98.0
South-West Africa People's Organization (SWAPO),96.0
"Return, Reclamation, Rehabilitation (3R)",96.0
Guerrillas,96.0
Ranbir Sena,95.0
Armed Revolutionary Nuclei (NAR),95.0
All Tripura Tiger Force (ATTF),95.0
Ninjas,94.0
Manuel Rodriguez Patriotic Front (FPMR),93.0
Hizb-ul-Ahrar (HuA),93.0
People's Liberation Army (India),91.0
Tribal Group,89.0
Toposa and Dongiro Tribes,89.0
Irish Republican Extremists,89.0
Ex-Somoza National Guard,88.0
Babbar Khalsa International (BKI),88.0
Al-Fatah,87.0
First of October Antifascist Resistance Group (GRAPO),86.0
Jaish al-Sunnah,86.0
National Democratic Alliance Army (NDAA-ESSA),86.0
Incite the Believers,84.0
Islamic Movement for the Liberation of Raja,84.0
America Battalion,83.0
Hizb-I-Islami,81.0
Zapatista National Liberation Army,81.0
Dacoits,81.0
Garo National Liberation Army,81.0
Kachin Independence Army (KIA),81.0
Holy Spirit Movement,80.0
Effiat ethnic roup or Jbibio Peoples,80.0
Bodo Liberation Tigers (BLT),78.0
Mon Guerrillas,78.0
Arakan Army (AA),78.0
Sunni Supporters,77.0
Black September,77.0
Ijaw extremists,77.0
Peace at Home Council,77.0
Movement for Democracy and Justice in Chad (MDJT),77.0
Bunda Dia Kongo (BDK),76.0
Martyr Abu Ja'far Group,76.0
Supporters of Abd Rabbuh Mansur Hadi,76.0
Ansar al-Islam (Burkina Faso),75.0
Coordination of the United Revolutionary Organization (CORU),75.0
Dozo militia,74.0
People's Liberation Front of India,74.0
Al-Islah Party,74.0
Recontras,74.0
Mai Mai Simba Militia,74.0
National Council for Defense of Democracy (NCDD),73.0
Al-Qaida in Saudi Arabia,73.0
Muslim Guerrillas,73.0
23rd of September Communist League,72.0
Al-Mansoorian,72.0
Caucasus Province of the Islamic State,71.0
Left-Wing Terrorists,71.0
Lendu extremists,70.0
Halqa-e-Mehsud,70.0
Red Brigades,69.0
Islamic Unification Movement,68.0
Najd Province of the Islamic State,68.0
Mujahedeen Shura Council,67.0
Nur-al-Din al-Zinki Movement,66.0
Students Islamic Movement of India (SIMI),66.0
Iraqi Liberation Army,66.0
Ta'ang National Liberation Army (TNLA),66.0
Kurdistan Free Life Party,66.0
Islamic State in Bangladesh,66.0
Jammu and Kashmir Liberation Front,66.0
Barisan Revolusi Nasional (BRN),65.0
Twa Militia,65.0
Kurdish Democratic Party-Iraq (KDP),65.0
Azerbaijan Guerrillas,65.0
Mahdi Army,65.0
National Salvation Front (NAS),65.0
Modakeke Ethnics,64.0
Shura Council of Mujahideen in Derna,63.0
Angolan Defense Force,62.0
Kata'ib Hezbollah,61.0
Sipah-e-Sahaba/Pakistan (SSP),61.0
Mahaz-e-Inquilab,61.0
Ricardo Franco Front (Dissident FARC),61.0
Armenian Secret Army for the Liberation of Armenia,61.0
Democratic Front for the Liberation of Palestine (DFLP),61.0
National Socialist Council of Nagaland-Khaplang (NSCN-K),61.0
Amhara tribal group,61.0
Jamaat-E-Islami (Bangladesh),61.0
Islamic Arab Front of Azawad (FIAA),60.0
Armed Forces for Liberation of East Timor (FALINTIL),60.0
Eelam People's Revolutionary Liberation Front (EPRLF),60.0
Anti Kurdish Workers Party Iraq nationals,60.0
Amhara militia,60.0
Misseriya Arab Tribesmen,60.0
Jamaah Ansharut Daulah,60.0
Resistance to the Rule of Law in Burundi (Red-Tabara),59.0
Runda Kumpulan Kecil (RKK),59.0
Israeli settlers,59.0
