nkill,latitude,longitude
88.0,37.99749,23.762728
92.0,-34.61768,-58.444435
73.0,13.077333,-59.493008
100.0,5.299445,100.460795
98.0,33.888523,35.503513
422.0,30.345997,48.287136
54.0,-16.788805,28.853974
54.0,36.201721,37.14352
85.0,44.49419,11.346518
300.0,13.933732,-89.025836
60.0,13.786461,-89.045407
54.0,13.64121,-88.785423
58.0,13.43204,-88.592239
87.0,13.582486,-87.94546
60.0,13.64121,-88.785423
100.0,13.703735,-88.804566
100.0,14.316667,-91.9
74.0,35.724533,51.40519
83.0,33.888523,35.503513
54.0,27.181122,31.179426
90.0,36.201721,37.14352
70.0,14.563479,-90.982067
66.0,33.888523,35.503513
80.0,14.073542,-88.787842
67.0,12.61667,-87.01667
51.0,15.347892,-90.87235
60.0,13.755754,-88.73273
100.0,15.408333,-91.147222
60.0,35.724533,51.40519
114.0,13.43333,-88.26667
124.0,13.445104,-88.246118
76.0,13.864829,-88.7494
90.0,33.287166,35.236186
100.0,13.818333,-87.971389
76.0,33.303566000000004,44.371773
75.0,13.839446,-83.932081
60.0,13.49446,-88.530343
100.0,0.827112,32.627746
57.0,-12.382602,13.90511
60.0,-12.939782,-74.247478
62.0,-14.31884,-74.378173
75.0,12.810234,-85.786635
56.0,13.541594,-86.638035
63.0,33.888523,35.503513
120.0,13.63325,-86.476299
58.0,13.6,-87.76667
100.0,12.88263,-86.71939
120.0,13.883333,-88.966667
102.0,13.883333,-88.966667
51.0,-13.720412,-74.17097
79.0,-13.942825,-74.312575
52.0,13.631126,-86.528927
58.0,-11.185346,18.440938
77.0,-12.590426,13.416202
111.0,25.01126,55.06116
165.0,13.6,-88.85
241.0,33.888523,35.503513
58.0,33.888523,35.503513
108.0,12.710919,-87.023859
60.0,-12.990098,-74.686882
54.0,11.327162,-84.038559
132.0,10.984639,-84.323565
65.0,13.229233,-86.86908
300.0,9.999547,29.398746
228.0,1.687313,31.713846
60.0,13.766667,-88.266667
88.0,13.544303,-86.165168
110.0,11.701622,-84.330582
54.0,-17.777883,-69.959507
51.0,12.82166,-84.203876
180.0,12.82166,-84.203876
100.0,-15.155556,-73.981389
51.0,13.975556,-89.34
250.0,13.364485,-85.29338
93.0,13.62679,-85.8254
200.0,12.030552,39.046849
80.0,11.43857,-85.936974
58.0,8.633052,126.095835
111.0,13.316667,-85.3
80.0,13.933732,-89.025836
63.0,11.13685,-85.354451
74.0,8.964041,80.787941
74.0,8.964041,80.787941
67.0,9.267091,80.814248
130.0,-7.61837,15.721794
59.0,13.174408,-86.612595
94.0,13.62679,-85.8254
75.0,34.438094,35.830837
75.0,33.888523,35.503513
60.0,14.338896,-89.178268
146.0,8.345185,80.388133
52.0,12.010701,-83.766037
60.0,33.877384,35.536163
75.0,34.438094,35.830837
329.0,43.666667,-79.416667
62.0,-17.483762,16.329004
52.0,13.336944,-87.843889
97.0,4.667128,-74.106056
66.0,12.265244,-85.08308
60.0,37.99749,23.762728
70.0,13.62679,-85.8254
70.0,13.876944,-89.173556
240.0,-18.293199,35.939217
75.0,-7.694505,21.361223
227.0,-25.891968,32.605135
62.0,24.64732,46.714581
80.0,33.888523,35.503513
60.0,6.941837,79.861687
70.0,14.107072,-89.072863
65.0,9.666399,80.020477
126.0,8.577826,81.218719
106.0,6.941837,79.861687
75.0,24.891115,67.143311
388.0,-23.738177,34.974707
100.0,14.930957,-91.909924
59.0,7.716666,81.700188
63.0,-25.891968,32.605135
52.0,34.438094,35.830837
68.0,-11.900371,-74.600005
270.0,55.120154,-3.355942
84.0,-8.54966,125.566599
58.0,9.267091,80.814248
53.0,-10.925868,-74.873099
68.0,-11.775033,-75.500112
51.0,8.757816,80.487907
82.0,-23.972277,33.563788
54.0,-25.060413,33.695934
60.0,8.612842,80.462876
52.0,7.317458,80.702036
171.0,16.864946,11.953771
107.0,4.667128,-74.106056
55.0,-25.444486,31.99311
90.0,8.834273,80.051047
114.0,7.414383,81.830633
62.0,7.331414,81.833366
62.0,7.331414,81.833366
72.0,-10.285083,-77.1987
82.0,7.689011,81.72947
96.0,14.09396,-88.889278
54.0,-11.792588,19.906596
100.0,7.50506,-11.47793
58.0,7.612269,81.70897
62.0,30.860768,75.744748
140.0,8.768889,80.302222
60.0,6.941837,79.861687
67.0,-13.152712,-74.218628
77.0,-9.929478,-76.239738
200.0,9.433589,80.571195
180.0,45.338317,16.09098
61.0,-8.748752,-76.223882
130.0,18.527716,-72.33284
100.0,9.600875,41.850142
52.0,-12.058285,-77.105378
61.0,9.600875,41.850142
65.0,-3.382942,29.367103
61.0,11.519184,42.262496
105.0,11.759351,42.791767
60.0,11.510046,42.10496
80.0,4.595669,8.270638
200.0,9.356784,42.795518
61.0,-2.888895,29.120025
56.0,7.95,81.133333
84.0,8.140833,81.105556
115.0,19.075984,72.877656
61.0,26.200605,92.937574
57.0,16.738601,-92.633229
53.0,-26.184113,28.033232
59.0,39.670837,44.216257
62.0,5.880801,-10.046602
1180.0,-1.932787,30.332456
170.0,-2.607735,29.736193
70.0,-1.949011,30.057852
51.0,35.567009,45.385494
70.0,36.32396,59.556959
60.0,7.790662,-11.889172
85.0,-34.61768,-58.444435
70.0,26.833611,92.223889
70.0,-3.020917,30.362405
54.0,6.941837,79.861687
55.0,33.680278,1.020278
76.0,37.137891,42.699011
114.0,7.78403,122.593085
168.0,35.472015,-97.520354
82.0,2.877973,32.724087
52.0,9.794723,80.072777
121.0,44.783889,44.165833
111.0,-1.688016,29.345272
62.0,4.667128,-74.106056
57.0,7.716668,81.70019
93.0,7.716666,81.700188
90.0,6.941837,79.861687
375.0,-3.016027,29.450726
70.0,-3.427512,29.924253
64.0,6.954722,81.488889
80.0,-3.209682,29.563585
91.0,1.833333,33.516667
61.0,6.855948,79.862968
58.0,2.878003,32.718138
97.0,33.897995,70.107536
123.0,8.977146,38.773226
64.0,36.309255,2.800806
135.0,-2.961686,29.194196
81.0,9.267091,80.814248
52.0,35.832368,2.670058
58.0,0.258052,30.52791
76.0,36.2664,1.961003
124.0,-1.679123,29.261201
64.0,36.511808,3.19924
256.0,36.612427,3.124495
53.0,36.34889,2.75472
85.0,36.66655,3.09606
52.0,36.577409,3.011017
109.0,8.885503,80.276733
57.0,36.803372,44.663587
300.0,-1.679123,29.261201
58.0,25.71468,32.717499
271.0,-1.587877,29.381578
54.0,-1.679123,29.261201
206.0,36.200833,1.733611
206.0,35.961111,0.918889
104.0,-3.375828,29.364107
56.0,-2.080109,29.75988
320.0,9.380289,80.377
54.0,9.82486,80.236347
52.0,35.352153,3.361564
120.0,-3.57293,29.899354
105.0,-8.767592,17.997744
224.0,-1.28518,36.821107
80.0,1.25525,-70.23339
100.0,9.335122,-12.103217
96.0,9.350089,-11.706829
64.0,43.047456,44.665806
63.0,-4.361389,14.764444
100.0,7.73173,10.816375
77.0,21.322268,16.889136
60.0,-7.616491,15.049618
64.0,42.798771,47.108715
90.0,55.751377,37.579914
118.0,55.751377,37.579914
54.0,8.885503,80.276733
65.0,7.10577,-77.76488
63.0,9.563842,80.399966
200.0,0.066857,30.065281
74.0,5.22336,-76.03194
60.0,8.546324,-9.467418
150.0,34.733333,66.966667
129.0,-8.762212,15.407738
95.0,-8.579318,13.664153
70.0,-7.379731,20.831416
1385.0,40.697132,-73.931351
1385.0,40.697132,-73.931351
190.0,38.878742,-77.100006
52.0,6.05519,121.001323
102.0,29.14176,81.248374
170.0,27.930484,82.330002
60.0,5.069299,33.438353
119.0,6.521111,-76.972222
140.0,28.381562,82.648344
79.0,5.069299,33.438353
79.0,5.069299,33.438353
78.0,5.069299,33.438353
78.0,5.069299,33.438353
78.0,5.069299,33.438353
78.0,3.958353,32.894221
101.0,-8.722791,115.17229
101.0,-8.722791,115.17229
52.0,1.833333,33.516667
170.0,55.751377,37.579914
57.0,43.320229,45.654491
60.0,1.595657,29.417829
59.0,43.6753,45.1277
70.0,-4.848641,23.799973
53.0,30.200819,66.994354
52.0,19.075984,72.877656
100.0,32.000596,44.330818
56.0,2.258083,32.887407
71.0,32.887157,44.341637
116.0,14.601285,120.952293
110.0,32.604393,44.007145
58.0,33.303566000000004,44.371773
73.0,40.465595,-3.696263
62.0,40.465595,-3.696263
518.0,27.959441,84.895897
74.0,30.510054,47.778095
60.0,36.354145,43.14357
70.0,33.74324,44.623825
344.0,43.191626,44.541763
62.0,32.000596,44.330818
110.0,32.469238,44.416637
51.0,31.177809,71.209295
60.0,36.192589,44.004623
59.0,32.925266,44.770956
53.0,27.412924,84.375233
54.0,32.777344,44.289352
91.0,27.915557,34.329886
160.0,33.303566000000004,44.371773
65.0,34.010471,44.148235
55.0,28.585836,77.153336
77.0,34.347343,45.383274
55.0,18.9,81.35
62.0,33.303566000000004,44.371773
90.0,33.303566000000004,44.371773
57.0,24.891115,67.143311
200.0,6.418291,3.165647
63.0,8.345185,80.388133
77.0,33.303566000000004,44.371773
188.0,19.075984,72.877656
56.0,33.057991,44.354839
59.0,32.032916,44.399648
100.0,8.457907,81.268402
61.0,6.941837,79.861687
103.0,8.577826,81.218719
80.0,11.994044,25.631861
80.0,11.649058,24.904046
205.0,33.303566000000004,44.371773
61.0,33.303566000000004,44.371773
51.0,33.303566000000004,44.371773
61.0,33.303566000000004,44.371773
65.0,33.303566000000004,44.371773
88.0,33.303566000000004,44.371773
57.0,32.469238,44.416637
120.0,33.303566000000004,44.371773
66.0,33.303566000000004,44.371773
56.0,33.303566000000004,44.371773
66.0,29.314112,76.970119
63.0,17.194404,21.585861
92.0,32.469238,44.416637
55.0,19.086111,80.715556
145.0,36.376823,42.448875
72.0,33.303566000000004,44.371773
53.0,33.848618,44.522125
145.0,36.376823,42.448875
153.0,36.376823,42.448875
73.0,15.767284,24.902277
127.0,33.303566000000004,44.371773
74.0,10.950041,39.499999
69.0,32.604393,44.007145
62.0,8.785598,80.41596
79.0,33.303566000000004,44.371773
150.0,34.726269,44.584908
96.0,33.671638,73.056068
80.0,35.45211,44.375465
250.0,36.202354,41.687168
250.0,36.183247,41.591599
141.0,24.891115,67.143311
100.0,4.180091,42.056609
64.0,36.177311,68.752136
90.0,33.897995,70.107536
72.0,34.14658,71.743538
70.0,30.510054,47.778095
90.0,33.303566000000004,44.371773
160.0,12.126693,15.0284
101.0,31.631083,65.742226
64.0,32.887157,44.341637
56.0,33.303566000000004,44.371773
134.0,15.648287,32.480719
63.0,33.303566000000004,44.371773
58.0,34.516895,69.147011
64.0,33.671638,73.056068
61.0,33.671638,73.056068
58.0,19.075984,72.877656
68.0,19.075984,72.877656
56.0,35.45211,44.375465
89.0,4.718282,27.683022
60.0,3.898484,27.239934
400.0,3.292111,29.168137
57.0,34.002579,71.382477
66.0,33.303566000000004,44.371773
86.0,-1.694006,28.477637
64.0,4.51317,46.283653
83.0,35.303047,44.329933
55.0,33.303566000000004,44.371773
184.0,43.825645,87.616823
77.0,11.840929,13.141459
76.0,11.840929,13.141459
76.0,11.840929,13.141459
75.0,11.840929,13.141459
100.0,3.692178,27.895218
70.0,32.320237,69.859741
102.0,33.303566000000004,44.371773
76.0,33.303566000000004,44.371773
77.0,33.303566000000004,44.371773
120.0,34.006004,71.53743
51.0,31.50547,74.34288
100.0,32.431245,70.965876
74.0,3.692178,27.895218
60.0,33.848618,44.522125
82.0,18.9,81.35
115.0,22.451393,86.992203
106.0,34.565494,71.477429
60.0,0.350848,32.580224
69.0,16.356323,44.091938
58.0,33.303566000000004,44.371773
66.0,30.200819,66.994354
80.0,32.707578,69.33187
58.0,33.303566000000004,44.371773
96.0,33.68745,71.516037
52.0,34.565494,71.477429
61.0,34.621521,43.668377
110.0,13.219398,45.307838
68.0,34.621521,43.668377
52.0,30.034319,70.639676
82.0,34.217285,71.561043
56.0,7.280575,28.67995
69.0,60.023268,10.24768
57.0,34.002579,71.382477
101.0,2.059819,45.326115
60.0,32.264539,68.524715
56.0,34.516895,69.147011
54.0,30.510054,47.778094
210.0,13.129727,45.385572
57.0,13.883333,45.866667
57.0,33.515242,36.292083
97.0,15.325444,44.211895
51.0,35.188786,37.211583
153.0,-1.131175,29.254875
54.0,30.20082,66.994352
53.0,30.20082,66.994352
69.0,28.052182,9.556767
61.0,35.135796,37.020739
103.0,7.789235,32.97644
91.0,30.20082,66.994352
62.0,33.515242,36.292083
57.0,33.036022,40.288159
53.0,32.37001,62.128458
71.0,15.325444,44.211895
54.0,35.8686,36.719222
70.0,11.016667,29.716667
70.0,35.346073,40.178223
60.0,36.1789,37.285795
123.0,36.170666,37.042728
82.0,34.235014,69.985042
82.0,32.505129,63.766966
142.0,11.80378,12.49035
72.0,-1.28518,36.821107
88.0,34.006004,71.537431
68.0,15.325444,44.211895
54.0,4.37474,18.551293
70.0,11.526846,13.69271
52.0,11.655408,13.412932
106.0,12.12052,13.174035
96.0,11.526846,13.69271
62.0,6.960118,31.372189
62.0,6.960315,31.372943
61.0,6.960315,31.372943
59.0,11.24707,12.01246
51.0,32.469239,44.416638
212.0,11.840793,13.141391
200.0,12.124167,6.534444
60.0,12.082407,14.467137
60.0,11.725265,14.263032
71.0,9.066559,7.483589
287.0,9.259689,29.800148
62.0,6.219991,31.550005
55.0,7.25,16.433333
315.0,12.359468,14.210929
56.0,11.151905,12.758704
60.0,12.046389,14.480833
200.0,12.046389,14.480833
151.0,11.929978,14.343351
101.0,11.806517,12.497848
59.0,9.933333,8.883333
59.0,9.933333,8.883333
100.0,11.107849,13.813551
100.0,11.083973,13.682182
100.0,11.126492,13.78975
100.0,11.107849,13.813551
61.0,11.829979,12.630177
51.0,11.172749,13.429548
114.0,10.900763,30.069372
670.0,36.407393,42.964625
53.0,32.469239,44.416638
1700.0,34.621521,43.668375
63.0,33.743239,44.623824
75.0,32.365976,44.665562
76.0,32.867009,44.220454
56.0,11.840793,13.141391
70.0,30.19659,63.965456
59.0,11.151905,12.758704
57.0,10.750976,13.220349
310.0,34.608148,38.430948
298.0,48.139156,38.639335
100.0,11.151905,12.758704
60.0,33.540671,44.251268
114.0,35.951521,39.009562
114.0,36.763209,42.602535
67.0,36.319387,41.861475
55.0,7.300804,18.288171
100.0,11.083984,13.693092
953.0,36.319387,41.861475
63.0,8.3488,31.07937
63.0,8.3488,31.07937
400.0,36.17734,41.910161
517.0,35.959198,38.998018
87.0,47.925558,38.195672
59.0,11.526846,13.69271
101.0,12.379026,14.224362
150.0,36.354146,43.143571
81.0,11.655408,13.412932
201.0,11.655408,13.412932
71.0,35.928802,36.631452
150.0,33.420949,43.295662
75.0,33.633895,42.83208
62.0,31.590166,74.575894
201.0,48.06879,37.742007
91.0,-0.872426,42.155462
71.0,33.633442,42.816579
58.0,32.937172,68.647247
65.0,11.840793,13.141391
122.0,11.974328,8.500261
61.0,11.74464,11.970257
51.0,11.655408,13.412932
111.0,35.283095,40.170864
180.0,11.236521,14.126195
90.0,35.644217,36.701914
90.0,35.616253,36.655267
158.0,34.006004,71.537431
150.0,33.349159,43.784197
117.0,11.236521,14.126195
51.0,11.391125,12.909138
71.0,36.043267,43.49884
72.0,35.880593,43.388801
144.0,11.162543,14.013976
107.0,12.164619,6.683263
71.0,33.997048,44.86661
62.0,27.956944,68.637778
126.0,12.379026,14.224362
101.0,12.19103,13.091964
144.0,12.379026,14.224362
57.0,13.700804,13.309
57.0,13.31489,12.6047
90.0,11.398364,14.568441
208.0,12.359468,14.210929
51.0,3.810951,43.246505
74.0,11.655408,13.412932
68.0,11.133775,12.951875
95.0,7.905833,7.854722
62.0,35.247395,37.505927
75.0,11.083984,13.693092
58.0,13.702664,44.733569
152.0,-0.452179,39.661028
300.0,34.363503,41.115997
230.0,14.015,13.378458
200.0,35.791835,36.295017
86.0,12.849085,45.037275
72.0,35.813395,36.319938
280.0,34.558524,38.293671
51.0,11.840793,13.141391
