iday,1,2,3,4,5,6,7,8,9,10,11,12
1,702.0,547.0,612.0,597.0,667.0,655.0,626.0,614.0,500.0,585.0,515.0,613.0
2,499.0,613.0,534.0,578.0,634.0,578.0,638.0,648.0,498.0,537.0,577.0,517.0
3,596.0,605.0,523.0,588.0,653.0,585.0,588.0,610.0,541.0,541.0,514.0,521.0
4,596.0,570.0,502.0,594.0,665.0,622.0,701.0,620.0,574.0,545.0,592.0,500.0
5,530.0,509.0,474.0,620.0,641.0,686.0,621.0,603.0,599.0,511.0,558.0,489.0
6,535.0,580.0,534.0,559.0,565.0,633.0,595.0,541.0,507.0,549.0,546.0,508.0
7,522.0,557.0,611.0,551.0,565.0,602.0,689.0,603.0,601.0,583.0,558.0,470.0
8,588.0,490.0,544.0,576.0,619.0,647.0,571.0,615.0,513.0,517.0,546.0,506.0
9,469.0,593.0,562.0,660.0,641.0,601.0,607.0,506.0,620.0,675.0,570.0,526.0
10,576.0,597.0,619.0,610.0,648.0,605.0,503.0,563.0,538.0,652.0,571.0,525.0
11,540.0,545.0,612.0,582.0,682.0,602.0,583.0,528.0,604.0,553.0,597.0,518.0
12,507.0,590.0,553.0,616.0,638.0,640.0,643.0,565.0,532.0,558.0,637.0,504.0
13,484.0,511.0,548.0,650.0,674.0,626.0,616.0,646.0,536.0,563.0,660.0,462.0
14,552.0,528.0,544.0,639.0,682.0,641.0,576.0,660.0,525.0,539.0,577.0,480.0
15,603.0,593.0,636.0,764.0,621.0,637.0,597.0,674.0,547.0,615.0,595.0,582.0
16,580.0,594.0,529.0,546.0,752.0,642.0,590.0,569.0,539.0,605.0,524.0,549.0
17,567.0,578.0,577.0,540.0,644.0,566.0,590.0,572.0,539.0,556.0,538.0,539.0
18,561.0,572.0,586.0,557.0,668.0,576.0,545.0,546.0,618.0,529.0,598.0,466.0
19,550.0,626.0,608.0,576.0,582.0,543.0,592.0,572.0,561.0,575.0,574.0,484.0
20,579.0,538.0,529.0,528.0,684.0,564.0,642.0,598.0,561.0,663.0,591.0,467.0
21,523.0,630.0,555.0,579.0,600.0,548.0,643.0,521.0,593.0,526.0,539.0,509.0
22,534.0,552.0,628.0,496.0,653.0,576.0,666.0,549.0,481.0,538.0,536.0,493.0
23,486.0,556.0,593.0,517.0,633.0,518.0,646.0,583.0,534.0,599.0,507.0,484.0
24,543.0,566.0,580.0,573.0,595.0,601.0,566.0,587.0,436.0,555.0,535.0,508.0
25,583.0,520.0,545.0,589.0,592.0,551.0,634.0,686.0,513.0,613.0,545.0,444.0
26,638.0,513.0,585.0,524.0,540.0,593.0,562.0,569.0,566.0,584.0,567.0,408.0
27,586.0,516.0,600.0,540.0,644.0,499.0,678.0,620.0,550.0,614.0,551.0,471.0
28,580.0,666.0,577.0,585.0,566.0,536.0,536.0,565.0,600.0,623.0,619.0,522.0
29,525.0,143.0,578.0,592.0,702.0,504.0,615.0,492.0,513.0,643.0,503.0,520.0
30,578.0,,572.0,519.0,583.0,556.0,528.0,474.0,551.0,579.0,492.0,448.0
31,528.0,,501.0,,552.0,,545.0,464.0,,499.0,,489.0
