imonth,iday,count
1,1,702
1,2,499
1,3,596
1,4,596
1,5,530
1,6,535
1,7,522
1,8,588
1,9,469
1,10,576
1,11,540
1,12,507
1,13,484
1,14,552
1,15,603
1,16,580
1,17,567
1,18,561
1,19,550
1,20,579
1,21,523
1,22,534
1,23,486
1,24,543
1,25,583
1,26,638
1,27,586
1,28,580
1,29,525
1,30,578
1,31,528
2,1,547
2,2,613
2,3,605
2,4,570
2,5,509
2,6,580
2,7,557
2,8,490
2,9,593
2,10,597
2,11,545
2,12,590
2,13,511
2,14,528
2,15,593
2,16,594
2,17,578
2,18,572
2,19,626
2,20,538
2,21,630
2,22,552
2,23,556
2,24,566
2,25,520
2,26,513
2,27,516
2,28,666
2,29,143
3,1,612
3,2,534
3,3,523
3,4,502
3,5,474
3,6,534
3,7,611
3,8,544
3,9,562
3,10,619
3,11,612
3,12,553
3,13,548
3,14,544
3,15,636
3,16,529
3,17,577
3,18,586
3,19,608
3,20,529
3,21,555
3,22,628
3,23,593
3,24,580
3,25,545
3,26,585
3,27,600
3,28,577
3,29,578
3,30,572
3,31,501
4,1,597
4,2,578
4,3,588
4,4,594
4,5,620
4,6,559
4,7,551
4,8,576
4,9,660
4,10,610
4,11,582
4,12,616
4,13,650
4,14,639
4,15,764
4,16,546
4,17,540
4,18,557
4,19,576
4,20,528
4,21,579
4,22,496
4,23,517
4,24,573
4,25,589
4,26,524
4,27,540
4,28,585
4,29,592
4,30,519
5,1,667
5,2,634
5,3,653
5,4,665
5,5,641
5,6,565
5,7,565
5,8,619
5,9,641
5,10,648
5,11,682
5,12,638
5,13,674
5,14,682
5,15,621
5,16,752
5,17,644
5,18,668
5,19,582
5,20,684
5,21,600
5,22,653
5,23,633
5,24,595
5,25,592
5,26,540
5,27,644
5,28,566
5,29,702
5,30,583
5,31,552
6,1,655
6,2,578
6,3,585
6,4,622
6,5,686
6,6,633
6,7,602
6,8,647
6,9,601
6,10,605
6,11,602
6,12,640
6,13,626
6,14,641
6,15,637
6,16,642
6,17,566
6,18,576
6,19,543
6,20,564
6,21,548
6,22,576
6,23,518
6,24,601
6,25,551
6,26,593
6,27,499
6,28,536
6,29,504
6,30,556
7,1,626
7,2,638
7,3,588
7,4,701
7,5,621
7,6,595
7,7,689
7,8,571
7,9,607
7,10,503
7,11,583
7,12,643
7,13,616
7,14,576
7,15,597
7,16,590
7,17,590
7,18,545
7,19,592
7,20,642
7,21,643
7,22,666
7,23,646
7,24,566
7,25,634
7,26,562
7,27,678
7,28,536
7,29,615
7,30,528
7,31,545
8,1,614
8,2,648
8,3,610
8,4,620
8,5,603
8,6,541
8,7,603
8,8,615
8,9,506
8,10,563
8,11,528
8,12,565
8,13,646
8,14,660
8,15,674
8,16,569
8,17,572
8,18,546
8,19,572
8,20,598
8,21,521
8,22,549
8,23,583
8,24,587
8,25,686
8,26,569
8,27,620
8,28,565
8,29,492
8,30,474
8,31,464
9,1,500
9,2,498
9,3,541
9,4,574
9,5,599
9,6,507
9,7,601
9,8,513
9,9,620
9,10,538
9,11,604
9,12,532
9,13,536
9,14,525
9,15,547
9,16,539
9,17,539
9,18,618
9,19,561
9,20,561
9,21,593
9,22,481
9,23,534
9,24,436
9,25,513
9,26,566
9,27,550
9,28,600
9,29,513
9,30,551
10,1,585
10,2,537
10,3,541
10,4,545
10,5,511
10,6,549
10,7,583
10,8,517
10,9,675
10,10,652
10,11,553
10,12,558
10,13,563
10,14,539
10,15,615
10,16,605
10,17,556
10,18,529
10,19,575
10,20,663
10,21,526
10,22,538
10,23,599
10,24,555
10,25,613
10,26,584
10,27,614
10,28,623
10,29,643
10,30,579
10,31,499
11,1,515
11,2,577
11,3,514
11,4,592
11,5,558
11,6,546
11,7,558
11,8,546
11,9,570
11,10,571
11,11,597
11,12,637
11,13,660
11,14,577
11,15,595
11,16,524
11,17,538
11,18,598
11,19,574
11,20,591
11,21,539
11,22,536
11,23,507
11,24,535
11,25,545
11,26,567
11,27,551
11,28,619
11,29,503
11,30,492
12,1,613
12,2,517
12,3,521
12,4,500
12,5,489
12,6,508
12,7,470
12,8,506
12,9,526
12,10,525
12,11,518
12,12,504
12,13,462
12,14,480
12,15,582
12,16,549
12,17,539
12,18,466
12,19,484
12,20,467
12,21,509
12,22,493
12,23,484
12,24,508
12,25,444
12,26,408
12,27,471
12,28,522
12,29,520
12,30,448
12,31,489
