eventid,iyear,country_txt,nkill
197010210001,1970,Australia,0.0
197111230001,1971,Australia,0.0
197209170001,1972,Australia,0.0
197209250001,1972,Australia,0.0
197209250002,1972,Australia,0.0
197209250003,1972,Australia,0.0
197209250004,1972,Australia,0.0
197209250005,1972,Australia,0.0
197209250006,1972,Australia,0.0
197212080002,1972,Australia,1.0
197308150003,1973,New Zealand,0.0
197412240001,1974,Australia,0.0
197802130001,1978,Australia,2.0
197805270003,1978,Australia,0.0
197901040001,1979,Australia,0.0
197904000001,1979,Australia,0.0
198006300002,1980,New Hebrides,0.0
198011060004,1980,Australia,0.0
198012000001,1980,Australia,
198012000002,1980,Australia,
198012170005,1980,Australia,2.0
198012240001,1980,Australia,0.0
198012280001,1980,Australia,0.0
198108120008,1981,New Zealand,0.0
198108130003,1981,New Zealand,0.0
198111160001,1981,Australia,1.0
198212230001,1982,Australia,0.0
198212230002,1982,Australia,
198403270015,1984,New Zealand,1.0
198411170005,1984,New Caledonia,0.0
198411170006,1984,New Caledonia,0.0
198411170007,1984,New Caledonia,0.0
198411180005,1984,New Caledonia,0.0
198411290004,1984,New Caledonia,1.0
198411300003,1984,New Caledonia,0.0
198412050002,1984,New Caledonia,10.0
198412310005,1984,New Caledonia,0.0
198412310006,1984,New Caledonia,0.0
198412310007,1984,New Caledonia,0.0
198505130003,1985,New Caledonia,0.0
198505130004,1985,New Caledonia,0.0
198505130005,1985,New Caledonia,0.0
198505130006,1985,New Caledonia,0.0
198511280002,1985,New Caledonia,0.0
198512020010,1985,New Caledonia,0.0
198512030004,1985,New Caledonia,0.0
198602230001,1986,New Caledonia,0.0
198603270001,1986,Australia,0.0
198604060003,1986,New Caledonia,0.0
198611230003,1986,Australia,1.0
198705040023,1987,Fiji,0.0
198707220001,1987,Fiji,0.0
198710160001,1987,Fiji,0.0
198802220009,1988,New Caledonia,0.0
198804100001,1988,Australia,0.0
198804220017,1988,New Caledonia,4.0
198804240007,1988,New Caledonia,0.0
198804270006,1988,New Caledonia,0.0
