eventid,iyear,country_txt,nkill
199108090024,1991,Georgia,0.0
199109060016,1991,Georgia,2.0
199109120003,1991,Azerbaijan,0.0
199109290001,1991,Georgia,0.0
199111200012,1991,Azerbaijan,23.0
199111240014,1991,Azerbaijan,3.0
199112160015,1991,Armenia,0.0
199201080004,1992,Azerbaijan,12.0
199201280004,1992,Azerbaijan,47.0
199202000001,1992,Kazakhstan,2.0
199202200007,1992,Georgia,3.0
199202210006,1992,Georgia,0.0
199202230002,1992,Georgia,0.0
199202240007,1992,Georgia,0.0
199203050008,1992,Azerbaijan,20.0
199203050009,1992,Azerbaijan,27.0
199203050010,1992,Azerbaijan,15.0
199203050011,1992,Azerbaijan,0.0
199203070007,1992,Georgia,0.0
199203070008,1992,Georgia,0.0
199203090005,1992,Georgia,3.0
199203090007,1992,Armenia,2.0
199203100013,1992,Georgia,0.0
199203130001,1992,Georgia,3.0
199203130009,1992,Azerbaijan,50.0
199203130011,1992,Georgia,0.0
199203270008,1992,Azerbaijan,0.0
199204140001,1992,Azerbaijan,1.0
199204220001,1992,Azerbaijan,14.0
199205040008,1992,Tajikistan,0.0
199205100017,1992,Tajikistan,4.0
199205100019,1992,Uzbekistan,0.0
199205150010,1992,Azerbaijan,0.0
199205200013,1992,Georgia,30.0
199205260016,1992,Azerbaijan,0.0
199206130001,1992,Georgia,3.0
199206170001,1992,Georgia,1.0
199206240009,1992,Georgia,0.0
199206290012,1992,Uzbekistan,0.0
199207060006,1992,Georgia,0.0
199207060007,1992,Georgia,0.0
199207060012,1992,Armenia,0.0
199207060015,1992,Georgia,1.0
199207090014,1992,Georgia,1.0
199207090015,1992,Georgia,1.0
199207160009,1992,Georgia,1.0
199207170004,1992,Georgia,0.0
199207310013,1992,Georgia,2.0
199208080012,1992,Georgia,0.0
199208080013,1992,Georgia,1.0
199208080014,1992,Georgia,0.0
199208080016,1992,Georgia,0.0
199208110013,1992,Georgia,0.0
199208240004,1992,Tajikistan,2.0
199208260015,1992,Georgia,0.0
199208260016,1992,Georgia,4.0
199208310008,1992,Tajikistan,0.0
199209080006,1992,Kazakhstan,0.0
199209140006,1992,Georgia,0.0
199209190006,1992,Georgia,29.0
199210180003,1992,Kazakhstan,4.0
199210200010,1992,Tajikistan,0.0
199210260010,1992,Georgia,0.0
199210260011,1992,Georgia,0.0
199210260012,1992,Georgia,0.0
199210280009,1992,Tajikistan,1.0
199210300016,1992,Tajikistan,0.0
199211040014,1992,Tajikistan,0.0
199211040015,1992,Tajikistan,0.0
199211070007,1992,Tajikistan,3.0
199211180002,1992,Georgia,1.0
199211180023,1992,Georgia,1.0
199211190006,1992,Georgia,1.0
199211190024,1992,Tajikistan,1.0
199211210005,1992,Tajikistan,0.0
199212010019,1992,Kazakhstan,2.0
199212020005,1992,Georgia,8.0
199212120009,1992,Tajikistan,0.0
199212130010,1992,Tajikistan,0.0
199212130011,1992,Tajikistan,0.0
199212130012,1992,Tajikistan,0.0
199212250005,1992,Tajikistan,3.0
199212280004,1992,Georgia,15.0
199212290013,1992,Kazakhstan,1.0
199401010029,1994,Tajikistan,15.0
199401110009,1994,Georgia,0.0
199402020009,1994,Azerbaijan,5.0
199402030003,1994,Azerbaijan,3.0
199402030010,1994,Georgia,2.0
199402030011,1994,Georgia,0.0
199403100002,1994,Tajikistan,1.0
199403100008,1994,Georgia,0.0
199403100009,1994,Georgia,0.0
199403100010,1994,Georgia,2.0
199403190006,1994,Azerbaijan,12.0
199403260008,1994,Georgia,0.0
199403270013,1994,Georgia,10.0
199403300011,1994,Azerbaijan,
199404070011,1994,Tajikistan,1.0
199404090018,1994,Georgia,3.0
199404110004,1994,Tajikistan,0.0
199404150002,1994,Armenia,1.0
199404200016,1994,Georgia,3.0
199405070009,1994,Armenia,0.0
199405150007,1994,Georgia,1.0
199405170009,1994,Tajikistan,1.0
199405180002,1994,Tajikistan,1.0
199405180010,1994,Georgia,0.0
199405190006,1994,Tajikistan,1.0
199405270004,1994,Tajikistan,1.0
199405270006,1994,Armenia,0.0
199405310004,1994,Tajikistan,1.0
199406010003,1994,Tajikistan,1.0
199406020004,1994,Tajikistan,4.0
