eventid,iyear,country_txt,nkill
197001000003,1970,Japan,
197003310002,1970,Japan,0.0
197111200002,1971,Taiwan,25.0
197304250001,1973,Japan,0.0
197308290001,1973,Japan,0.0
197407150001,1974,Japan,0.0
197408150001,1974,South Korea,1.0
197411140002,1974,Japan,0.0
197411220001,1974,Japan,0.0
197502280001,1975,Japan,
197504190001,1975,Japan,0.0
197505250001,1975,Japan,
197505250002,1975,Japan,
197507190003,1975,Japan,
197507230001,1975,Japan,0.0
197508140001,1975,Japan,
197508140002,1975,Japan,
197508140003,1975,Japan,
197509240001,1975,Japan,
197509240002,1975,Japan,
197510150001,1975,Japan,
197603020001,1976,Japan,2.0
197610170001,1976,Taiwan,0.0
197700000001,1977,Japan,
197700000002,1977,Japan,
197700000003,1977,Japan,
197711000003,1977,Japan,
197801010004,1978,Japan,
197801270001,1978,Japan,1.0
197801270002,1978,Japan,1.0
197801270003,1978,Japan,1.0
197801270004,1978,Japan,0.0
197802250006,1978,Japan,0.0
197803130002,1978,Japan,0.0
197803190001,1978,Japan,0.0
197803260003,1978,Japan,
197803270005,1978,Japan,
197805050006,1978,Japan,0.0
197805070002,1978,Japan,0.0
197805120008,1978,Japan,0.0
197805180001,1978,Japan,0.0
197805180002,1978,Japan,0.0
197805200004,1978,Japan,0.0
197805200005,1978,Japan,0.0
197805210001,1978,Japan,0.0
197805260001,1978,Japan,0.0
197805290005,1978,Japan,0.0
197806000003,1978,Japan,
197806150003,1978,Japan,0.0
197806180003,1978,Japan,0.0
197806300003,1978,Japan,0.0
197807200001,1978,Japan,1.0
197807300001,1978,Japan,0.0
197808030004,1978,Japan,0.0
197808090001,1978,Japan,0.0
197809030001,1978,Japan,
197809040001,1978,Japan,0.0
197809040002,1978,Japan,0.0
197809160006,1978,Japan,0.0
197810000004,1978,Japan,
197812150006,1978,Japan,0.0
197812170001,1978,Japan,0.0
197900000001,1979,Japan,3.0
197902060005,1979,Japan,0.0
197903180002,1979,Japan,0.0
197903180003,1979,Japan,0.0
197903180004,1979,Japan,0.0
197903180005,1979,Japan,0.0
197903310003,1979,Japan,0.0
197904290004,1979,Japan,
197906000020,1979,Japan,
197906090003,1979,Japan,2.0
197906150002,1979,Japan,0.0
197906200006,1979,Japan,
197906240010,1979,Japan,
197906240011,1979,Japan,
197906270004,1979,Japan,0.0
197906280010,1979,Japan,0.0
198002060001,1980,Hong Kong,0.0
198102210002,1981,Hong Kong,0.0
198103160007,1981,Japan,0.0
198103310003,1981,Hong Kong,0.0
198108190002,1981,Hong Kong,0.0
198203180007,1982,South Korea,1.0
198209070001,1982,Japan,0.0
198209170002,1982,Japan,0.0
198305270019,1983,Japan,0.0
198306080004,1983,Japan,2.0
198307000001,1983,Japan,0.0
198307040011,1983,Japan,0.0
198307050002,1983,Japan,0.0
198307050003,1983,Japan,0.0
198307050004,1983,Japan,0.0
198307050005,1983,Japan,0.0
198309220001,1983,South Korea,1.0
198311010001,1983,Japan,0.0
198311010008,1983,Japan,
198311080004,1983,Japan,
198311180005,1983,Japan,0.0
198402130007,1984,Japan,0.0
198404040008,1984,Japan,0.0
198407160004,1984,Japan,0.0
198407160005,1984,Japan,0.0
198407160006,1984,Japan,0.0
198407160007,1984,Japan,0.0
198407160008,1984,Japan,0.0
198407160009,1984,Japan,0.0
198407160011,1984,Japan,0.0
198407160012,1984,Japan,0.0
198407160013,1984,Japan,0.0
198409060001,1984,Japan,0.0
198409190002,1984,Japan,0.0
198410080006,1984,Japan,0.0
198412270006,1984,Japan,0.0
198501010004,1985,Japan,0.0
198504130002,1985,Japan,0.0
198504130003,1985,Japan,0.0
198505070004,1985,Japan,0.0
198505070005,1985,Japan,0.0
198505070006,1985,Japan,0.0
198506230003,1985,Japan,2.0
198507010030,1985,Japan,0.0
198507200002,1985,Japan,0.0
198511290004,1985,Japan,0.0
198603250002,1986,Japan,0.0
198603250003,1986,Japan,0.0
198603280002,1986,Japan,0.0
198603280003,1986,Japan,0.0
198603310001,1986,Japan,0.0
198604020004,1986,Japan,
198604150011,1986,Japan,0.0
198606190010,1986,Japan,3.0
198609140001,1986,South Korea,5.0
198609240002,1986,Japan,0.0
198610230004,1986,Japan,0.0
198612150004,1986,South Korea,0.0
198701190003,1987,Japan,0.0
198701190004,1987,Japan,0.0
198701190005,1987,Japan,0.0
198703150007,1987,Japan,0.0
198705060002,1987,Japan,1.0
198705220005,1987,Japan,0.0
198708270001,1987,Japan,0.0
198708270005,1987,Japan,0.0
198709240009,1987,Japan,0.0
198710250001,1987,Japan,0.0
198801220004,1988,Japan,0.0
198802210001,1988,Japan,0.0
198802290002,1988,Japan,0.0
198803040003,1988,South Korea,0.0
198803120003,1988,Japan,0.0
198803180007,1988,South Korea,0.0
198803210001,1988,Japan,0.0
198803210002,1988,Japan,0.0
198803210010,1988,Japan,0.0
198804130009,1988,Japan,0.0
198804250002,1988,Japan,0.0
198805230006,1988,South Korea,0.0
198805260005,1988,South Korea,0.0
198806130013,1988,South Korea,0.0
198807260005,1988,South Korea,0.0
198808100001,1988,Japan,0.0
198809260001,1988,Japan,0.0
198809290002,1988,Japan,0.0
198809300006,1988,South Korea,0.0
198810030002,1988,Japan,0.0
198810030003,1988,Japan,0.0
198810030004,1988,Japan,0.0
198810140006,1988,South Korea,0.0
198812240003,1988,Japan,0.0
198901100005,1989,Japan,0.0
198902030002,1989,Japan,0.0
198902210033,1989,Japan,0.0
198903050008,1989,Japan,0.0
198903070002,1989,Japan,0.0
198904180003,1989,Japan,0.0
198904240015,1989,China,0.0
198904280004,1989,Japan,0.0
198904280005,1989,Japan,0.0
198905300019,1989,South Korea,0.0
198906260004,1989,China,20.0
198908070003,1989,Hong Kong,0.0
198909200005,1989,Japan,0.0
198911130005,1989,Japan,0.0
198911160004,1989,Japan,0.0
198912020001,1989,Japan,1.0
198912020002,1989,Japan,1.0
198912160006,1989,China,0.0
199001070003,1990,Japan,0.0
199001080006,1990,Japan,0.0
199001080007,1990,Japan,0.0
199001180006,1990,Japan,0.0
199001230001,1990,Japan,0.0
199001230002,1990,Japan,0.0
199001230003,1990,Japan,0.0
