eventid,year,country_txt,nkill
197001100001,1970.0246575342467,East Germany (GDR),
197001280001,1970.0739726027398,East Germany (GDR),
197004280002,1970.3205479452056,East Germany (GDR),
197005050001,1970.3397260273973,East Germany (GDR),0.0
197005100001,1970.3534246575343,East Germany (GDR),0.0
197008070001,1970.5972602739726,East Germany (GDR),
197008120001,1970.6109589041096,East Germany (GDR),
197008140001,1970.6164383561643,East Germany (GDR),
197008270001,1970.6520547945206,East Germany (GDR),
197009090001,1970.6876712328767,East Germany (GDR),0.0
197009240002,1970.7287671232878,East Germany (GDR),
197011070001,1970.849315068493,East Germany (GDR),
197105170002,1971.372602739726,East Germany (GDR),
197105180001,1971.3753424657534,East Germany (GDR),
197105180002,1971.3753424657534,East Germany (GDR),
197105180003,1971.3753424657534,East Germany (GDR),
197110060001,1971.7616438356165,Poland,0.0
197201260002,1972.068306010929,Czechoslovakia,26.0
197308040001,1973.5890410958905,Yugoslavia,1.0
197406240004,1974.4767123287672,Yugoslavia,0.0
197411100001,1974.8575342465754,East Germany (GDR),1.0
197706200005,1977.4657534246576,Yugoslavia,1.0
197712190001,1977.964383561644,East Germany (GDR),0.0
197801080003,1978.0191780821917,Soviet Union,4.0
197805310002,1978.4109589041095,East Germany (GDR),0.0
197904170004,1979.2904109589042,Poland,0.0
198004220008,1980.3060109289618,Yugoslavia,0.0
198105230001,1981.3890410958904,Albania,0.0
198106100004,1981.4383561643835,Yugoslavia,0.0
198108010002,1981.5808219178082,Poland,0.0
198109260001,1981.7342465753425,Yugoslavia,0.0
198203180001,1982.2082191780821,East Germany (GDR),0.0
198209090004,1982.6876712328767,Bulgaria,1.0
198209090006,1982.6876712328767,Bulgaria,1.0
198303090004,1983.1835616438357,Yugoslavia,2.0
198305220008,1983.386301369863,East Germany (GDR),
198405250001,1984.396174863388,East Germany (GDR),0.0
198406090002,1984.4371584699454,Yugoslavia,2.0
198408300001,1984.6612021857923,Bulgaria,
198412040003,1984.9234972677596,Romania,1.0
198501200001,1985.0520547945205,East Germany (GDR),0.0
198501200002,1985.0520547945205,East Germany (GDR),0.0
198502140006,1985.1205479452055,East Germany (GDR),0.0
198505280001,1985.4027397260274,Romania,2.0
198511100002,1985.8575342465754,East Germany (GDR),0.0
198605030003,1986.3342465753424,East Germany (GDR),1.0
198609050003,1986.676712328767,East Germany (GDR),0.0
198610250004,1986.813698630137,East Germany (GDR),0.0
198709010005,1987.6657534246576,East Germany (GDR),0.0
198803210007,1988.2185792349726,East Germany (GDR),0.0
198804300006,1988.327868852459,East Germany (GDR),0.0
198804300007,1988.327868852459,East Germany (GDR),0.0
198804300008,1988.327868852459,East Germany (GDR),0.0
198902080008,1989.1041095890412,Czechoslovakia,0.0
198902170005,1989.1287671232876,Hungary,0.0
198903090001,1989.1835616438357,East Germany (GDR),0.0
198903220019,1989.2191780821918,Czechoslovakia,0.0
