eventid,iyear,country_txt,nkill
197000000002,1970,Mexico,0.0
197001010002,1970,United States,0.0
197001020002,1970,United States,0.0
197001020003,1970,United States,0.0
197001030001,1970,United States,0.0
197001050001,1970,United States,0.0
197001060001,1970,United States,0.0
197001090001,1970,United States,0.0
197001090002,1970,United States,0.0
197001120001,1970,United States,0.0
197001120002,1970,United States,0.0
197001130001,1970,United States,0.0
197001140001,1970,United States,0.0
197001190002,1970,United States,0.0
197001190003,1970,United States,0.0
197001190004,1970,United States,0.0
197001220002,1970,United States,0.0
197001250001,1970,United States,0.0
197001250002,1970,United States,0.0
197001260001,1970,United States,0.0
197001260003,1970,United States,0.0
197001270002,1970,United States,0.0
197001280002,1970,United States,0.0
197001300001,1970,United States,0.0
197001300002,1970,United States,0.0
197001300003,1970,United States,0.0
197001310002,1970,United States,0.0
197002010001,1970,United States,0.0
197002010002,1970,United States,0.0
197002020001,1970,United States,0.0
197002030001,1970,United States,0.0
197002030002,1970,United States,0.0
197002040001,1970,United States,0.0
197002060001,1970,United States,0.0
197002060002,1970,United States,0.0
197002060003,1970,United States,0.0
197002060004,1970,United States,0.0
197002060005,1970,United States,0.0
197002060006,1970,United States,0.0
197002060007,1970,United States,0.0
197002070003,1970,United States,0.0
197002080001,1970,United States,0.0
197002080002,1970,United States,0.0
197002090003,1970,United States,0.0
197002090004,1970,United States,0.0
197002110001,1970,United States,0.0
197002130001,1970,United States,0.0
197002130003,1970,United States,0.0
197002150001,1970,United States,0.0
197002150002,1970,United States,0.0
197002160001,1970,United States,1.0
197002160002,1970,United States,0.0
197002160003,1970,United States,0.0
197002160004,1970,United States,0.0
197002170001,1970,United States,0.0
197002170002,1970,United States,0.0
197002170003,1970,United States,0.0
197002170004,1970,United States,0.0
197002180002,1970,United States,0.0
197002180003,1970,United States,0.0
197002200001,1970,United States,0.0
197002200002,1970,United States,0.0
197002200003,1970,United States,0.0
197002210003,1970,United States,0.0
197002210004,1970,United States,0.0
197002210005,1970,United States,0.0
197002210006,1970,United States,0.0
197002220001,1970,United States,0.0
197002220002,1970,United States,0.0
197002230001,1970,United States,0.0
197002230002,1970,United States,0.0
197002230003,1970,United States,0.0
197002230004,1970,United States,0.0
197002230005,1970,United States,0.0
197002240002,1970,United States,0.0
197002240003,1970,United States,0.0
197002270001,1970,United States,0.0
197003010005,1970,United States,0.0
197003010006,1970,United States,0.0
197003010007,1970,United States,0.0
197003010008,1970,United States,0.0
197003020001,1970,United States,0.0
197003030002,1970,United States,0.0
197003030003,1970,United States,0.0
197003040001,1970,United States,0.0
197003040002,1970,United States,0.0
197003040003,1970,United States,0.0
197003050001,1970,United States,0.0
197003050002,1970,United States,0.0
197003050003,1970,United States,2.0
197003060003,1970,United States,0.0
197003060004,1970,United States,0.0
197003090001,1970,United States,0.0
