eventid,iyear,country_txt,nkill
197001020001,1970,Uruguay,0.0
197001150001,1970,Uruguay,0.0
197001220001,1970,Venezuela,0.0
197003110001,1970,Brazil,0.0
197003240003,1970,Argentina,0.0
197003290001,1970,Argentina,0.0
197004050001,1970,Brazil,0.0
197004050003,1970,Argentina,
197005040001,1970,Paraguay,1.0
197005150002,1970,Uruguay,0.0
197005290001,1970,Argentina,1.0
197005290002,1970,Uruguay,0.0
197006010001,1970,Argentina,1.0
197006090001,1970,Venezuela,0.0
197006110001,1970,Brazil,1.0
197006120001,1970,Uruguay,0.0
197007010003,1970,Brazil,0.0
197007100001,1970,Colombia,
197007210001,1970,Bolivia,0.0
197007240001,1970,Brazil,0.0
197007280001,1970,Uruguay,0.0
197007310001,1970,Uruguay,
197007310002,1970,Uruguay,0.0
197007310003,1970,Uruguay,1.0
197007310004,1970,Argentina,0.0
197008060001,1970,Argentina,1.0
197008090001,1970,Argentina,
197008190001,1970,Uruguay,0.0
197008210001,1970,Uruguay,0.0
197009000002,1970,Uruguay,2.0
197009040002,1970,Uruguay,0.0
197009090002,1970,Argentina,0.0
197009110003,1970,Uruguay,0.0
197009120001,1970,Argentina,
197009140001,1970,Uruguay,0.0
197009160001,1970,Uruguay,0.0
197009180001,1970,Argentina,0.0
197009230002,1970,Uruguay,0.0
197009260001,1970,Uruguay,0.0
197010080005,1970,Uruguay,0.0
197010150002,1970,Uruguay,0.0
197010150003,1970,Uruguay,0.0
197010150004,1970,Uruguay,0.0
197010150005,1970,Uruguay,0.0
197010160001,1970,Argentina,
197010200001,1970,Argentina,0.0
197010270001,1970,Argentina,1.0
197011020001,1970,Argentina,0.0
197011020002,1970,Argentina,0.0
197011150001,1970,Argentina,1.0
197011200001,1970,Argentina,0.0
197011200002,1970,Argentina,0.0
197011200003,1970,Argentina,0.0
197011210002,1970,Uruguay,
197011280001,1970,Uruguay,0.0
197011290002,1970,Uruguay,0.0
197012010002,1970,Uruguay,0.0
197012010003,1970,Uruguay,0.0
197012070001,1970,Brazil,1.0
197012110002,1970,Uruguay,0.0
197012130001,1970,Uruguay,0.0
197012160001,1970,Uruguay,0.0
197012160002,1970,Uruguay,0.0
197012170001,1970,Uruguay,0.0
197012290002,1970,Argentina,0.0
197101080001,1971,Uruguay,0.0
197101110001,1971,Uruguay,1.0
197101240001,1971,Argentina,0.0
197101270001,1971,Uruguay,0.0
197101270002,1971,Uruguay,0.0
197101270003,1971,Uruguay,0.0
197101290004,1971,Argentina,
197102030001,1971,Uruguay,
197102110001,1971,Venezuela,0.0
197102210001,1971,Venezuela,0.0
197103010001,1971,Venezuela,0.0
197103100001,1971,Uruguay,
197103150002,1971,Uruguay,0.0
197103280001,1971,Argentina,0.0
197104110002,1971,Argentina,3.0
197104290001,1971,Argentina,1.0
197105040001,1971,Bolivia,
197105060002,1971,Venezuela,0.0
197105120001,1971,Bolivia,
