eventid,iyear,country_txt,nkill
197011010001,1970,Pakistan,4.0
197202220004,1972,India,0.0
197305010002,1973,Afghanistan,0.0
197402020001,1974,Pakistan,0.0
197412090001,1974,Pakistan,0.0
197500000001,1975,Pakistan,
197501190004,1975,India,4.0
197502080001,1975,Pakistan,1.0
197507270002,1975,Sri Lanka,1.0
197605260001,1976,India,0.0
197609300001,1976,Pakistan,0.0
197609300002,1976,Pakistan,0.0
197610110002,1976,Pakistan,1.0
197701060002,1977,Bangladesh,0.0
197709280004,1977,India,0.0
197808020008,1978,Pakistan,1.0
197808050001,1978,Pakistan,4.0
197901130004,1979,India,
197901140001,1979,India,3.0
197902010007,1979,Pakistan,6.0
197902010008,1979,Sri Lanka,1.0
197902140010,1979,Afghanistan,1.0
197903220008,1979,Sri Lanka,1.0
197903220011,1979,Sri Lanka,0.0
197903270010,1979,Bangladesh,0.0
197904080001,1979,Pakistan,0.0
197904260007,1979,India,4.0
197906140040,1979,India,1.0
197906260010,1979,Pakistan,0.0
197906300002,1979,Pakistan,0.0
197907010008,1979,India,2.0
197907020003,1979,India,
197907020004,1979,India,
197908080005,1979,India,1.0
197908190001,1979,India,1.0
197908200003,1979,India,1.0
197908250002,1979,India,1.0
197908260001,1979,India,1.0
197908270005,1979,Afghanistan,50.0
197908270006,1979,India,1.0
197908270007,1979,India,1.0
197908290001,1979,India,3.0
197909080001,1979,India,3.0
197909090001,1979,Afghanistan,2.0
197909220008,1979,India,4.0
197911220002,1979,Pakistan,
197911220003,1979,Pakistan,
197911220004,1979,Pakistan,
197912050003,1979,India,0.0
197912120004,1979,India,1.0
197912200009,1979,India,3.0
198001010005,1980,India,1.0
198001090004,1980,India,2.0
198003210002,1980,India,1.0
198003210009,1980,India,4.0
198004040001,1980,India,2.0
198004250006,1980,India,1.0
198005080002,1980,Pakistan,17.0
198005230003,1980,Bangladesh,6.0
198008270001,1980,India,6.0
198011080002,1980,India,0.0
198012130001,1980,India,0.0
198012190003,1980,India,0.0
198101150006,1981,India,6.0
198101280002,1981,India,
198102130003,1981,India,
198102160001,1981,Pakistan,1.0
198103020005,1981,Pakistan,1.0
198103180008,1981,India,0.0
198104050001,1981,India,
198104060001,1981,India,1.0
198104270005,1981,India,3.0
198105300001,1981,Bangladesh,6.0
198106140001,1981,India,
198107240003,1981,India,0.0
198107280006,1981,Pakistan,
198108150001,1981,India,0.0
198108150002,1981,India,0.0
198109010007,1981,India,9.0
198109150003,1981,India,1.0
198109250001,1981,Pakistan,2.0
198109290003,1981,India,0.0
198110150003,1981,Sri Lanka,3.0
198110160001,1981,India,1.0
198111290002,1981,India,3.0
198112120007,1981,Sri Lanka,0.0
198202190003,1982,India,20.0
198203190002,1982,Bangladesh,0.0
198206040005,1982,India,6.0
198206090001,1982,India,19.0
198206090002,1982,Sri Lanka,2.0
198206140006,1982,India,1.0
198206150001,1982,India,1.0
198206200004,1982,India,4.0
198208020001,1982,Pakistan,0.0
198208040004,1982,Pakistan,
198208200020,1982,India,1.0
198208260004,1982,India,0.0
198209130004,1982,Pakistan,3.0
198209160003,1982,Pakistan,0.0
198210000012,1982,India,5.0
198210250009,1982,India,6.0
198210260011,1982,India,1.0
198210270009,1982,Sri Lanka,5.0
198211180002,1982,India,0.0
198212100011,1982,India,0.0
198301310002,1983,India,
198302030002,1983,India,0.0
198302030003,1983,India,0.0
198302110002,1983,India,0.0
198302150002,1983,India,0.0
198302150003,1983,India,1.0
198302180001,1983,Pakistan,0.0
198302180002,1983,Pakistan,0.0
198302180003,1983,Pakistan,0.0
198302180004,1983,Pakistan,0.0
198302190001,1983,Pakistan,0.0
198303000004,1983,Sri Lanka,0.0
198303080002,1983,India,0.0
198303080003,1983,India,0.0
198303150003,1983,India,0.0
198303150004,1983,India,0.0
198303210007,1983,India,0.0
198303210008,1983,India,1.0
198303210012,1983,India,0.0
198303300001,1983,India,0.0
198303300002,1983,India,10.0
198303300003,1983,India,0.0
198304020001,1983,Sri Lanka,
198304070001,1983,India,2.0
198304080001,1983,India,
198304090011,1983,India,
198304090012,1983,India,
198304240001,1983,Sri Lanka,
198304250001,1983,India,2.0
198306010005,1983,Sri Lanka,2.0
198306260013,1983,India,1.0
198306270002,1983,India,2.0
198307060008,1983,Pakistan,8.0
198308100002,1983,Sri Lanka,2.0
198308140001,1983,Pakistan,0.0
198308140002,1983,Sri Lanka,1.0
198308150003,1983,India,2.0
198309140001,1983,Pakistan,0.0
198309210002,1983,India,
198309210003,1983,India,2.0
198309210005,1983,India,
198309210006,1983,India,
198309230004,1983,India,1.0
198309260001,1983,India,3.0
198310130002,1983,India,4.0
198310130003,1983,India,4.0
198310140002,1983,India,0.0
198310140004,1983,India,0.0
198310150004,1983,India,3.0
198310170001,1983,India,0.0
198310170002,1983,India,0.0
198310170003,1983,India,0.0
198310170004,1983,India,1.0
198310250001,1983,Pakistan,2.0
198310250002,1983,India,0.0
198311070002,1983,India,14.0
198311070008,1983,India,
198311150003,1983,India,1.0
198311180010,1983,India,4.0
198311190001,1983,India,0.0
198311280006,1983,India,0.0
198311300002,1983,Sri Lanka,1.0
198312200003,1983,India,1.0
198402000001,1984,India,0.0
198402000002,1984,India,2.0
198402010007,1984,India,4.0
198402070003,1984,India,1.0
198402110005,1984,Pakistan,
198402150020,1984,India,1.0
198402160009,1984,India,1.0
198402160010,1984,India,1.0
198402200008,1984,India,0.0
198402200009,1984,India,0.0
198402200010,1984,India,0.0
198402210001,1984,India,0.0
198402210002,1984,India,0.0
198402260004,1984,India,3.0
198402260005,1984,India,5.0
198402290017,1984,India,3.0
198403030002,1984,Sri Lanka,1.0
198403050002,1984,Sri Lanka,1.0
198403050003,1984,Sri Lanka,1.0
198403150008,1984,India,14.0
198403230003,1984,India,0.0
198403230005,1984,India,1.0
198403250003,1984,India,1.0
198403260012,1984,Sri Lanka,3.0
198403270010,1984,Sri Lanka,3.0
198403280001,1984,India,0.0
198403280004,1984,Sri Lanka,7.0
198403280007,1984,India,2.0
198403280008,1984,India,0.0
198403290013,1984,Sri Lanka,2.0
198403300002,1984,India,4.0
198403300003,1984,India,1.0
198403300004,1984,India,0.0
198404000001,1984,Sri Lanka,0.0
198404000006,1984,Sri Lanka,2.0
198404000007,1984,Sri Lanka,2.0
198404000008,1984,Sri Lanka,2.0
198404010007,1984,India,2.0
198404020001,1984,India,3.0
198404030005,1984,India,1.0
198404040006,1984,India,0.0
198404050013,1984,India,2.0
198404070002,1984,India,0.0
198404080002,1984,India,1.0
198404080003,1984,India,0.0
198404080005,1984,India,1.0
198404080009,1984,India,0.0
198404090005,1984,Sri Lanka,0.0
198404090006,1984,Sri Lanka,2.0
198404090007,1984,Sri Lanka,3.0
198404110001,1984,Sri Lanka,0.0
198404110003,1984,Sri Lanka,0.0
198404110004,1984,Sri Lanka,0.0
198404110005,1984,Sri Lanka,5.0
198404110006,1984,India,2.0
198404110007,1984,India,1.0
198404110008,1984,India,1.0
198404110011,1984,India,0.0
198404110012,1984,India,
198404110013,1984,India,2.0
198404120001,1984,India,1.0
198404140001,1984,India,1.0
198404140002,1984,India,1.0
198404150005,1984,India,0.0
198404150006,1984,India,0.0
198404150007,1984,India,0.0
198404150008,1984,India,0.0
198404150009,1984,India,0.0
198404150010,1984,India,0.0
198404150011,1984,India,0.0
198404150012,1984,India,0.0
198404150013,1984,India,0.0
198404150014,1984,India,0.0
198404150015,1984,India,0.0
198404150016,1984,India,0.0
198404150017,1984,India,0.0
198404150018,1984,India,0.0
198404150019,1984,India,0.0
198404150020,1984,India,0.0
198404150021,1984,India,0.0
198404150022,1984,India,0.0
198404150023,1984,India,0.0
198404150024,1984,India,0.0
198404150025,1984,India,0.0
198404150026,1984,India,0.0
198404150027,1984,India,0.0
198404150028,1984,India,0.0
198404150029,1984,India,0.0
198404150030,1984,India,0.0
198404150031,1984,India,0.0
