eventid,iyear,country_txt,nkill
197001000001,1970,Philippines,1.0
197001210001,1970,Philippines,0.0
197001310001,1970,Philippines,0.0
197003000001,1970,Philippines,0.0
197003240001,1970,Philippines,1.0
197004020001,1970,Philippines,2.0
197004210001,1970,Philippines,36.0
197006020001,1970,Philippines,1.0
197006060001,1970,Philippines,0.0
197011220001,1970,Philippines,0.0
197102120001,1971,Philippines,
197103000001,1971,Philippines,
197103000002,1971,Philippines,0.0
197103300005,1971,Philippines,0.0
197109000001,1971,Cambodia,0.0
197109000002,1971,Cambodia,2.0
197200000002,1972,Philippines,0.0
197203270001,1972,Philippines,1.0
197203280001,1972,Philippines,0.0
197206210001,1972,Philippines,1.0
197207140001,1972,Philippines,0.0
197207210001,1972,Philippines,
197208230002,1972,Philippines,
197209000001,1972,Cambodia,1.0
197209200021,1972,Brunei,0.0
197209200022,1972,Brunei,0.0
197209200023,1972,Brunei,0.0
197209200024,1972,Brunei,0.0
197209200025,1972,Brunei,0.0
197209230006,1972,Cambodia,0.0
197212280001,1972,Thailand,0.0
197304160001,1973,Myanmar,0.0
197310190001,1973,Malaysia,0.0
197401310002,1974,Singapore,0.0
197404130001,1974,Philippines,3.0
197404230001,1974,Thailand,2.0
197506150004,1975,Philippines,1.0
197507250001,1975,Philippines,
197508040002,1975,Malaysia,0.0
197508250001,1975,Malaysia,0.0
197508260001,1975,Philippines,0.0
197509030001,1975,Malaysia,
197511070001,1975,Philippines,0.0
197602200005,1976,Philippines,
197602210003,1976,Philippines,8.0
197602280001,1976,Philippines,0.0
197604070003,1976,Philippines,0.0
197605210003,1976,Philippines,13.0
197605240001,1976,Philippines,16.0
197606170002,1976,Philippines,3.0
197606230002,1976,Philippines,7.0
197607310001,1976,Philippines,0.0
197611220001,1976,Philippines,0.0
197611290001,1976,Myanmar,
197611290002,1976,Myanmar,
197706000003,1977,Thailand,0.0
197706240001,1977,Thailand,0.0
197708220003,1977,Philippines,
197708270006,1977,Philippines,
197709220006,1977,Thailand,1.0
197711160002,1977,Malaysia,0.0
197711290004,1977,Indonesia,1.0
197712040003,1977,Malaysia,100.0
197801140001,1978,Philippines,4.0
197801190003,1978,Philippines,2.0
197801190004,1978,Philippines,0.0
197802070001,1978,Philippines,0.0
197802260004,1978,Philippines,0.0
197804130005,1978,Philippines,43.0
197804190008,1978,Philippines,2.0
197804200002,1978,Philippines,2.0
197804300003,1978,Philippines,0.0
197805160001,1978,Indonesia,
197808130004,1978,Philippines,5.0
197808220003,1978,Philippines,6.0
197808300004,1978,Thailand,6.0
197808310001,1978,Thailand,0.0
197809020002,1978,Philippines,10.0
197809020003,1978,Philippines,4.0
197809060003,1978,Philippines,
197809090007,1978,Philippines,6.0
197809100003,1978,Philippines,0.0
197809100004,1978,Philippines,0.0
197809100005,1978,Philippines,0.0
197809100006,1978,Philippines,0.0
197809100007,1978,Philippines,0.0
197809100008,1978,Philippines,0.0
197809100009,1978,Philippines,0.0
197809100010,1978,Philippines,0.0
197809100011,1978,Philippines,0.0
197809100012,1978,Philippines,0.0
197809100013,1978,Philippines,3.0
197809110003,1978,Philippines,4.0
197809160010,1978,Philippines,3.0
197809180006,1978,Philippines,8.0
197809190001,1978,Philippines,0.0
197809210005,1978,Philippines,3.0
197809250002,1978,Philippines,2.0
197809300008,1978,Thailand,9.0
197810190001,1978,Thailand,0.0
197810190002,1978,Thailand,14.0
197810200003,1978,Indonesia,
197811030001,1978,Philippines,16.0
197811170007,1978,Philippines,1.0
197812010004,1978,Philippines,1.0
197812010005,1978,Philippines,3.0
197812230003,1978,Cambodia,1.0
197900000003,1979,Philippines,
197901020004,1979,Myanmar,3.0
197901030012,1979,Myanmar,2.0
197901030013,1979,Myanmar,2.0
197901040006,1979,Myanmar,2.0
197901070004,1979,Myanmar,0.0
197901070006,1979,Philippines,6.0
197901090003,1979,Myanmar,8.0
197901100007,1979,Philippines,8.0
197901140004,1979,Myanmar,11.0
197901140008,1979,Philippines,19.0
197901180010,1979,Philippines,3.0
197901180022,1979,Philippines,3.0
197901250005,1979,Myanmar,2.0
197901280005,1979,Myanmar,0.0
197901280006,1979,Myanmar,0.0
197901280007,1979,Myanmar,0.0
197902020003,1979,Myanmar,13.0
197902020008,1979,Philippines,1.0
197902030006,1979,Myanmar,5.0
197902030007,1979,Philippines,2.0
197902050007,1979,Philippines,2.0
