eventid,iyear,country_txt,nkill
197001000002,1970,Greece,
197001080001,1970,Italy,0.0
197002100001,1970,West Germany (FRG),1.0
197002130002,1970,West Germany (FRG),7.0
197002210001,1970,West Germany (FRG),0.0
197002210002,1970,Switzerland,47.0
197003010001,1970,Italy,0.0
197003030001,1970,Spain,0.0
197003100001,1970,West Germany (FRG),0.0
197004030001,1970,Ireland,1.0
197004280001,1970,West Germany (FRG),0.0
197005120001,1970,Switzerland,
197005150001,1970,West Germany (FRG),
197005150003,1970,West Germany (FRG),
197006060002,1970,West Germany (FRG),
197006060003,1970,West Germany (FRG),
197006140001,1970,West Germany (FRG),
197006140002,1970,West Germany (FRG),
197006230001,1970,West Germany (FRG),
197006260001,1970,United Kingdom,5.0
197006270001,1970,United Kingdom,3.0
197006270002,1970,United Kingdom,1.0
197006270003,1970,United Kingdom,1.0
197006270004,1970,United Kingdom,3.0
197007090001,1970,West Germany (FRG),
197007220001,1970,Greece,0.0
197007280003,1970,Spain,
197008000001,1970,Netherlands,
197008010002,1970,Belgium,0.0
197008110001,1970,United Kingdom,2.0
197009020001,1970,Greece,2.0
197009040003,1970,United Kingdom,1.0
197009060001,1970,West Germany (FRG),0.0
197009060002,1970,Switzerland,0.0
197009060003,1970,Netherlands,0.0
197009060004,1970,Netherlands,1.0
197009120002,1970,United Kingdom,0.0
197009300001,1970,United Kingdom,1.0
197010080006,1970,West Germany (FRG),0.0
197010140002,1970,West Germany (FRG),
197010170001,1970,West Germany (FRG),
197010240002,1970,Italy,0.0
197010270003,1970,United Kingdom,0.0
197011090001,1970,West Germany (FRG),0.0
197011160002,1970,United Kingdom,2.0
197011290001,1970,West Germany (FRG),0.0
197012010001,1970,Spain,0.0
197012230001,1970,United Kingdom,1.0
197012300001,1970,Spain,0.0
197012310001,1970,West Germany (FRG),
197101040001,1971,West Germany (FRG),
197101080002,1971,West Germany (FRG),
197101130002,1971,West Germany (FRG),
197101160001,1971,West Germany (FRG),
197101270004,1971,United Kingdom,1.0
197101290001,1971,West Germany (FRG),0.0
197102060001,1971,West Germany (FRG),
197102060002,1971,United Kingdom,1.0
197102070001,1971,United Kingdom,1.0
197102090001,1971,United Kingdom,5.0
197102100002,1971,Sweden,0.0
197102150002,1971,United Kingdom,1.0
197102260001,1971,United Kingdom,2.0
197103080003,1971,United Kingdom,1.0
197103090002,1971,West Germany (FRG),
197103100002,1971,West Germany (FRG),
197103100003,1971,United Kingdom,1.0
197103150001,1971,Netherlands,0.0
197103180001,1971,Spain,0.0
197103190001,1971,West Germany (FRG),
197103250001,1971,Italy,0.0
197104020002,1971,Spain,0.0
197104030001,1971,Spain,0.0
197104070002,1971,Sweden,1.0
197104190002,1971,Spain,0.0
197105020001,1971,Spain,
197105050002,1971,Spain,
197105060001,1971,West Germany (FRG),
197105080001,1971,Spain,
197105080002,1971,United Kingdom,1.0
197105150001,1971,Greece,0.0
197105220001,1971,United Kingdom,1.0
197105250002,1971,United Kingdom,1.0
197105290001,1971,Spain,0.0
197106040001,1971,Spain,
197106060001,1971,Spain,0.0
197106120001,1971,Spain,0.0
197107000001,1971,Spain,0.0
197107020001,1971,Spain,
197107120001,1971,United Kingdom,1.0
197107140001,1971,United Kingdom,1.0
197107170001,1971,Spain,
197107180001,1971,Spain,
197107180002,1971,Spain,
197107290001,1971,Spain,0.0
197108080001,1971,United Kingdom,1.0
197108090002,1971,United Kingdom,1.0
197108090003,1971,United Kingdom,1.0
197108100001,1971,United Kingdom,1.0
197108110003,1971,United Kingdom,1.0
197108110004,1971,United Kingdom,1.0
197108140001,1971,United Kingdom,1.0
197108240001,1971,Spain,0.0
197108240003,1971,Spain,0.0
197108250001,1971,United Kingdom,1.0
197108250002,1971,United Kingdom,1.0
197108280002,1971,Italy,0.0
197108290004,1971,United Kingdom,1.0
197108300001,1971,United Kingdom,1.0
197109030001,1971,United Kingdom,1.0
197109030002,1971,United Kingdom,1.0
197109040001,1971,United Kingdom,1.0
197109090002,1971,United Kingdom,1.0
197109130001,1971,United Kingdom,1.0
197109130002,1971,United Kingdom,1.0
197109140001,1971,United Kingdom,1.0
197109140002,1971,United Kingdom,1.0
197109140003,1971,United Kingdom,1.0
197109160002,1971,United Kingdom,1.0
197109160003,1971,United Kingdom,1.0
197109170002,1971,United Kingdom,1.0
197109180001,1971,United Kingdom,1.0
197109200001,1971,Italy,
197109230002,1971,West Germany (FRG),
197109280001,1971,United Kingdom,1.0
197109290001,1971,United Kingdom,2.0
197109300001,1971,United Kingdom,1.0
197110000001,1971,United Kingdom,0.0
197110010001,1971,United Kingdom,1.0
197110020001,1971,United Kingdom,1.0
197110030001,1971,United Kingdom,1.0
197110040001,1971,United Kingdom,1.0
197110090001,1971,United Kingdom,1.0
197110150002,1971,United Kingdom,2.0
197110150003,1971,United Kingdom,1.0
197110160001,1971,United Kingdom,1.0
197110170001,1971,United Kingdom,1.0
197110230001,1971,United Kingdom,1.0
197110240001,1971,United Kingdom,1.0
197110260001,1971,United Kingdom,1.0
197110270001,1971,United Kingdom,2.0
197110270002,1971,Ireland,1.0
197111010002,1971,United Kingdom,2.0
197111020001,1971,Spain,0.0
197111020003,1971,United Kingdom,3.0
197111070001,1971,United Kingdom,1.0
197111090001,1971,United Kingdom,1.0
197111110001,1971,United Kingdom,2.0
197111120001,1971,United Kingdom,1.0
197111180003,1971,United Kingdom,1.0
197111200001,1971,West Germany (FRG),
197111240001,1971,United Kingdom,1.0
197111240002,1971,United Kingdom,1.0
197111270002,1971,United Kingdom,2.0
197111270003,1971,United Kingdom,1.0
197111280002,1971,United Kingdom,1.0
197111290001,1971,Spain,
197111290002,1971,West Germany (FRG),
197111290004,1971,United Kingdom,1.0
197112040001,1971,United Kingdom,15.0
197112040002,1971,United Kingdom,1.0
197112060001,1971,United Kingdom,1.0
197112070002,1971,United Kingdom,1.0
197112080001,1971,United Kingdom,1.0
197112100001,1971,Spain,
197112100002,1971,United Kingdom,2.0
197112110001,1971,United Kingdom,4.0
197112120001,1971,United Kingdom,1.0
197112150001,1971,United Kingdom,0.0
197112150002,1971,Switzerland,0.0
197112160001,1971,United Kingdom,1.0
197112180002,1971,United Kingdom,1.0
197112200001,1971,United Kingdom,1.0
197112210002,1971,United Kingdom,1.0
197112290002,1971,United Kingdom,1.0
197201010001,1972,Spain,0.0
197201050001,1972,United Kingdom,1.0
197201120001,1972,United Kingdom,1.0
197201130001,1972,United Kingdom,1.0
197201180001,1972,United Kingdom,1.0
197201210001,1972,Spain,
197201210002,1972,United Kingdom,1.0
197201260001,1972,Austria,
197201260006,1972,United Kingdom,1.0
197201270002,1972,United Kingdom,2.0
197201280001,1972,United Kingdom,1.0
197201310001,1972,United Kingdom,1.0
197202010001,1972,United Kingdom,7.0
197202010002,1972,United Kingdom,1.0
197202020001,1972,West Germany (FRG),1.0
197202020002,1972,Ireland,0.0
197202020003,1972,United Kingdom,1.0
197202060001,1972,Netherlands,0.0
197202060002,1972,United Kingdom,2.0
197202080001,1972,West Germany (FRG),0.0
197202080002,1972,United Kingdom,1.0
197202080003,1972,United Kingdom,1.0
197202100001,1972,United Kingdom,2.0
197202130001,1972,United Kingdom,1.0
197202160002,1972,United Kingdom,1.0
197202160003,1972,United Kingdom,1.0
197202170001,1972,United Kingdom,1.0
