eventid,year,country_txt,nkill
197000000001,1970.4986301369863,Dominican Republic,1.0
197001200001,1970.0520547945205,Guatemala,1.0
197003060001,1970.1753424657534,Guatemala,0.0
197003240002,1970.2246575342465,Dominican Republic,0.0
197003310001,1970.2438356164384,Guatemala,1.0
197007110001,1970.5232876712328,Guatemala,
197007230001,1970.5561643835617,Nicaragua,0.0
197101210001,1971.054794520548,Guatemala,
197101280001,1971.0739726027398,Dominican Republic,0.0
197101280002,1971.0739726027398,Dominican Republic,0.0
197102200001,1971.13698630137,Costa Rica,
197105110001,1971.3561643835617,Dominican Republic,0.0
197200000001,1972.396174863388,Panama,0.0
197211050001,1972.844262295082,El Salvador,0.0
197211150001,1972.8715846994535,El Salvador,0.0
197301020001,1973.0027397260274,Dominican Republic,0.0
197301230001,1973.0602739726028,Haiti,0.0
197304290001,1973.323287671233,El Salvador,0.0
197305090001,1973.3506849315067,Dominican Republic,0.0
197307260001,1973.5643835616438,Honduras,
197309280002,1973.7397260273972,Dominican Republic,0.0
197402000001,1974.0849315068492,El Salvador,0.0
197403060001,1974.1753424657534,El Salvador,
197403260002,1974.2301369863014,Jamaica,0.0
197403280001,1974.2356164383561,Guatemala,0.0
197404300001,1974.3260273972603,El Salvador,0.0
197405070001,1974.345205479452,Haiti,0.0
197406010002,1974.4136986301369,Haiti,0.0
197408060002,1974.5945205479452,Jamaica,0.0
197409270001,1974.7369863013698,Dominican Republic,0.0
197409270002,1974.7369863013698,Dominican Republic,0.0
197412270002,1974.986301369863,Nicaragua,0.0
197504300003,1975.3260273972603,El Salvador,2.0
197506160002,1975.454794520548,Guatemala,0.0
197508000001,1975.5808219178082,Guatemala,0.0
197508060001,1975.5945205479452,El Salvador,0.0
197508080004,1975.6,Nicaragua,11.0
197511010001,1975.8328767123287,Guatemala,19.0
197511020001,1975.835616438356,El Salvador,0.0
197512120001,1975.945205479452,Guatemala,3.0
197512260001,1975.9835616438356,Guatemala,1.0
197601260001,1976.068306010929,Guatemala,2.0
197602120001,1976.1147540983607,El Salvador,
197602120003,1976.1147540983607,Bahamas,0.0
197602200001,1976.136612021858,Guatemala,1.0
197602220001,1976.1420765027322,El Salvador,
197602270001,1976.155737704918,El Salvador,0.0
197603030001,1976.1693989071039,Costa Rica,
197603090001,1976.1857923497269,El Salvador,0.0
197604300001,1976.327868852459,Costa Rica,
197605000002,1976.3306010928961,Guatemala,1.0
197605090001,1976.3524590163934,Guatemala,
197605150001,1976.3688524590164,Guatemala,0.0
197605290001,1976.4071038251366,Costa Rica,
197606150001,1976.4535519125684,Guatemala,1.0
197606180003,1976.4617486338798,Costa Rica,
197606280001,1976.4890710382513,El Salvador,0.0
197607090001,1976.51912568306,Costa Rica,
197607090003,1976.51912568306,Jamaica,0.0
197607100002,1976.5218579234972,Barbados,0.0
197607110001,1976.5245901639344,Guatemala,1.0
197607220001,1976.5546448087432,Costa Rica,
197607230004,1976.5573770491803,Costa Rica,
197608020001,1976.5846994535518,Costa Rica,
