eventid,year,country_txt,nkill
197001020001,1970.0027397260274,Uruguay,0.0
197001150001,1970.0383561643835,Uruguay,0.0
197001220001,1970.0575342465754,Venezuela,0.0
197003110001,1970.1890410958904,Brazil,0.0
197003240003,1970.2246575342465,Argentina,0.0
197003290001,1970.2383561643835,Argentina,0.0
197004050001,1970.2575342465752,Brazil,0.0
197004050003,1970.2575342465752,Argentina,
197005040001,1970.33698630137,Paraguay,1.0
197005150002,1970.3671232876711,Uruguay,0.0
197005290001,1970.4054794520548,Argentina,1.0
197005290002,1970.4054794520548,Uruguay,0.0
197006010001,1970.4136986301369,Argentina,1.0
197006090001,1970.4356164383562,Venezuela,0.0
197006110001,1970.441095890411,Brazil,1.0
197006120001,1970.4438356164383,Uruguay,0.0
197007010003,1970.495890410959,Brazil,0.0
197007100001,1970.5205479452054,Colombia,
197007210001,1970.5506849315068,Bolivia,0.0
197007240001,1970.558904109589,Brazil,0.0
197007280001,1970.5698630136985,Uruguay,0.0
197007310001,1970.5780821917808,Uruguay,
197007310002,1970.5780821917808,Uruguay,0.0
197007310003,1970.5780821917808,Uruguay,1.0
197007310004,1970.5780821917808,Argentina,0.0
197008060001,1970.5945205479452,Argentina,1.0
197008090001,1970.6027397260275,Argentina,
197008190001,1970.6301369863013,Uruguay,0.0
197008210001,1970.6356164383562,Uruguay,0.0
197009000002,1970.6657534246576,Uruguay,2.0
197009040002,1970.6739726027397,Uruguay,0.0
197009090002,1970.6876712328767,Argentina,0.0
197009110003,1970.6931506849314,Uruguay,0.0
197009120001,1970.695890410959,Argentina,
197009140001,1970.7013698630137,Uruguay,0.0
197009160001,1970.7068493150684,Uruguay,0.0
197009180001,1970.7123287671234,Argentina,0.0
197009230002,1970.7260273972602,Uruguay,0.0
197009260001,1970.7342465753425,Uruguay,0.0
197010080005,1970.7671232876712,Uruguay,0.0
197010150002,1970.786301369863,Uruguay,0.0
197010150003,1970.786301369863,Uruguay,0.0
197010150004,1970.786301369863,Uruguay,0.0
197010150005,1970.786301369863,Uruguay,0.0
197010160001,1970.7890410958903,Argentina,
197010200001,1970.8,Argentina,0.0
197010270001,1970.8191780821917,Argentina,1.0
197011020001,1970.835616438356,Argentina,0.0
197011020002,1970.835616438356,Argentina,0.0
197011150001,1970.8712328767124,Argentina,1.0
197011200001,1970.8849315068494,Argentina,0.0
197011200002,1970.8849315068494,Argentina,0.0
197011200003,1970.8849315068494,Argentina,0.0
197011210002,1970.8876712328768,Uruguay,
197011280001,1970.9068493150685,Uruguay,0.0
197011290002,1970.9095890410958,Uruguay,0.0
197012010002,1970.9150684931508,Uruguay,0.0
197012010003,1970.9150684931508,Uruguay,0.0
197012070001,1970.9315068493152,Brazil,1.0
197012110002,1970.9424657534246,Uruguay,0.0
197012130001,1970.9479452054795,Uruguay,0.0
197012160001,1970.9561643835616,Uruguay,0.0
197012160002,1970.9561643835616,Uruguay,0.0
197012170001,1970.958904109589,Uruguay,0.0
197012290002,1970.9917808219177,Argentina,0.0
197101080001,1971.0191780821917,Uruguay,0.0
197101110001,1971.027397260274,Uruguay,1.0
197101240001,1971.0630136986301,Argentina,0.0
197101270001,1971.0712328767124,Uruguay,0.0
197101270002,1971.0712328767124,Uruguay,0.0
197101270003,1971.0712328767124,Uruguay,0.0
197101290004,1971.0767123287671,Argentina,
197102030001,1971.0904109589042,Uruguay,
197102110001,1971.1123287671232,Venezuela,0.0
197102210001,1971.1397260273973,Venezuela,0.0
197103010001,1971.1616438356164,Venezuela,0.0
197103100001,1971.186301369863,Uruguay,
197103150002,1971.2,Uruguay,0.0
197103280001,1971.2356164383561,Argentina,0.0
197104110002,1971.2739726027398,Argentina,3.0
197104290001,1971.323287671233,Argentina,1.0
197105040001,1971.33698630137,Bolivia,
197105060002,1971.3424657534247,Venezuela,0.0
197105120001,1971.358904109589,Bolivia,
197105230001,1971.3890410958904,Argentina,0.0
197107280001,1971.5698630136985,Argentina,1.0
197111030002,1971.8383561643836,Brazil,0.0
197111030003,1971.8383561643836,Brazil,0.0
197111030004,1971.8383561643836,Brazil,0.0
197201030001,1972.0054644808743,Argentina,
197202050001,1972.0956284153006,Brazil,0.0
197203210001,1972.2185792349726,Argentina,1.0
197204100001,1972.2732240437158,Argentina,1.0
197205120001,1972.360655737705,Argentina,
197205120002,1972.360655737705,Argentina,
197205120003,1972.360655737705,Argentina,
197205120004,1972.360655737705,Argentina,
197205270002,1972.4016393442623,Argentina,
197206020001,1972.4180327868853,Venezuela,
197206090001,1972.4371584699454,Argentina,0.0
197207170001,1972.5409836065573,Colombia,1.0
197207280001,1972.5710382513662,Uruguay,0.0
197209210007,1972.72131147541,Argentina,0.0
197209210008,1972.72131147541,Argentina,0.0
197209210009,1972.72131147541,Argentina,0.0
197209210010,1972.72131147541,Argentina,0.0
197209210011,1972.72131147541,Argentina,0.0
197209280002,1972.74043715847,Uruguay,0.0
197209280003,1972.74043715847,Uruguay,0.0
197209280004,1972.74043715847,Uruguay,0.0
197209280005,1972.74043715847,Uruguay,0.0
197209280006,1972.74043715847,Uruguay,0.0
197209280007,1972.74043715847,Uruguay,0.0
197209280008,1972.74043715847,Brazil,0.0
197209280009,1972.74043715847,Brazil,0.0
197210070001,1972.7650273224044,Argentina,
197210160001,1972.7896174863388,Argentina,1.0
197211090001,1972.8551912568305,Argentina,0.0
197212000001,1972.9153005464482,Colombia,0.0
197212270001,1972.9863387978141,Argentina,1.0
197212270002,1972.9863387978141,Argentina,1.0
197212270003,1972.9863387978141,Argentina,0.0
197300000001,1973.0,Colombia,0.0
197301060001,1973.013698630137,Colombia,
197301080001,1973.0191780821917,Colombia,
197301160002,1973.041095890411,Argentina,0.0
197301220001,1973.0575342465754,Argentina,1.0
197302020001,1973.0876712328768,Argentina,1.0
197302050001,1973.0958904109589,Argentina,0.0
197302140001,1973.1205479452055,Argentina,1.0
197302180001,1973.131506849315,Argentina,
197303260001,1973.2301369863014,Argentina,0.0
197303280001,1973.2356164383561,Argentina,0.0
197303280002,1973.2356164383561,Argentina,0.0
197303310001,1973.2438356164384,Argentina,
197304020001,1973.2493150684932,Argentina,0.0
197304020002,1973.2493150684932,Argentina,0.0
197304040001,1973.2547945205479,Argentina,1.0
197304050001,1973.2575342465752,Argentina,1.0
197304050003,1973.2575342465752,Argentina,
197304080001,1973.2657534246575,Argentina,0.0
197304150001,1973.2849315068493,Argentina,
197304170001,1973.2904109589042,Argentina,0.0
197304240003,1973.309589041096,Argentina,
197304260001,1973.3150684931506,Argentina,0.0
197304300001,1973.3260273972603,Argentina,1.0
197304300002,1973.3260273972603,Argentina,0.0
197305010005,1973.3287671232877,Argentina,0.0
197305180001,1973.3753424657534,Brazil,0.0
197305180004,1973.3753424657534,Venezuela,0.0
197305190002,1973.3780821917808,Argentina,
197305210001,1973.3835616438357,Argentina,0.0
197305210002,1973.3835616438357,Argentina,1.0
197305230001,1973.3890410958904,Argentina,1.0
197305230002,1973.3890410958904,Argentina,0.0
197305230003,1973.3890410958904,Argentina,0.0
197305300001,1973.4082191780822,Colombia,0.0
197306280002,1973.4876712328767,Argentina,0.0
197307040002,1973.504109589041,Peru,0.0
197307040004,1973.504109589041,Argentina,0.0
197307060001,1973.509589041096,Argentina,0.0
197307080001,1973.5150684931507,Argentina,0.0
197307220001,1973.5534246575342,Peru,0.0
197307220002,1973.5534246575342,Peru,0.0
197307250001,1973.5616438356165,Argentina,1.0
197307250002,1973.5616438356165,Chile,0.0
197307270001,1973.5671232876712,Chile,0.0
197308120001,1973.6109589041096,Ecuador,0.0
197308150001,1973.6191780821919,Chile,0.0
197308150002,1973.6191780821919,Chile,0.0
197308200001,1973.6328767123289,Argentina,0.0
197308210001,1973.6356164383562,Chile,
197308270002,1973.6520547945206,Chile,0.0
197308280001,1973.654794520548,Argentina,1.0
197309000001,1973.6657534246576,Argentina,0.0
197309050001,1973.676712328767,Argentina,1.0
197309060001,1973.6794520547944,Argentina,1.0
197309110002,1973.6931506849314,Argentina,0.0
197309240001,1973.7287671232878,Argentina,1.0
197309290001,1973.7424657534248,Argentina,
197310010001,1973.7479452054795,Brazil,0.0
197310040001,1973.7561643835616,Colombia,0.0
197310050001,1973.7589041095891,Argentina,1.0
197310080001,1973.7671232876712,Argentina,0.0
197310080004,1973.7671232876712,Argentina,
197310090001,1973.7698630136986,Argentina,0.0
197310090002,1973.7698630136986,Argentina,0.0
197310090003,1973.7698630136986,Argentina,0.0
197310140001,1973.7835616438356,Argentina,1.0
197311000001,1973.8328767123287,Colombia,0.0
197311070001,1973.849315068493,Argentina,0.0
197311170001,1973.876712328767,Argentina,0.0
197311200001,1973.8849315068494,Venezuela,0.0
197311210001,1973.8876712328768,Argentina,0.0
197311220001,1973.890410958904,Argentina,1.0
197311230001,1973.8931506849315,Argentina,
197311240001,1973.8958904109588,Venezuela,
197311300001,1973.9123287671232,Argentina,0.0
197312060001,1973.9287671232876,Argentina,0.0
197312080001,1973.9342465753425,Argentina,
197312080002,1973.9342465753425,Chile,0.0
197312110001,1973.9424657534246,Argentina,0.0
197312150001,1973.9534246575342,Venezuela,0.0
197312210001,1973.9698630136986,Argentina,0.0
197312280001,1973.9890410958903,Argentina,0.0
197401000001,1974.0,Bolivia,0.0
197401020001,1974.0027397260274,Argentina,
197401030001,1974.0054794520547,Argentina,0.0
197401050001,1974.0109589041097,Argentina,0.0
197401080001,1974.0191780821917,Argentina,
197401140001,1974.035616438356,Argentina,0.0
197401190001,1974.0493150684931,Argentina,
197401190002,1974.0493150684931,Argentina,2.0
197403040001,1974.1698630136987,Argentina,0.0
197403040002,1974.1698630136987,Argentina,0.0
197403040003,1974.1698630136987,Argentina,0.0
197403040004,1974.1698630136987,Argentina,0.0
197403040005,1974.1698630136987,Argentina,0.0
197403040006,1974.1698630136987,Argentina,0.0
197403110001,1974.1890410958904,Argentina,0.0
197403120001,1974.1917808219177,Venezuela,0.0
197403120002,1974.1917808219177,Venezuela,0.0
197403140001,1974.1972602739727,Venezuela,0.0
197403160002,1974.2027397260274,Argentina,
197403160003,1974.2027397260274,Argentina,
197403250001,1974.227397260274,Argentina,1.0
197403250002,1974.227397260274,Argentina,
197404040001,1974.2547945205479,Argentina,1.0
197404040002,1974.2547945205479,Argentina,1.0
197404120001,1974.2767123287672,Argentina,0.0
197404120002,1974.2767123287672,Argentina,
197404270002,1974.317808219178,Argentina,
197404280001,1974.3205479452056,Argentina,1.0
197405060001,1974.3424657534247,Argentina,1.0
197405270001,1974.4,Argentina,1.0
197405310001,1974.4109589041095,Argentina,3.0
197405310003,1974.4109589041095,Argentina,
197406010001,1974.4136986301369,Argentina,0.0
197406090001,1974.4356164383562,Argentina,1.0
197406140001,1974.4493150684932,Argentina,0.0
197406160001,1974.454794520548,Argentina,2.0
197406190001,1974.4630136986302,Argentina,0.0
197406190002,1974.4630136986302,Argentina,0.0
197406190003,1974.4630136986302,Argentina,0.0
197406190004,1974.4630136986302,Argentina,0.0
197406190005,1974.4630136986302,Argentina,0.0
197406190006,1974.4630136986302,Argentina,0.0
197406240001,1974.4767123287672,Argentina,0.0
197406240002,1974.4767123287672,Argentina,
197406240003,1974.4767123287672,Argentina,
197407170001,1974.5397260273974,Argentina,0.0
197407180001,1974.5424657534247,Argentina,1.0
197407230001,1974.5561643835617,Argentina,0.0
197408060001,1974.5945205479452,Argentina,1.0
197408270001,1974.6520547945206,Argentina,1.0
197409080001,1974.6849315068494,Argentina,0.0
197409110002,1974.6931506849314,Argentina,0.0
197409140002,1974.7013698630137,Argentina,0.0
197409160001,1974.7068493150684,Argentina,0.0
197409160002,1974.7068493150684,Argentina,0.0
197409160003,1974.7068493150684,Argentina,0.0
197409160004,1974.7068493150684,Argentina,0.0
197409160005,1974.7068493150684,Argentina,0.0
197409160006,1974.7068493150684,Argentina,0.0
197409160007,1974.7068493150684,Argentina,0.0
