eventid,year,country_txt,nkill
197001000001,1970.0,Philippines,1.0
197001210001,1970.054794520548,Philippines,0.0
197001310001,1970.0821917808219,Philippines,0.0
197003000001,1970.1616438356164,Philippines,0.0
197003240001,1970.2246575342465,Philippines,1.0
197004020001,1970.2493150684932,Philippines,2.0
197004210001,1970.3013698630136,Philippines,36.0
197006020001,1970.4164383561645,Philippines,1.0
197006060001,1970.427397260274,Philippines,0.0
197011220001,1970.890410958904,Philippines,0.0
197102120001,1971.1150684931506,Philippines,
197103000001,1971.1616438356164,Philippines,
197103000002,1971.1616438356164,Philippines,0.0
197103300005,1971.2410958904109,Philippines,0.0
197109000001,1971.6657534246576,Cambodia,0.0
197109000002,1971.6657534246576,Cambodia,2.0
197200000002,1972.0,Philippines,0.0
197203270001,1972.2349726775956,Philippines,1.0
197203280001,1972.2377049180327,Philippines,0.0
197206210001,1972.4699453551912,Philippines,1.0
197207140001,1972.532786885246,Philippines,0.0
197207210001,1972.551912568306,Philippines,
197208230002,1972.6420765027322,Philippines,
197209000001,1972.7377049180327,Cambodia,1.0
197209200021,1972.7185792349726,Brunei,0.0
197209200022,1972.7185792349726,Brunei,0.0
197209200023,1972.7185792349726,Brunei,0.0
197209200024,1972.7185792349726,Brunei,0.0
197209200025,1972.7185792349726,Brunei,0.0
197209230006,1972.7267759562842,Cambodia,0.0
197212280001,1972.9890710382513,Thailand,0.0
197304160001,1973.2876712328766,Myanmar,0.0
197310190001,1973.7972602739726,Malaysia,0.0
197401310002,1974.0821917808219,Singapore,0.0
197404130001,1974.2794520547945,Philippines,3.0
197404230001,1974.3068493150686,Thailand,2.0
197506150004,1975.4520547945206,Philippines,1.0
197507250001,1975.5616438356165,Philippines,
197508040002,1975.5890410958905,Malaysia,0.0
197508250001,1975.6465753424657,Malaysia,0.0
197508260001,1975.6493150684933,Philippines,0.0
197509030001,1975.6712328767123,Malaysia,
197511070001,1975.849315068493,Philippines,0.0
197602200005,1976.136612021858,Philippines,
197602210003,1976.139344262295,Philippines,8.0
197602280001,1976.1584699453551,Philippines,0.0
197604070003,1976.2650273224044,Philippines,0.0
197605210003,1976.3852459016393,Philippines,13.0
197605240001,1976.3934426229507,Philippines,16.0
197606170002,1976.4590163934427,Philippines,3.0
197606230002,1976.4754098360656,Philippines,7.0
197607310001,1976.5792349726776,Philippines,0.0
197611220001,1976.8907103825136,Philippines,0.0
197611290001,1976.9098360655737,Myanmar,
197611290002,1976.9098360655737,Myanmar,
197706000003,1977.4136986301369,Thailand,0.0
197706240001,1977.4767123287672,Thailand,0.0
197708220003,1977.6383561643836,Philippines,
197708270006,1977.6520547945206,Philippines,
197709220006,1977.7232876712328,Thailand,1.0
197711160002,1977.8739726027397,Malaysia,0.0
197711290004,1977.9095890410958,Indonesia,1.0
197712040003,1977.9232876712329,Malaysia,100.0
197801140001,1978.035616438356,Philippines,4.0
197801190003,1978.0493150684931,Philippines,2.0
197801190004,1978.0493150684931,Philippines,0.0
197802070001,1978.1013698630136,Philippines,0.0
197802260004,1978.1534246575343,Philippines,0.0
197804130005,1978.2794520547945,Philippines,43.0
197804190008,1978.295890410959,Philippines,2.0
197804200002,1978.2986301369863,Philippines,2.0
197804300003,1978.3260273972603,Philippines,0.0
197805160001,1978.3698630136987,Indonesia,
197808130004,1978.613698630137,Philippines,5.0
197808220003,1978.6383561643836,Philippines,6.0
197808300004,1978.6602739726027,Thailand,6.0
197808310001,1978.66301369863,Thailand,0.0
197809020002,1978.668493150685,Philippines,10.0
197809020003,1978.668493150685,Philippines,4.0
197809060003,1978.6794520547944,Philippines,
197809090007,1978.6876712328767,Philippines,6.0
197809100003,1978.690410958904,Philippines,0.0
197809100004,1978.690410958904,Philippines,0.0
197809100005,1978.690410958904,Philippines,0.0
197809100006,1978.690410958904,Philippines,0.0
