eventid,year,country_txt,nkill
197212080002,1972.9344262295083,Australia,1.0
197802130001,1978.1178082191782,Australia,2.0
198012170005,1980.9590163934427,Australia,2.0
198111160001,1981.8739726027397,Australia,1.0
198403270015,1984.2349726775956,New Zealand,1.0
198411290004,1984.9098360655737,New Caledonia,1.0
198412050002,1984.9262295081967,New Caledonia,10.0
198611230003,1986.8931506849315,Australia,1.0
198804220017,1988.3060109289618,New Caledonia,4.0
198805050006,1988.3415300546449,New Caledonia,17.0
198806060004,1988.4289617486338,New Caledonia,1.0
198903100016,1989.186301369863,Papua New Guinea,2.0
198905040001,1989.33698630137,New Caledonia,2.0
198906300001,1989.4931506849316,Papua New Guinea,1.0
198907100006,1989.5205479452054,Papua New Guinea,3.0
198909030002,1989.6712328767123,Papua New Guinea,1.0
198909110002,1989.6931506849314,Papua New Guinea,1.0
198909250001,1989.731506849315,Papua New Guinea,2.0
198912290009,1989.9917808219177,Papua New Guinea,3.0
199001160006,1990.041095890411,Papua New Guinea,1.0
199001170001,1990.0438356164384,Papua New Guinea,7.0
199001230015,1990.0602739726028,Papua New Guinea,2.0
199001240006,1990.0630136986301,Papua New Guinea,1.0
199002070006,1990.1013698630136,Papua New Guinea,1.0
199102150013,1991.123287671233,Papua New Guinea,2.0
199103100008,1991.186301369863,Papua New Guinea,1.0
199202040001,1992.0928961748634,Fiji,1.0
199207280006,1992.5710382513662,Australia,1.0
199208020011,1992.5846994535518,Papua New Guinea,6.0
199208020013,1992.5846994535518,Papua New Guinea,1.0
199403020007,1994.164383561644,Australia,1.0
199403230001,1994.2219178082191,Papua New Guinea,17.0
199410130008,1994.7808219178082,Australia,1.0
199410250007,1994.813698630137,Australia,1.0
199508180002,1995.627397260274,Papua New Guinea,2.0
199510010012,1995.7479452054795,Papua New Guinea,3.0
199510040008,1995.7561643835616,Papua New Guinea,1.0
199606020001,1996.4180327868853,Papua New Guinea,6.0
199608150006,1996.620218579235,Australia,2.0
199609080005,1996.6857923497269,Papua New Guinea,12.0
199610060001,1996.7622950819673,Papua New Guinea,2.0
199610120001,1996.77868852459,Papua New Guinea,1.0
199906120008,1999.4438356164383,Solomon Islands,2.0
200011020008,2000.8360655737704,Fiji,7.0
200208220001,2002.6383561643836,Solomon Islands,1.0
200302100001,2003.109589041096,Solomon Islands,1.0
201409230034,2014.7260273972602,Australia,1.0
201412150032,2014.9534246575342,Australia,3.0
201510020040,2015.7506849315068,Australia,2.0
201704070064,2017.2630136986302,Australia,1.0
201706050019,2017.4246575342465,Australia,2.0
201712210017,2017.9698630136986,Australia,1.0
201811090001,2018.854794520548,Australia,2.0
201903150001,2019.2,New Zealand,43.0
201903150002,2019.2,New Zealand,8.0
202012160039,2020.9562841530055,Australia,2.0
