eventid,year,country_txt,nkill
197000000001,1970.4986301369863,Dominican Republic,1.0
197001200001,1970.0520547945205,Guatemala,1.0
197003310001,1970.2438356164384,Guatemala,1.0
197504300003,1975.3260273972603,El Salvador,2.0
197508080004,1975.6,Nicaragua,11.0
197511010001,1975.8328767123287,Guatemala,19.0
197512120001,1975.945205479452,Guatemala,3.0
197512260001,1975.9835616438356,Guatemala,1.0
197601260001,1976.068306010929,Guatemala,2.0
197602200001,1976.136612021858,Guatemala,1.0
197605000002,1976.3306010928961,Guatemala,1.0
197606150001,1976.4535519125684,Guatemala,1.0
197607110001,1976.5245901639344,Guatemala,1.0
197608040004,1976.5901639344263,El Salvador,1.0
197608100001,1976.6065573770493,El Salvador,1.0
197608140001,1976.6174863387978,El Salvador,1.0
197610060001,1976.7622950819673,Barbados,73.0
197611130001,1976.8661202185792,Guatemala,2.0
197702060001,1977.0986301369862,El Salvador,1.0
197704190001,1977.295890410959,El Salvador,1.0
197709160001,1977.7068493150684,El Salvador,2.0
197709300001,1977.7452054794521,Guatemala,2.0
197710140002,1977.7835616438356,Nicaragua,13.0
197710170005,1977.7917808219179,Nicaragua,11.0
197710170006,1977.7917808219179,Nicaragua,2.0
197712220001,1977.972602739726,Guatemala,1.0
197712310001,1977.9972602739726,Guatemala,2.0
197712310002,1977.9972602739726,Guatemala,1.0
197801100001,1978.0246575342467,Nicaragua,1.0
197801230003,1978.0602739726028,Nicaragua,1.0
197802020002,1978.0876712328768,Nicaragua,14.0
197802030002,1978.0904109589042,Nicaragua,3.0
197802060001,1978.0986301369862,El Salvador,1.0
197802090001,1978.1068493150685,Nicaragua,1.0
197802260001,1978.1534246575343,El Salvador,1.0
197802260002,1978.1534246575343,Nicaragua,1.0
197802260008,1978.1534246575343,Nicaragua,8.0
197803070004,1978.1780821917807,Guatemala,1.0
197803090002,1978.1835616438357,Nicaragua,1.0
197803100003,1978.186301369863,Nicaragua,1.0
197803100005,1978.186301369863,Guatemala,1.0
197803150001,1978.2,Nicaragua,1.0
197803260002,1978.2301369863014,Dominican Republic,3.0
197804060001,1978.2602739726028,El Salvador,1.0
197804270001,1978.317808219178,El Salvador,2.0
197805170004,1978.372602739726,El Salvador,1.0
197805290004,1978.4054794520548,Guatemala,3.0
197806140003,1978.4493150684932,Guatemala,17.0
197806200001,1978.4657534246576,Guatemala,1.0
197806300001,1978.4931506849316,Guatemala,1.0
197807090002,1978.517808219178,Nicaragua,3.0
197807090003,1978.517808219178,Guatemala,1.0
197808000001,1978.5808219178082,El Salvador,1.0
197808220002,1978.6383561643836,Nicaragua,4.0
197809140001,1978.7013698630137,Guatemala,1.0
197809160001,1978.7068493150684,El Salvador,1.0
197809160002,1978.7068493150684,Nicaragua,1.0
197809180001,1978.7123287671234,El Salvador,2.0
197809180003,1978.7123287671234,El Salvador,1.0
197809190002,1978.7150684931507,El Salvador,2.0
197810060001,1978.7616438356165,Guatemala,1.0
197810060002,1978.7616438356165,Guatemala,1.0
