eventid,year,country_txt,nkill
199109060016,1991.6794520547944,Georgia,2.0
199111200012,1991.8849315068494,Azerbaijan,23.0
199111240014,1991.8958904109588,Azerbaijan,3.0
199201080004,1992.01912568306,Azerbaijan,12.0
199201280004,1992.0737704918033,Azerbaijan,47.0
199202000001,1992.0846994535518,Kazakhstan,2.0
199202200007,1992.136612021858,Georgia,3.0
199203050008,1992.1748633879781,Azerbaijan,20.0
199203050009,1992.1748633879781,Azerbaijan,27.0
199203050010,1992.1748633879781,Azerbaijan,15.0
199203090005,1992.1857923497269,Georgia,3.0
199203090007,1992.1857923497269,Armenia,2.0
199203130001,1992.1967213114754,Georgia,3.0
199203130009,1992.1967213114754,Azerbaijan,50.0
199204140001,1992.2841530054645,Azerbaijan,1.0
199204220001,1992.3060109289618,Azerbaijan,14.0
199205100017,1992.3551912568305,Tajikistan,4.0
199205200013,1992.3825136612022,Georgia,30.0
199206130001,1992.448087431694,Georgia,3.0
199206170001,1992.4590163934427,Georgia,1.0
199207060015,1992.5109289617487,Georgia,1.0
199207090014,1992.51912568306,Georgia,1.0
199207090015,1992.51912568306,Georgia,1.0
199207160009,1992.5382513661202,Georgia,1.0
199207310013,1992.5792349726776,Georgia,2.0
199208080013,1992.6010928961748,Georgia,1.0
199208240004,1992.6448087431695,Tajikistan,2.0
199208260016,1992.6502732240438,Georgia,4.0
199209190006,1992.7158469945355,Georgia,29.0
199210180003,1992.795081967213,Kazakhstan,4.0
199210280009,1992.8224043715848,Tajikistan,1.0
199211070007,1992.8497267759562,Tajikistan,3.0
199211180002,1992.879781420765,Georgia,1.0
199211180023,1992.879781420765,Georgia,1.0
199211190006,1992.8825136612022,Georgia,1.0
199211190024,1992.8825136612022,Tajikistan,1.0
199212010019,1992.9153005464482,Kazakhstan,2.0
199212020005,1992.9180327868853,Georgia,8.0
199212250005,1992.98087431694,Tajikistan,3.0
199212280004,1992.9890710382513,Georgia,15.0
199212290013,1992.9918032786886,Kazakhstan,1.0
199401010029,1994.0,Tajikistan,15.0
199402020009,1994.0876712328768,Azerbaijan,5.0
199402030003,1994.0904109589042,Azerbaijan,3.0
199402030010,1994.0904109589042,Georgia,2.0
199403100002,1994.186301369863,Tajikistan,1.0
199403100010,1994.186301369863,Georgia,2.0
199403190006,1994.2109589041097,Azerbaijan,12.0
199403270013,1994.2328767123288,Georgia,10.0
199404070011,1994.2630136986302,Tajikistan,1.0
199404090018,1994.268493150685,Georgia,3.0
