eventid,year,country_txt,nkill
197111200002,1971.8849315068494,Taiwan,25.0
197408150001,1974.6191780821919,South Korea,1.0
197603020001,1976.1666666666667,Japan,2.0
197801270001,1978.0712328767124,Japan,1.0
197801270002,1978.0712328767124,Japan,1.0
197801270003,1978.0712328767124,Japan,1.0
197807200001,1978.5479452054794,Japan,1.0
197900000001,1979.0,Japan,3.0
197906090003,1979.4356164383562,Japan,2.0
198203180007,1982.2082191780821,South Korea,1.0
198306080004,1983.4328767123288,Japan,2.0
198309220001,1983.7232876712328,South Korea,1.0
198506230003,1985.4739726027397,Japan,2.0
198606190010,1986.4630136986302,Japan,3.0
198609140001,1986.7013698630137,South Korea,5.0
198705060002,1987.3424657534247,Japan,1.0
198906260004,1989.482191780822,China,20.0
198912020001,1989.9178082191781,Japan,1.0
198912020002,1989.9178082191781,Japan,1.0
199011010001,1990.8328767123287,Japan,1.0
199011010002,1990.8328767123287,Japan,1.0
199012070002,1990.9315068493152,China,2.0
199107120004,1991.5260273972603,Japan,1.0
199110030003,1991.7534246575342,Taiwan,1.0
199112280006,1991.9890410958903,Taiwan,6.0
199201180002,1992.0464480874316,Hong Kong,1.0
199202010001,1992.0846994535518,China,1.0
199202050008,1992.0956284153006,China,6.0
199204280006,1992.3224043715848,Taiwan,1.0
199205170002,1992.3743169398906,China,2.0
199208040003,1992.5901639344263,South Korea,1.0
199210200007,1992.8005464480875,Taiwan,15.0
199402280009,1994.158904109589,Japan,1.0
199404010006,1994.2465753424658,China,1.0
199406270007,1994.4849315068493,Japan,7.0
199408040003,1994.5890410958905,South Korea,1.0
199409030004,1994.6712328767123,Taiwan,1.0
199409200003,1994.717808219178,China,14.0
199409260012,1994.7342465753425,Hong Kong,1.0
199410140003,1994.7835616438356,Hong Kong,2.0
199412100009,1994.9397260273972,China,2.0
199412130005,1994.9479452054795,North Korea,3.0
199412230004,1994.9753424657533,China,1.0
199501040005,1995.0082191780823,Japan,1.0
199501140006,1995.035616438356,China,1.0
199503200014,1995.213698630137,Japan,13.0
199504230005,1995.3068493150686,Japan,1.0
199510120017,1995.7780821917809,China,1.0
199512030004,1995.9205479452055,China,4.0
199602100006,1996.1092896174864,China,2.0
199603180018,1996.2103825136612,China,1.0
199604290007,1996.3251366120219,China,4.0
199608120006,1996.6120218579235,China,2.0
199608250009,1996.6475409836066,China,1.0
199609120007,1996.6967213114754,China,1.0
199609290006,1996.7431693989072,China,11.0
199611210005,1996.8879781420765,Taiwan,8.0
199611300010,1996.9125683060108,Taiwan,1.0
199612180008,1996.9617486338798,China,1.0
199702250004,1997.150684931507,China,2.0
199702250005,1997.150684931507,China,2.0
199702250006,1997.150684931507,China,3.0
199703010001,1997.1616438356164,China,1.0
199703070004,1997.1780821917807,China,2.0
199704170001,1997.2904109589042,Macau,1.0
199705120006,1997.358904109589,China,5.0
199710010008,1997.7479452054795,China,22.0
199802140001,1998.1205479452055,China,50.0
199904200003,1999.2986301369863,China,4.0
199906240007,1999.4767123287672,China,1.0
200002150003,2000.122950819672,China,1.0
200104020004,2001.2493150684932,Taiwan,2.0
200112140001,2001.9506849315069,China,1.0
200112140002,2001.9506849315069,China,1.0
200112140003,2001.9506849315069,China,1.0
200112140007,2001.9506849315069,China,2.0
200112280001,2001.9890410958903,China,2.0
200210030004,2002.7506849315068,China,1.0
200301150005,2003.0383561643835,China,1.0
200401230001,2004.0601092896175,China,2.0
200407170004,2004.5409836065573,China,2.0
200501200001,2005.0520547945205,China,12.0
200803050001,2008.1748633879781,China,1.0
200803130004,2008.1967213114754,China,2.0
200805050049,2008.3415300546449,China,3.0
200806110031,2008.4426229508197,China,1.0
200807210003,2008.551912568306,China,1.0
200807210004,2008.551912568306,China,2.0
200808040004,2008.5901639344263,China,16.0
200808090002,2008.603825136612,China,2.0
200808100020,2008.6065573770493,China,3.0
200808120011,2008.6120218579235,China,3.0
200808130024,2008.6147540983607,China,2.0
200808270006,2008.6530054644809,China,2.0
200809010015,2008.6666666666667,China,1.0
200903190015,2009.2109589041097,China,1.0
200904010023,2009.2465753424658,China,1.0
200907050020,2009.5068493150684,China,184.0
201008190012,2010.6301369863013,China,7.0
201107300007,2011.5753424657535,China,8.0
201107310006,2011.5780821917808,China,11.0
201202280008,2012.1584699453551,China,22.0
201205100002,2012.3551912568305,China,4.0
201210010021,2012.7486338797814,China,1.0
201306260042,2013.482191780822,China,6.0
201306260043,2013.482191780822,China,6.0
201306260044,2013.482191780822,China,6.0
201306260045,2013.482191780822,China,6.0
201306260046,2013.482191780822,China,6.0
201306260047,2013.482191780822,China,5.0
201310280018,2013.8219178082193,China,5.0
