eventid,year,country_txt,nkill
197201260002,1972.068306010929,Czechoslovakia,26.0
197308040001,1973.5890410958905,Yugoslavia,1.0
197411100001,1974.8575342465754,East Germany (GDR),1.0
197706200005,1977.4657534246576,Yugoslavia,1.0
197801080003,1978.0191780821917,Soviet Union,4.0
198209090004,1982.6876712328767,Bulgaria,1.0
198209090006,1982.6876712328767,Bulgaria,1.0
198303090004,1983.1835616438357,Yugoslavia,2.0
198406090002,1984.4371584699454,Yugoslavia,2.0
198412040003,1984.9234972677596,Romania,1.0
198505280001,1985.4027397260274,Romania,2.0
198605030003,1986.3342465753424,East Germany (GDR),1.0
198909160005,1989.7068493150684,Soviet Union,5.0
198910040010,1989.7561643835616,Soviet Union,1.0
199003240001,1990.2246575342465,Soviet Union,3.0
199003240002,1990.2246575342465,Soviet Union,3.0
199003240003,1990.2246575342465,Soviet Union,3.0
199003240004,1990.2246575342465,Soviet Union,1.0
199004140012,1990.282191780822,Soviet Union,1.0
199004220004,1990.304109589041,Poland,1.0
199005260003,1990.3972602739725,Soviet Union,6.0
199005280001,1990.4027397260274,Soviet Union,15.0
199006090018,1990.4356164383562,Soviet Union,1.0
199006090019,1990.4356164383562,Soviet Union,1.0
199007120002,1990.5260273972603,Soviet Union,3.0
199007150014,1990.5342465753424,Soviet Union,1.0
199008100008,1990.6054794520549,Soviet Union,15.0
199008190004,1990.6301369863013,Soviet Union,1.0
199008200001,1990.6328767123289,Soviet Union,1.0
199008220008,1990.6383561643836,Soviet Union,1.0
199008290001,1990.6575342465753,Soviet Union,2.0
199103240007,1991.2246575342465,Soviet Union,3.0
199105020007,1991.331506849315,Yugoslavia,1.0
199105040009,1991.33698630137,Yugoslavia,1.0
199106080005,1991.4328767123288,Yugoslavia,1.0
199106100007,1991.4383561643835,Yugoslavia,1.0
199107110015,1991.5232876712328,Croatia,2.0
199107150006,1991.5342465753424,Croatia,1.0
199107150014,1991.5342465753424,Croatia,1.0
199107150015,1991.5342465753424,Croatia,1.0
199107150016,1991.5342465753424,Croatia,1.0
199107170012,1991.5397260273974,Yugoslavia,2.0
199107200007,1991.5479452054794,Croatia,1.0
199107280013,1991.5698630136985,Croatia,180.0
199107310006,1991.5780821917808,Soviet Union,14.0
199107310019,1991.5780821917808,Soviet Union,6.0
199108100022,1991.6054794520549,Croatia,1.0
199108140019,1991.6164383561643,Czechoslovakia,1.0
199108180015,1991.627397260274,Soviet Union,3.0
199108190015,1991.6301369863013,Soviet Union,1.0
199108200002,1991.6328767123289,Romania,1.0
199108220025,1991.6383561643836,Croatia,8.0
199110130001,1991.7808219178082,Soviet Union,1.0
199111190001,1991.8821917808218,Croatia,41.0
199201060012,1992.0136612021859,Russia,1.0
199202180005,1992.1311475409836,Russia,1.0
199203010008,1992.1639344262296,Croatia,2.0
199203120020,1992.1939890710382,Yugoslavia,2.0
199203140020,1992.1994535519125,Russia,2.0
199203200001,1992.2158469945355,Albania,1.0
199203300016,1992.2431693989072,Ukraine,1.0
199204130018,1992.2814207650274,Bosnia-Herzegovina,5.0
199204130024,1992.2814207650274,Moldova,1.0
199204180006,1992.295081967213,Moldova,5.0
199204300003,1992.327868852459,Bosnia-Herzegovina,20.0
199205130003,1992.363387978142,Poland,1.0
199206080004,1992.4344262295083,Russia,1.0
199206120013,1992.4453551912568,Russia,1.0
199206290004,1992.4918032786886,Russia,2.0
199207070010,1992.5136612021859,Moldova,2.0
199207220013,1992.5546448087432,Moldova,2.0
199208020007,1992.5846994535518,Bosnia-Herzegovina,2.0
199208130009,1992.6147540983607,Bosnia-Herzegovina,1.0
199208130010,1992.6147540983607,Bosnia-Herzegovina,5.0
199208170010,1992.6256830601094,Bosnia-Herzegovina,8.0
199209020002,1992.6666666666667,Poland,2.0
199209040009,1992.6748633879781,Bosnia-Herzegovina,4.0
199209080011,1992.6857923497269,Bosnia-Herzegovina,2.0
199209100010,1992.691256830601,Bosnia-Herzegovina,8.0
199210010012,1992.7486338797814,Poland,1.0
199210200004,1992.8005464480875,Russia,1.0
199210200009,1992.8005464480875,Russia,9.0
199210230007,1992.808743169399,Russia,6.0
199210300017,1992.827868852459,Russia,10.0
199211110010,1992.860655737705,Yugoslavia,1.0
199401140006,1994.035616438356,Albania,1.0
199401180002,1994.0465753424658,Ukraine,2.0
199403100001,1994.186301369863,Russia,1.0
199403120001,1994.1917808219177,Russia,11.0
199403160010,1994.2027397260274,Latvia,1.0
199403210003,1994.2164383561644,Russia,1.0
199404010001,1994.2465753424658,Russia,1.0
199404050001,1994.2575342465752,Russia,1.0
199404130012,1994.2794520547945,Croatia,3.0
199404250004,1994.3123287671233,Russia,1.0
199405010011,1994.3287671232877,Bosnia-Herzegovina,2.0
199405170014,1994.372602739726,Bosnia-Herzegovina,1.0
199405260005,1994.3972602739725,Russia,1.0
199405270001,1994.4,Moldova,1.0
199405270002,1994.4,Russia,3.0
199406050002,1994.4246575342465,Russia,1.0
199406070004,1994.4301369863015,Russia,1.0
199406290003,1994.490410958904,Ukraine,1.0
199407280002,1994.5698630136985,Russia,6.0
199408270004,1994.6520547945206,Slovenia,1.0
199408300003,1994.6602739726027,Bulgaria,1.0
199410040003,1994.7561643835616,Ukraine,1.0
199410170001,1994.7917808219179,Russia,1.0
199410250001,1994.813698630137,Russia,1.0
199410270001,1994.8191780821917,Russia,1.0
199411020002,1994.835616438356,Russia,1.0
199411100001,1994.8575342465754,Russia,1.0
199411180002,1994.8794520547945,Russia,1.0
199501050001,1995.0109589041097,Russia,2.0
199501250001,1995.0657534246575,Russia,1.0
199502010001,1995.0849315068492,Russia,1.0
199503010004,1995.1616438356164,Russia,1.0
199503060003,1995.1753424657534,Bosnia-Herzegovina,1.0
199503130001,1995.194520547945,Yugoslavia,2.0
199503290001,1995.2383561643835,Russia,2.0
199504060001,1995.2602739726028,Russia,1.0
199505020003,1995.331506849315,Bulgaria,1.0
199505140015,1995.3643835616438,Czech Republic,1.0
199506140016,1995.4493150684932,Russia,121.0
199507060002,1995.509589041096,Slovak Republic,2.0
199507210002,1995.5506849315068,Slovak Republic,1.0
199508040005,1995.5890410958905,Russia,2.0
199510030009,1995.7534246575342,Macedonia,1.0
199510060004,1995.7616438356165,Russia,3.0
199510140003,1995.7835616438356,Russia,1.0
199510180004,1995.7945205479452,Russia,1.0
199510200008,1995.8,Croatia,1.0
199510250016,1995.813698630137,Bulgaria,2.0
199510300010,1995.827397260274,Russia,1.0
199511190006,1995.8821917808218,Bosnia-Herzegovina,1.0
199511260004,1995.9013698630138,Russia,1.0
199512080001,1995.9342465753425,Russia,1.0
199512120007,1995.945205479452,Russia,4.0
199512290009,1995.9917808219177,Russia,1.0
199512290010,1995.9917808219177,Russia,1.0
199601040001,1996.0081967213114,Russia,1.0
199601040002,1996.0081967213114,Russia,2.0
199601090008,1996.0218579234972,Russia,23.0
199601170003,1996.0437158469945,Russia,1.0
199601210004,1996.0546448087432,Bulgaria,3.0
199601230001,1996.0601092896175,Russia,1.0
199602010005,1996.0846994535518,Estonia,1.0
199602050001,1996.0956284153006,Russia,1.0
199602260007,1996.1530054644809,Albania,5.0
199602270004,1996.155737704918,Russia,1.0
199602270005,1996.155737704918,Russia,3.0
199603040003,1996.172131147541,Russia,1.0
199604190002,1996.2978142076502,Russia,5.0
199604220002,1996.3060109289618,Yugoslavia,1.0
199604220003,1996.3060109289618,Yugoslavia,2.0
199604220005,1996.3060109289618,Yugoslavia,1.0
199604230001,1996.308743169399,Russia,2.0
199604240001,1996.311475409836,Poland,1.0
199604280003,1996.3224043715848,Yugoslavia,1.0
199604290003,1996.3251366120219,Slovak Republic,1.0
199605030006,1996.3360655737704,Bulgaria,3.0
199605090009,1996.3524590163934,Russia,1.0
199605110002,1996.3579234972678,Russia,1.0
199605230002,1996.3907103825136,Russia,1.0
199606080001,1996.4344262295083,Russia,4.0
199606110001,1996.4426229508197,Russia,4.0
199606130003,1996.448087431694,Russia,1.0
199606160006,1996.4562841530055,Yugoslavia,1.0
199606170006,1996.4590163934427,Albania,1.0
199606260001,1996.483606557377,Albania,1.0
199607120003,1996.5273224043715,Russia,1.0
199607150001,1996.535519125683,Russia,1.0
199607290005,1996.5737704918033,Russia,1.0
199608050003,1996.5928961748634,Russia,1.0
199608200003,1996.6338797814208,Russia,4.0
199608280007,1996.655737704918,Yugoslavia,1.0
199609130002,1996.6994535519125,Russia,1.0
199609280002,1996.74043715847,Bosnia-Herzegovina,1.0
199609300011,1996.7459016393443,Bosnia-Herzegovina,1.0
199610020005,1996.7513661202186,Bulgaria,1.0
199610110003,1996.775956284153,Bulgaria,1.0
199610130001,1996.7814207650274,Bulgaria,1.0
199610250002,1996.8142076502731,Yugoslavia,2.0
199611030003,1996.8387978142077,Russia,1.0
199611100002,1996.8579234972678,Russia,14.0
199611160004,1996.8743169398906,Russia,43.0
199611190001,1996.8825136612022,Russia,1.0
199611200001,1996.8852459016393,Russia,2.0
199611260007,1996.9016393442623,Czech Republic,2.0
199612170003,1996.9590163934427,Russia,6.0
199612180003,1996.9617486338798,Russia,6.0
199701090005,1997.021917808219,Yugoslavia,1.0
199701140005,1997.035616438356,Russia,1.0
199701140008,1997.035616438356,Yugoslavia,1.0
199701170002,1997.0438356164384,Russia,1.0
199701190004,1997.0493150684931,Russia,1.0
199701310004,1997.0821917808219,Croatia,1.0
199701310006,1997.0821917808219,Hungary,2.0
199702070003,1997.1013698630136,Russia,2.0
199702100007,1997.109589041096,Bosnia-Herzegovina,1.0
199703210006,1997.2164383561644,Russia,1.0
199703250011,1997.227397260274,Yugoslavia,2.0
199703260007,1997.2301369863014,Albania,2.0
199704110006,1997.2739726027398,Yugoslavia,1.0
199704170002,1997.2904109589042,Slovak Republic,1.0
199704220001,1997.304109589041,Russia,1.0
199704230001,1997.3068493150686,Russia,3.0
199704230002,1997.3068493150686,Russia,2.0
199704280004,1997.3205479452056,Russia,2.0
199704300008,1997.3260273972603,Russia,2.0
199705010001,1997.3287671232877,Lithuania,1.0
199705080001,1997.3479452054794,Poland,1.0
199705160005,1997.3698630136987,Ukraine,1.0
199705280010,1997.4027397260274,Russia,3.0
199706220010,1997.4712328767123,Albania,1.0
