eventid,year,country_txt,nkill
197006100001,1970.4383561643835,Jordan,1.0
197104000001,1971.2465753424658,Iran,3.0
197104070001,1971.2630136986302,Iran,1.0
197105170001,1971.372602739726,Turkey,1.0
197109160001,1971.7068493150684,Israel,1.0
197111280001,1971.9068493150685,Egypt,1.0
197201160001,1972.0409836065573,West Bank and Gaza Strip,1.0
197203260001,1972.2322404371585,Turkey,3.0
197205300001,1972.4098360655737,Israel,26.0
197205310003,1972.4125683060108,Iran,1.0
197211030001,1972.8387978142077,Jordan,1.0
197211030002,1972.8387978142077,Jordan,1.0
197306020001,1973.4164383561645,Iran,1.0
197310180001,1973.7945205479452,Lebanon,4.0
197312040002,1973.9232876712329,Israel,2.0
197404110001,1974.2739726027398,Israel,21.0
197405180001,1974.3753424657534,Israel,25.0
197406130002,1974.4465753424658,Israel,7.0
197406250001,1974.4794520547946,Israel,14.0
197408110001,1974.6082191780822,Iran,1.0
197410100001,1974.772602739726,Syria,1.0
197411180003,1974.8794520547945,Israel,7.0
197411220004,1974.890410958904,United Arab Emirates,1.0
197411300002,1974.9123287671232,Israel,1.0
197412080001,1974.9342465753425,Israel,1.0
197412110002,1974.9424657534246,Israel,2.0
197503030001,1975.1671232876713,Iran,1.0
197503050001,1975.172602739726,Iran,1.0
197503050002,1975.172602739726,Israel,18.0
197503170001,1975.2054794520548,Iran,1.0
197504130001,1975.2794520547945,Lebanon,22.0
197505210001,1975.3835616438357,Iran,1.0
197505210002,1975.3835616438357,Iran,2.0
197507030001,1975.5013698630137,Iran,1.0
197510040002,1975.7561643835616,Lebanon,3.0
197510090003,1975.7698630136986,Lebanon,3.0
197511130001,1975.8657534246574,Israel,6.0
197512300002,1975.9945205479453,Iran,1.0
197601220001,1976.0573770491803,Turkey,2.0
197602030001,1976.0901639344263,Iran,1.0
197602160002,1976.1256830601094,Lebanon,1.0
197604080001,1976.2677595628415,Turkey,1.0
197604100001,1976.2732240437158,Iran,1.0
197604290004,1976.3251366120219,West Bank and Gaza Strip,2.0
197605030002,1976.3360655737704,Israel,1.0
197606160001,1976.4562841530055,Lebanon,3.0
197608110002,1976.6092896174864,Turkey,4.0
197608280002,1976.655737704918,Iran,3.0
197609260001,1976.7349726775956,Syria,5.0
197611170001,1976.877049180328,Jordan,9.0
197612150001,1976.9535519125684,Iraq,10.0
197612240001,1976.9781420765028,Iraq,2.0
197703030003,1977.1671232876713,Turkey,1.0
197703110001,1977.1890410958904,Turkey,3.0
197703120002,1977.1917808219177,Turkey,1.0
197703130001,1977.194520547945,Turkey,1.0
197703150001,1977.2,Turkey,2.0
197703220001,1977.2191780821918,Turkey,1.0
197705040001,1977.33698630137,Turkey,2.0
197705120001,1977.358904109589,Iran,2.0
197705290002,1977.4054794520548,Turkey,5.0
197705300001,1977.4082191780822,Turkey,1.0
197706180001,1977.4602739726026,Syria,1.0
197706200001,1977.4657534246576,Turkey,1.0
197706210002,1977.468493150685,Turkey,1.0
197707040001,1977.504109589041,Turkey,1.0
197707290001,1977.572602739726,Turkey,1.0
197708020001,1977.5835616438355,Turkey,1.0
197708020002,1977.5835616438355,Turkey,1.0
197708190001,1977.6301369863013,Turkey,1.0
197708220001,1977.6383561643836,Turkey,1.0
197708240004,1977.6438356164383,Turkey,1.0
197708300001,1977.6602739726027,Turkey,1.0
197710250002,1977.813698630137,United Arab Emirates,1.0
197711070001,1977.849315068493,Lebanon,3.0
197711160003,1977.8739726027397,North Yemen,1.0
197711230001,1977.8931506849315,Israel,1.0
197712050001,1977.9260273972602,Egypt,1.0
197712050003,1977.9260273972602,Israel,1.0
197712070001,1977.9315068493152,Turkey,1.0
197712070002,1977.9315068493152,Turkey,1.0
197712260001,1977.9835616438356,Israel,1.0
197712300001,1977.9945205479453,Israel,2.0
197802140002,1978.1205479452055,Israel,2.0
197803090001,1978.1835616438357,Lebanon,1.0
197803110004,1978.1890410958904,Israel,42.0
197803160004,1978.2027397260274,Turkey,6.0
197804000002,1978.2465753424658,Turkey,4.0
197804200004,1978.2986301369863,West Bank and Gaza Strip,2.0
197806000001,1978.4136986301369,Turkey,1.0
197806000002,1978.4136986301369,United Arab Emirates,5.0
197806020001,1978.4164383561645,Israel,6.0
197806120001,1978.4438356164383,Lebanon,3.0
197806150001,1978.4520547945206,Kuwait,1.0
197806180002,1978.4602739726026,Iran,1.0
197806240001,1978.4767123287672,North Yemen,1.0
197807000001,1978.495890410959,Turkey,1.0
197807010001,1978.495890410959,Turkey,1.0
197807010002,1978.495890410959,Turkey,1.0
197808030003,1978.5863013698631,Israel,1.0
197808100002,1978.6054794520549,Turkey,4.0
197808120001,1978.6109589041096,Iran,1.0
197808130002,1978.613698630137,Lebanon,98.0
197808190004,1978.6301369863013,Iran,422.0
197809060002,1978.6794520547944,Iran,1.0
197809160009,1978.7068493150684,Iran,9.0
197810010001,1978.7479452054795,Iran,2.0
197810010002,1978.7479452054795,Egypt,2.0
197810020004,1978.7506849315068,Turkey,2.0
197810020005,1978.7506849315068,Turkey,1.0
197810030001,1978.7534246575342,Turkey,2.0
197810080001,1978.7671232876712,Turkey,6.0
197810090001,1978.7698630136986,Turkey,6.0
197810200001,1978.8,Turkey,1.0
197810260001,1978.8164383561643,Iran,1.0
197810280003,1978.8219178082193,Iran,5.0
197811000002,1978.8328767123287,Iran,1.0
197811010003,1978.8328767123287,Turkey,1.0
197811020003,1978.835616438356,Turkey,1.0
197811070002,1978.849315068493,Iran,1.0
197811190003,1978.8821917808218,West Bank and Gaza Strip,4.0
197811210001,1978.8876712328768,Lebanon,4.0
197811240001,1978.8958904109588,Lebanon,1.0
197811300001,1978.9123287671232,Israel,1.0
197812040004,1978.9232876712329,Iran,1.0
197812080001,1978.9342465753425,Turkey,1.0
197812100001,1978.9397260273972,Morocco,10.0
197812230001,1978.9753424657533,Iran,1.0
197812230002,1978.9753424657533,Iran,1.0
197812280004,1978.9890410958903,Turkey,1.0
197901050005,1979.0109589041097,Israel,1.0
197901130005,1979.0328767123287,Israel,4.0
197901150003,1979.0383561643835,Iran,1.0
197901170001,1979.0438356164384,Turkey,1.0
197901220002,1979.0575342465754,Lebanon,4.0
197901280002,1979.0739726027398,Israel,5.0
197902010009,1979.0849315068492,Turkey,1.0
197902030001,1979.0904109589042,Israel,1.0
197902070005,1979.1013698630136,Turkey,1.0
197902110007,1979.1123287671232,Turkey,1.0
197902160005,1979.1260273972603,Turkey,4.0
197902190034,1979.1342465753426,Turkey,1.0
197902200005,1979.13698630137,Turkey,1.0
197902220006,1979.1424657534246,Turkey,1.0
197902220008,1979.1424657534246,Turkey,4.0
197902230004,1979.145205479452,Turkey,1.0
197902230005,1979.145205479452,Turkey,1.0
197902230006,1979.145205479452,Turkey,1.0
197902250003,1979.150684931507,Turkey,1.0
197902260002,1979.1534246575343,Turkey,1.0
197903020003,1979.164383561644,Lebanon,2.0
197903100036,1979.186301369863,Turkey,1.0
197903120001,1979.1917808219177,Turkey,1.0
197903150001,1979.2,Turkey,1.0
197903150002,1979.2,Turkey,1.0
197903150003,1979.2,Turkey,1.0
197903230001,1979.2219178082191,Israel,1.0
197903270002,1979.2328767123288,Israel,1.0
197903270003,1979.2328767123288,Israel,1.0
197903270008,1979.2328767123288,Turkey,1.0
197903270009,1979.2328767123288,Turkey,1.0
197903290005,1979.2383561643835,Lebanon,1.0
197904050004,1979.2575342465752,West Bank and Gaza Strip,1.0
197904070002,1979.2630136986302,Turkey,1.0
197904100001,1979.2712328767122,Israel,1.0
197904120007,1979.2767123287672,Turkey,1.0
197904130002,1979.2794520547945,Lebanon,2.0
197904150003,1979.2849315068493,Israel,4.0
197904160005,1979.2876712328766,Israel,1.0
197904180001,1979.2931506849316,Israel,5.0
197904190003,1979.295890410959,Egypt,1.0
197904220004,1979.304109589041,Israel,6.0
197904220010,1979.304109589041,Israel,2.0
197904230001,1979.3068493150686,West Bank and Gaza Strip,1.0
197904230002,1979.3068493150686,Iran,1.0
197905000001,1979.3287671232877,Iran,1.0
197905070003,1979.345205479452,Turkey,1.0
197905090006,1979.3506849315067,Israel,2.0
197905110005,1979.3561643835617,Turkey,1.0
197905140001,1979.3643835616438,Israel,2.0
197905160015,1979.3698630136987,Turkey,7.0
197905230003,1979.3890410958904,Israel,3.0
197905240007,1979.3917808219178,Lebanon,1.0
197905290003,1979.4054794520548,Lebanon,1.0
197906000006,1979.4136986301369,West Bank and Gaza Strip,1.0
197906000010,1979.4136986301369,Syria,3.0
197906000011,1979.4136986301369,Syria,1.0
197906000012,1979.4136986301369,Syria,1.0
197906020002,1979.4164383561645,Turkey,1.0
197906040005,1979.4219178082192,Lebanon,1.0
197906110004,1979.441095890411,Turkey,3.0
197906130003,1979.4465753424658,Lebanon,1.0
197906140041,1979.4493150684932,Iran,1.0
197906150001,1979.4520547945206,Iraq,1.0
197906160007,1979.454794520548,Syria,54.0
197906200004,1979.4657534246576,Lebanon,1.0
197906230001,1979.4739726027397,Turkey,1.0
197906240004,1979.4767123287672,Israel,2.0
197906240008,1979.4767123287672,Syria,1.0
197906250002,1979.4794520547946,Syria,1.0
197906250003,1979.4794520547946,Turkey,1.0
197906250004,1979.4794520547946,Turkey,1.0
197906260008,1979.482191780822,Turkey,1.0
197906270003,1979.4849315068493,Turkey,1.0
197906300003,1979.4931506849316,Turkey,2.0
197907030003,1979.5013698630137,Turkey,1.0
197907030004,1979.5013698630137,Turkey,1.0
197907030005,1979.5013698630137,Turkey,1.0
197907040005,1979.504109589041,Turkey,1.0
197907070001,1979.5123287671233,Israel,1.0
197907070003,1979.5123287671233,Iran,1.0
197907080006,1979.5150684931507,Iran,5.0
197907100003,1979.5205479452054,Syria,2.0
197907120005,1979.5260273972603,Iran,1.0
197907120011,1979.5260273972603,Iran,9.0
197907130003,1979.5287671232877,Turkey,2.0
197907150001,1979.5342465753424,Iran,7.0
197907160003,1979.5369863013698,Lebanon,1.0
197907170002,1979.5397260273974,Iran,9.0
197907310002,1979.5780821917808,Turkey,4.0
197908030003,1979.5863013698631,Syria,2.0
197908030004,1979.5863013698631,Turkey,1.0
197908050002,1979.5917808219178,Israel,2.0
197908050004,1979.5917808219178,Israel,8.0
197908070006,1979.5972602739726,Syria,1.0
197908120001,1979.6109589041096,Turkey,3.0
197908120002,1979.6109589041096,Turkey,4.0
197908140010,1979.6164383561643,Syria,1.0
197908150004,1979.6191780821919,Israel,7.0
197908200001,1979.6328767123289,Lebanon,7.0
197908230005,1979.641095890411,Syria,1.0
197908250003,1979.6465753424657,Turkey,1.0
197908260003,1979.6493150684933,Iran,2.0
197908260004,1979.6493150684933,Turkey,3.0
197908280003,1979.654794520548,Turkey,1.0
197908290010,1979.6575342465753,Turkey,1.0
197908290011,1979.6575342465753,Turkey,1.0
197908310003,1979.66301369863,Lebanon,2.0
197908310004,1979.66301369863,Syria,1.0
197909010002,1979.6657534246576,Syria,1.0
197909030001,1979.6712328767123,Turkey,1.0
197909030003,1979.6712328767123,Turkey,1.0
197909050004,1979.676712328767,Turkey,1.0
197909050005,1979.676712328767,Turkey,2.0
197909060003,1979.6794520547944,Turkey,1.0
197909100004,1979.690410958904,Turkey,1.0
197909110003,1979.6931506849314,Turkey,1.0
197909120003,1979.695890410959,Syria,4.0
197909140004,1979.7013698630137,Syria,1.0
197909140005,1979.7013698630137,Syria,1.0
197909160002,1979.7068493150684,Israel,1.0
197909170009,1979.7095890410958,Turkey,1.0
197909170010,1979.7095890410958,Turkey,1.0
197909180004,1979.7123287671234,Turkey,6.0
197909190003,1979.7150684931507,Israel,1.0
197909190007,1979.7150684931507,Turkey,1.0
197909200007,1979.717808219178,Syria,1.0
197909250006,1979.731506849315,Lebanon,3.0
197909260008,1979.7342465753425,Iran,1.0
197909280004,1979.7397260273972,Turkey,1.0
197910010007,1979.7479452054795,Iran,1.0
197910030003,1979.7534246575342,Iran,8.0
197910050004,1979.7589041095891,Iran,1.0
197910050007,1979.7589041095891,Turkey,1.0
197910140001,1979.7835616438356,Iran,1.0
197910140003,1979.7835616438356,Turkey,4.0
197910150003,1979.786301369863,Syria,2.0
197910180004,1979.7945205479452,Turkey,3.0
197910270004,1979.8191780821917,Lebanon,6.0
197910270007,1979.8191780821917,Turkey,6.0
197911010001,1979.8328767123287,Israel,1.0
197911020004,1979.835616438356,Iran,1.0
197911190006,1979.8821917808218,Turkey,1.0
197911200001,1979.8849315068494,Turkey,1.0
197911200002,1979.8849315068494,Saudi Arabia,5.0
197911280006,1979.9068493150685,Turkey,1.0
197911280007,1979.9068493150685,Turkey,1.0
197911280008,1979.9068493150685,Turkey,1.0
197911280009,1979.9068493150685,Turkey,7.0
197912030007,1979.9205479452055,Syria,1.0
197912070008,1979.9315068493152,Turkey,1.0
197912140002,1979.9506849315069,Turkey,4.0
197912180003,1979.9616438356165,Iran,3.0
197912270002,1979.986301369863,Iran,2.0
197912300001,1979.9945205479453,Iran,1.0
198001030003,1980.0054644808743,Turkey,2.0
198001030004,1980.0054644808743,Turkey,1.0
198001030005,1980.0054644808743,Turkey,1.0
198001030006,1980.0054644808743,Turkey,1.0
198001030007,1980.0054644808743,Turkey,1.0
198001030009,1980.0054644808743,Turkey,1.0
198001060002,1980.0136612021859,Egypt,1.0
198001060004,1980.0136612021859,Iran,1.0
198001120008,1980.0300546448088,Turkey,3.0
198001190003,1980.049180327869,Lebanon,1.0
198001190006,1980.049180327869,Syria,6.0
198001240004,1980.0628415300546,Syria,1.0
198001270006,1980.0710382513662,Tunisia,41.0
198001310007,1980.0819672131147,West Bank and Gaza Strip,1.0
198001310008,1980.0819672131147,West Bank and Gaza Strip,1.0
198002010001,1980.0846994535518,Iran,1.0
198002020004,1980.0874316939892,Syria,1.0
198002080004,1980.103825136612,Turkey,3.0
198002090001,1980.1065573770493,Turkey,1.0
198002160001,1980.1256830601094,West Bank and Gaza Strip,1.0
198002160009,1980.1256830601094,West Bank and Gaza Strip,3.0
198002180012,1980.1311475409836,Syria,34.0
198002210002,1980.139344262295,Iran,5.0
198002210010,1980.139344262295,Turkey,1.0
198002210011,1980.139344262295,Turkey,1.0
198002220002,1980.1420765027322,Turkey,1.0
198002230001,1980.1448087431695,Lebanon,4.0
198002230005,1980.1448087431695,Lebanon,8.0
198002240003,1980.1475409836066,Lebanon,1.0
198002240004,1980.1475409836066,Lebanon,1.0
198002270003,1980.155737704918,Lebanon,2.0
198003050006,1980.1748633879781,Turkey,2.0
198003100020,1980.188524590164,Lebanon,2.0
198003100031,1980.188524590164,Turkey,4.0
198003120005,1980.1939890710382,Lebanon,1.0
198003130004,1980.1967213114754,Turkey,1.0
198003130005,1980.1967213114754,Turkey,6.0
198003130008,1980.1967213114754,Turkey,2.0
198003280005,1980.2377049180327,Iran,1.0
198003280008,1980.2377049180327,Turkey,4.0
198004000002,1980.2486338797814,Syria,1.0
198004010019,1980.2486338797814,Iraq,3.0
198004030002,1980.2540983606557,Turkey,1.0
198004030003,1980.2540983606557,Turkey,4.0
198004040002,1980.2568306010928,Iran,5.0
198004050002,1980.25956284153,Iran,3.0
198004070007,1980.2650273224044,Lebanon,2.0
198004070013,1980.2650273224044,Israel,8.0
198004080003,1980.2677595628415,Turkey,1.0
198004080004,1980.2677595628415,Turkey,1.0
198004100001,1980.2732240437158,Iran,1.0
198004110009,1980.275956284153,Turkey,1.0
198004110017,1980.275956284153,Turkey,4.0
198004140006,1980.2841530054645,Turkey,1.0
198004160002,1980.2896174863388,Iran,6.0
198004160009,1980.2896174863388,Turkey,2.0
198004180010,1980.295081967213,Lebanon,7.0
198004180011,1980.295081967213,Lebanon,7.0
198004220014,1980.3060109289618,Lebanon,1.0
198004280002,1980.3224043715848,Iran,2.0
198004280004,1980.3224043715848,Iran,2.0
198004280009,1980.3224043715848,Syria,1.0
198004280010,1980.3224043715848,Turkey,2.0
198004290006,1980.3251366120219,Syria,1.0
198004290007,1980.3251366120219,Turkey,1.0
198005020019,1980.3333333333333,Lebanon,1.0
198005020021,1980.3333333333333,West Bank and Gaza Strip,4.0
198005040002,1980.3387978142077,Iran,1.0
198005050010,1980.3415300546449,West Bank and Gaza Strip,1.0
198005060003,1980.344262295082,Iran,1.0
198005070003,1980.3469945355191,Turkey,1.0
198005070004,1980.3469945355191,Turkey,1.0
198005120004,1980.360655737705,Turkey,1.0
198005170002,1980.3743169398906,Turkey,1.0
198005190003,1980.379781420765,Turkey,1.0
198005200005,1980.3825136612022,Turkey,1.0
198005210006,1980.3852459016393,Turkey,1.0
198005210007,1980.3852459016393,Turkey,1.0
198005220005,1980.3879781420765,Syria,1.0
198005260001,1980.3989071038252,Iran,1.0
198005270001,1980.4016393442623,Turkey,1.0
198005280013,1980.4043715846994,Syria,3.0
198005300004,1980.4098360655737,Turkey,2.0
198005300005,1980.4098360655737,Turkey,2.0
198006000001,1980.4153005464482,Syria,1.0
198006020011,1980.4180327868853,Turkey,1.0
198006020013,1980.4180327868853,West Bank and Gaza Strip,5.0
198006040008,1980.4234972677596,Turkey,1.0
198006040009,1980.4234972677596,Turkey,1.0
198006080002,1980.4344262295083,Turkey,1.0
198006160007,1980.4562841530055,Lebanon,2.0
198006170001,1980.4590163934427,Lebanon,1.0
198006170003,1980.4590163934427,Turkey,2.0
198006180005,1980.4617486338798,Syria,1.0
198006190003,1980.464480874317,Syria,1.0
198006190004,1980.464480874317,Iraq,3.0
198006200006,1980.467213114754,West Bank and Gaza Strip,1.0
198006220001,1980.4726775956285,West Bank and Gaza Strip,2.0
198006240001,1980.4781420765028,Iran,11.0
198006240004,1980.4781420765028,Turkey,3.0
198006250007,1980.48087431694,Israel,1.0
198006250010,1980.48087431694,Syria,14.0
198007000004,1980.4972677595629,Iraq,2.0
198007000005,1980.4972677595629,Turkey,2.0
198007000006,1980.4972677595629,Turkey,3.0
198007010004,1980.4972677595629,Syria,4.0
198007010008,1980.4972677595629,Syria,5.0
198007020025,1980.5,Lebanon,2.0
198007030002,1980.5027322404371,Lebanon,2.0
198007090011,1980.51912568306,West Bank and Gaza Strip,1.0
198007090017,1980.51912568306,Lebanon,1.0
198007110001,1980.5245901639344,West Bank and Gaza Strip,3.0
198007110002,1980.5245901639344,West Bank and Gaza Strip,3.0
198007110004,1980.5245901639344,Turkey,1.0
198007130003,1980.5300546448088,Turkey,1.0
198007150005,1980.535519125683,Turkey,1.0
198007190001,1980.5464480874316,Lebanon,1.0
198007190002,1980.5464480874316,Turkey,2.0
198007210002,1980.551912568306,Syria,11.0
198007220005,1980.5546448087432,Turkey,1.0
198007220006,1980.5546448087432,Turkey,1.0
198007230005,1980.5573770491803,Iran,6.0
198007230007,1980.5573770491803,Lebanon,2.0
198007260001,1980.5655737704917,West Bank and Gaza Strip,1.0
198007270003,1980.568306010929,Iran,1.0
198007270004,1980.568306010929,United Arab Emirates,1.0
198007280006,1980.5710382513662,Lebanon,1.0
198007280007,1980.5710382513662,Lebanon,1.0
198007300002,1980.5765027322404,Iran,7.0
198007300004,1980.5765027322404,Lebanon,2.0
198008060006,1980.5956284153006,Lebanon,1.0
198008220005,1980.639344262295,Turkey,1.0
198008240001,1980.6448087431695,Israel,1.0
198008240002,1980.6448087431695,Lebanon,5.0
198008290005,1980.6584699453551,Lebanon,1.0
198009000003,1980.6666666666667,Turkey,4.0
198009020005,1980.6693989071039,Turkey,4.0
