eventid,year,country_txt,nkill
197002160001,1970.1260273972603,United States,1.0
197003050003,1970.172602739726,United States,2.0
197003090006,1970.1835616438357,United States,2.0
197003200002,1970.213698630137,United States,1.0
197004240002,1970.309589041096,United States,1.0
197005090003,1970.3506849315067,United States,1.0
197005150004,1970.3671232876711,United States,1.0
197005220002,1970.386301369863,United States,1.0
197005280001,1970.4027397260274,United States,1.0
197006190003,1970.4630136986302,United States,1.0
197006190004,1970.4630136986302,United States,1.0
197006300001,1970.4931506849316,United States,1.0
197007020006,1970.4986301369863,United States,1.0
197007110002,1970.5232876712328,United States,1.0
197007170001,1970.5397260273974,United States,2.0
197007260001,1970.5643835616438,United States,1.0
197008060004,1970.5945205479452,United States,1.0
197008070003,1970.5972602739726,United States,4.0
197008150001,1970.6191780821919,United States,1.0
197008170001,1970.6246575342466,United States,1.0
197008200003,1970.6328767123289,United States,1.0
197008240001,1970.6438356164383,United States,1.0
197009180002,1970.7123287671234,United States,1.0
197009230001,1970.7260273972602,United States,1.0
197010100001,1970.772602739726,Canada,1.0
197010240001,1970.8109589041096,United States,1.0
197011010004,1970.8328767123287,United States,1.0
197011080001,1970.8520547945207,United States,1.0
197101130001,1971.0328767123287,United States,1.0
197101240002,1971.0630136986301,United States,1.0
197101290003,1971.0767123287671,United States,1.0
197102200003,1971.13698630137,United States,1.0
197104020003,1971.2493150684932,United States,2.0
197104170001,1971.2904109589042,United States,1.0
197104190004,1971.295890410959,United States,3.0
197104290005,1971.323287671233,United States,1.0
197105060006,1971.3424657534247,United States,1.0
197105210001,1971.3835616438357,United States,2.0
197106050002,1971.4246575342465,United States,1.0
197108150001,1971.6191780821919,United States,1.0
197108150004,1971.6191780821919,United States,1.0
197108290001,1971.6575342465753,United States,1.0
197109180002,1971.7123287671234,United States,1.0
197111030001,1971.8383561643836,United States,1.0
197201260003,1972.068306010929,United States,1.0
197201260005,1972.068306010929,United States,1.0
197201270001,1972.0710382513662,United States,2.0
197204040002,1972.2568306010928,Canada,1.0
197205270001,1972.4016393442623,United States,1.0
197210250002,1972.8142076502731,United States,2.0
197210260001,1972.8169398907103,United States,1.0
197212310001,1972.9972677595629,United States,2.0
197301020004,1973.0027397260274,United States,1.0
197301070003,1973.0164383561644,United States,8.0
197301180003,1973.0465753424658,United States,7.0
197301250001,1973.0657534246575,United States,2.0
197301270001,1973.0712328767124,United States,2.0
197301280001,1973.0739726027398,United States,2.0
197302270002,1973.1561643835616,United States,2.0
197305010003,1973.3287671232877,United States,1.0
197305190001,1973.3780821917808,United States,2.0
197306050001,1973.4246575342465,United States,1.0
197307010001,1973.495890410959,United States,1.0
197309040001,1973.6739726027397,United States,1.0
197309180002,1973.7123287671234,United States,2.0
197310100001,1973.772602739726,Mexico,1.0
197310180002,1973.7945205479452,United States,2.0
197310200002,1973.8,United States,1.0
197310290003,1973.8246575342466,United States,1.0
197311060001,1973.8465753424657,United States,1.0
197311250004,1973.8986301369864,United States,1.0
197311260004,1973.9013698630138,United States,1.0
197312110002,1973.9424657534246,United States,1.0
197312130001,1973.9479452054795,United States,1.0
197312200004,1973.9671232876713,United States,1.0
197312220002,1973.972602739726,United States,1.0
197312220003,1973.972602739726,United States,1.0
197312230001,1973.9753424657533,United States,1.0
197401280001,1974.0739726027398,United States,1.0
197401280002,1974.0739726027398,United States,1.0
197401280003,1974.0739726027398,United States,1.0
197401280005,1974.0739726027398,United States,1.0
197402040003,1974.0931506849315,United States,4.0
197403220001,1974.2191780821918,Mexico,1.0
197404010003,1974.2465753424658,United States,1.0
197404130002,1974.2794520547945,United States,1.0
197404160003,1974.2876712328766,United States,1.0
197404270001,1974.317808219178,Mexico,1.0
197406110001,1974.441095890411,United States,1.0
197408060004,1974.5945205479452,United States,3.0
197412290001,1974.9917808219177,United States,1.0
197501110001,1975.027397260274,United States,2.0
197501240001,1975.0630136986301,United States,4.0
197501280002,1975.0739726027398,Mexico,1.0
197502210008,1975.1397260273973,United States,1.0
197504210002,1975.3013698630136,United States,1.0
197504250002,1975.3123287671233,Mexico,12.0
197505030005,1975.3342465753424,Mexico,1.0
197506080002,1975.4328767123288,United States,2.0
197508120001,1975.6109589041096,Mexico,6.0
197508160005,1975.6219178082192,United States,1.0
197508220003,1975.6383561643836,Mexico,3.0
197509190003,1975.7150684931507,United States,1.0
197510310001,1975.8301369863013,United States,1.0
197511210001,1975.8876712328768,Mexico,9.0
197512290003,1975.9917808219177,United States,11.0
197601020002,1976.0027322404371,Mexico,2.0
197601230001,1976.0601092896175,United States,1.0
197601310001,1976.0819672131147,Mexico,1.0
197604050001,1976.25956284153,United States,1.0
197605060001,1976.344262295082,Mexico,7.0
