eventid,year,country_txt,nkill
197005040001,1970.33698630137,Paraguay,1.0
197005290001,1970.4054794520548,Argentina,1.0
197006010001,1970.4136986301369,Argentina,1.0
197006110001,1970.441095890411,Brazil,1.0
197007310003,1970.5780821917808,Uruguay,1.0
197008060001,1970.5945205479452,Argentina,1.0
197009000002,1970.6657534246576,Uruguay,2.0
197010270001,1970.8191780821917,Argentina,1.0
197011150001,1970.8712328767124,Argentina,1.0
197012070001,1970.9315068493152,Brazil,1.0
197101110001,1971.027397260274,Uruguay,1.0
197104110002,1971.2739726027398,Argentina,3.0
197104290001,1971.323287671233,Argentina,1.0
197107280001,1971.5698630136985,Argentina,1.0
197203210001,1972.2185792349726,Argentina,1.0
197204100001,1972.2732240437158,Argentina,1.0
197207170001,1972.5409836065573,Colombia,1.0
197210160001,1972.7896174863388,Argentina,1.0
197212270001,1972.9863387978141,Argentina,1.0
197212270002,1972.9863387978141,Argentina,1.0
197301220001,1973.0575342465754,Argentina,1.0
197302020001,1973.0876712328768,Argentina,1.0
197302140001,1973.1205479452055,Argentina,1.0
197304040001,1973.2547945205479,Argentina,1.0
197304050001,1973.2575342465752,Argentina,1.0
197304300001,1973.3260273972603,Argentina,1.0
197305210002,1973.3835616438357,Argentina,1.0
197305230001,1973.3890410958904,Argentina,1.0
197307250001,1973.5616438356165,Argentina,1.0
197308280001,1973.654794520548,Argentina,1.0
197309050001,1973.676712328767,Argentina,1.0
197309060001,1973.6794520547944,Argentina,1.0
197309240001,1973.7287671232878,Argentina,1.0
197310050001,1973.7589041095891,Argentina,1.0
197310140001,1973.7835616438356,Argentina,1.0
197311220001,1973.890410958904,Argentina,1.0
197401190002,1974.0493150684931,Argentina,2.0
197403250001,1974.227397260274,Argentina,1.0
197404040001,1974.2547945205479,Argentina,1.0
197404040002,1974.2547945205479,Argentina,1.0
197404280001,1974.3205479452056,Argentina,1.0
197405060001,1974.3424657534247,Argentina,1.0
197405270001,1974.4,Argentina,1.0
197405310001,1974.4109589041095,Argentina,3.0
197406090001,1974.4356164383562,Argentina,1.0
197406160001,1974.454794520548,Argentina,2.0
197407180001,1974.5424657534247,Argentina,1.0
197408060001,1974.5945205479452,Argentina,1.0
197408270001,1974.6520547945206,Argentina,1.0
197409190001,1974.7150684931507,Argentina,2.0
197409300001,1974.7452054794521,Argentina,2.0
197502000001,1975.0849315068492,Argentina,1.0
197502130001,1975.1178082191782,Colombia,2.0
197502260001,1975.1534246575343,Argentina,1.0
197503290004,1975.2383561643835,Colombia,2.0
197504250001,1975.3123287671233,Argentina,1.0
197505080001,1975.3479452054794,Colombia,1.0
197508200003,1975.6328767123289,Colombia,1.0
197509080001,1975.6849315068494,Colombia,1.0
197510050003,1975.7589041095891,Argentina,26.0
197510160001,1975.7890410958903,Argentina,2.0
197512240003,1975.978082191781,Argentina,92.0
197601040001,1976.0081967213114,Colombia,1.0
197601080001,1976.01912568306,Argentina,8.0
197601140003,1976.035519125683,Colombia,4.0
197601290001,1976.0765027322404,Argentina,2.0
197601300002,1976.0792349726776,Colombia,1.0
197602110001,1976.1120218579235,Argentina,1.0
197602170001,1976.1284153005465,Colombia,1.0
197602250001,1976.1502732240438,Argentina,1.0
197603290001,1976.24043715847,Argentina,1.0
197603300001,1976.2431693989072,Colombia,1.0
197604000001,1976.2486338797814,Argentina,1.0
197604140001,1976.2841530054645,Argentina,1.0
197604290001,1976.3251366120219,Argentina,1.0
197604290005,1976.3251366120219,Argentina,8.0
197605040001,1976.3387978142077,Argentina,1.0
197605080001,1976.3497267759562,Colombia,2.0
197605170001,1976.3743169398906,Argentina,2.0
197606010001,1976.4153005464482,Argentina,1.0
197606070001,1976.431693989071,Paraguay,1.0
197606100001,1976.4398907103825,Argentina,1.0
197606180001,1976.4617486338798,Argentina,1.0
197607020001,1976.5,Argentina,25.0
197608200001,1976.6338797814208,Argentina,30.0
197609080001,1976.6857923497269,Argentina,2.0
197609090001,1976.688524590164,Argentina,1.0
197609130001,1976.6994535519125,Argentina,1.0
197609130002,1976.6994535519125,Argentina,9.0
197609200001,1976.7185792349726,Argentina,1.0
197609270001,1976.7377049180327,Ecuador,1.0
197610100001,1976.7732240437158,Argentina,1.0
197610290001,1976.8251366120219,Argentina,10.0
197611030001,1976.8387978142077,Argentina,2.0
197612130002,1976.948087431694,Argentina,10.0
197703060001,1977.1753424657534,Venezuela,1.0
197704110001,1977.2739726027398,Argentina,1.0
197704150001,1977.2849315068493,Colombia,1.0
197709150001,1977.704109589041,Colombia,1.0
197709190002,1977.7150684931507,Colombia,1.0
197709220001,1977.7232876712328,Colombia,1.0
197709220002,1977.7232876712328,Colombia,3.0
197709270001,1977.7369863013698,Colombia,1.0
197709270003,1977.7369863013698,Colombia,1.0
197710070001,1977.7643835616439,Colombia,4.0
197710110001,1977.7753424657535,Colombia,2.0
197710150001,1977.786301369863,Colombia,1.0
197710160001,1977.7890410958903,Colombia,2.0
197710210001,1977.8027397260273,Argentina,1.0
197710210002,1977.8027397260273,Argentina,1.0
197710220004,1977.805479452055,Colombia,1.0
197711000001,1977.8328767123287,Colombia,1.0
197711030001,1977.8383561643836,Colombia,1.0
197711090001,1977.854794520548,Colombia,1.0
197711100002,1977.8575342465754,Colombia,1.0
197711290001,1977.9095890410958,Ecuador,1.0
197712000001,1977.9150684931508,Colombia,1.0
197712010007,1977.9150684931508,Colombia,9.0
197712030002,1977.9178082191781,Argentina,2.0
197712080001,1977.9342465753425,Argentina,1.0
197712100002,1977.9397260273972,Argentina,1.0
197712120001,1977.945205479452,Colombia,1.0
197712240001,1977.978082191781,Colombia,4.0
197801020002,1978.0027397260274,Colombia,1.0
197801060001,1978.013698630137,Argentina,1.0
197801150001,1978.0383561643835,Colombia,5.0
197801150007,1978.0383561643835,Colombia,1.0
197801160001,1978.041095890411,Colombia,1.0
197801160002,1978.041095890411,Colombia,1.0
197801260001,1978.0684931506848,Colombia,1.0
197801280001,1978.0739726027398,Colombia,5.0
197802180007,1978.131506849315,Colombia,1.0
197802200004,1978.13698630137,Colombia,1.0
197802210001,1978.1397260273973,Colombia,1.0
197802220001,1978.1424657534246,Ecuador,1.0
197803110003,1978.1890410958904,Argentina,1.0
197803200003,1978.213698630137,Colombia,1.0
197804060002,1978.2602739726028,Argentina,2.0
197804060005,1978.2602739726028,Argentina,2.0
197804110001,1978.2739726027398,Argentina,1.0
197804200003,1978.2986301369863,Colombia,1.0
197804250001,1978.3123287671233,Colombia,2.0
197805200001,1978.3808219178081,Colombia,4.0
197805230001,1978.3890410958904,Colombia,1.0
197805240002,1978.3917808219178,Colombia,1.0
197805270001,1978.4,Colombia,1.0
197805270002,1978.4,Colombia,1.0
197805280001,1978.4027397260274,Colombia,1.0
197805290001,1978.4054794520548,Colombia,1.0
197805310001,1978.4109589041095,Colombia,1.0
197806010001,1978.4136986301369,Colombia,1.0
197807040001,1978.504109589041,Colombia,1.0
197807040002,1978.504109589041,Colombia,1.0
197807080003,1978.5150684931507,Brazil,1.0
197807120004,1978.5260273972603,Colombia,1.0
197808010001,1978.5808219178082,Argentina,3.0
197808030001,1978.5863013698631,Colombia,1.0
197808130003,1978.613698630137,Colombia,2.0
197808140001,1978.6164383561643,Colombia,9.0
197808160001,1978.6219178082192,Colombia,1.0
197808190001,1978.6301369863013,Colombia,1.0
197808190002,1978.6301369863013,Colombia,6.0
197808280007,1978.654794520548,Argentina,1.0
197809050005,1978.676712328767,Colombia,3.0
197809120001,1978.695890410959,Colombia,1.0
197810000002,1978.7479452054795,Colombia,1.0
197810110001,1978.7753424657535,Colombia,1.0
197810110002,1978.7753424657535,Venezuela,1.0
197811080001,1978.8520547945207,Colombia,1.0
197811080002,1978.8520547945207,Colombia,1.0
197811110001,1978.8602739726027,Argentina,1.0
197811180002,1978.8794520547945,Guyana,5.0
197811270001,1978.9041095890411,Ecuador,1.0
197812180006,1978.9616438356165,Colombia,3.0
197812200005,1978.9671232876713,Argentina,1.0
197812290001,1978.9917808219177,Colombia,2.0
197812290006,1978.9917808219177,Colombia,1.0
197901030014,1979.0054794520547,Colombia,1.0
197901070005,1979.0164383561644,Colombia,7.0
197901130002,1979.0328767123287,Colombia,1.0
197901180011,1979.0465753424658,Colombia,7.0
197901250010,1979.0657534246575,Peru,5.0
197901280004,1979.0739726027398,Colombia,1.0
197901290011,1979.0767123287671,Colombia,3.0
197901300006,1979.0794520547945,Colombia,3.0
197901310008,1979.0821917808219,Colombia,2.0
197902020004,1979.0876712328768,Colombia,7.0
197902060003,1979.0986301369862,Colombia,2.0
197902090002,1979.1068493150685,Colombia,4.0
197902120003,1979.1150684931506,Colombia,1.0
197902150004,1979.123287671233,Colombia,1.0
197902180004,1979.131506849315,Colombia,1.0
197903080002,1979.1808219178083,Colombia,6.0
197903130004,1979.194520547945,Colombia,3.0
197903220013,1979.2191780821918,Brazil,1.0
197903270007,1979.2328767123288,Colombia,1.0
197903280001,1979.2356164383561,Colombia,2.0
197904040002,1979.2547945205479,Colombia,3.0
197904140002,1979.282191780822,Argentina,1.0
197904180003,1979.2931506849316,Colombia,1.0
197904190005,1979.295890410959,Colombia,4.0
197904200001,1979.2986301369863,Chile,1.0
197904260006,1979.3150684931506,Colombia,1.0
197905030003,1979.3342465753424,Colombia,1.0
197905030004,1979.3342465753424,Colombia,2.0
197905050014,1979.3397260273973,Colombia,2.0
197905110009,1979.3561643835617,Colombia,3.0
197905120014,1979.358904109589,Colombia,2.0
197905120016,1979.358904109589,Colombia,2.0
197905130011,1979.3616438356164,Colombia,2.0
197905140007,1979.3643835616438,Colombia,3.0
197905170020,1979.372602739726,Colombia,1.0
197905250002,1979.3945205479451,Chile,1.0
197906180002,1979.4602739726026,Colombia,1.0
197906210003,1979.468493150685,Chile,1.0
197906230002,1979.4739726027397,Colombia,1.0
197906240009,1979.4767123287672,Colombia,1.0
197907120004,1979.5260273972603,Colombia,1.0
197907130004,1979.5287671232877,Colombia,3.0
197907200002,1979.5479452054794,Colombia,1.0
197907200003,1979.5479452054794,Colombia,1.0
197907280003,1979.5698630136985,Colombia,2.0
197908070004,1979.5972602739726,Colombia,2.0
197908070007,1979.5972602739726,Colombia,2.0
197908100005,1979.6054794520549,Colombia,2.0
197908110003,1979.6082191780822,Colombia,3.0
197908130003,1979.613698630137,Colombia,6.0
197908140011,1979.6164383561643,Chile,1.0
197908160002,1979.6219178082192,Brazil,1.0
197908290012,1979.6575342465753,Colombia,7.0
197909060001,1979.6794520547944,Chile,1.0
197909100002,1979.690410958904,Colombia,1.0
197909120004,1979.695890410959,Colombia,1.0
197909120005,1979.695890410959,Colombia,1.0
197909120008,1979.695890410959,Colombia,1.0
197909150007,1979.704109589041,Colombia,1.0
197909170006,1979.7095890410958,Colombia,1.0
197909200003,1979.717808219178,Colombia,1.0
197909200004,1979.717808219178,Colombia,1.0
197909270003,1979.7369863013698,Argentina,2.0
197909270006,1979.7369863013698,Argentina,2.0
197909300005,1979.7452054794521,Colombia,1.0
197910020001,1979.7506849315068,Colombia,7.0
197910250008,1979.813698630137,Colombia,1.0
197910250009,1979.813698630137,Guyana,1.0
197911020003,1979.835616438356,Colombia,3.0
197911090003,1979.854794520548,Colombia,2.0
197911110001,1979.8602739726027,Colombia,1.0
197911130002,1979.8657534246574,Argentina,2.0
197911130005,1979.8657534246574,Argentina,4.0
197911130006,1979.8657534246574,Colombia,2.0
197911170002,1979.876712328767,Colombia,2.0
197911170004,1979.876712328767,Colombia,3.0
197911240006,1979.8958904109588,Chile,1.0
197911250002,1979.8986301369864,Colombia,1.0
197911270002,1979.9041095890411,Colombia,2.0
197911270004,1979.9041095890411,Colombia,2.0
197912020002,1979.9178082191781,Colombia,7.0
197912050002,1979.9260273972602,Colombia,1.0
197912070003,1979.9315068493152,Brazil,2.0
198001080001,1980.01912568306,Colombia,3.0
198001190002,1980.049180327869,Colombia,1.0
198001200008,1980.051912568306,Colombia,3.0
198002050002,1980.0956284153006,Colombia,1.0
198002060002,1980.0983606557377,Colombia,3.0
198002110004,1980.1120218579235,Colombia,1.0
198002210005,1980.139344262295,Colombia,1.0
198002240002,1980.1475409836066,Colombia,1.0
198002270001,1980.155737704918,Colombia,1.0
198003010007,1980.1639344262296,Colombia,1.0
198003020001,1980.1666666666667,Colombia,1.0
198003180002,1980.2103825136612,Brazil,2.0
198003180003,1980.2103825136612,Brazil,2.0
198003220001,1980.22131147541,Bolivia,1.0
198003240002,1980.2267759562842,Chile,1.0
198003280002,1980.2377049180327,Colombia,2.0
198004040007,1980.2568306010928,Colombia,3.0
198004190001,1980.2978142076502,Chile,2.0
198004270002,1980.3196721311476,Chile,1.0
198004280006,1980.3224043715848,Chile,1.0
198004280011,1980.3224043715848,Chile,1.0
198005020006,1980.3333333333333,Colombia,1.0
198005100001,1980.3551912568305,Colombia,3.0
198005120001,1980.360655737705,Colombia,5.0
198005290001,1980.4071038251366,Colombia,2.0
198006010006,1980.4153005464482,Colombia,1.0
198006020007,1980.4180327868853,Brazil,7.0
198006120023,1980.4453551912568,Colombia,1.0
198006130004,1980.448087431694,Colombia,4.0
198006130009,1980.448087431694,Guyana,1.0
198006180001,1980.4617486338798,Bolivia,2.0
198006240005,1980.4781420765028,Colombia,1.0
198006240006,1980.4781420765028,Colombia,3.0
198006260001,1980.483606557377,Bolivia,2.0
198007170007,1980.5409836065573,Bolivia,2.0
198007290004,1980.5737704918033,Colombia,1.0
198008050002,1980.5928961748634,Bolivia,1.0
198008190010,1980.6311475409836,Colombia,3.0
198008210004,1980.636612021858,Colombia,1.0
198008270002,1980.6530054644809,Brazil,1.0
198008280007,1980.655737704918,Peru,1.0
198009010004,1980.6666666666667,Venezuela,1.0
198009020001,1980.6693989071039,Colombia,1.0
198009030008,1980.672131147541,Colombia,1.0
198009030011,1980.672131147541,Colombia,2.0
198009150003,1980.704918032787,Colombia,2.0
198009170003,1980.7103825136612,Paraguay,3.0
198009200005,1980.7185792349726,Bolivia,3.0
198009280001,1980.74043715847,Colombia,1.0
198009280002,1980.74043715847,Colombia,1.0
198010070006,1980.7650273224044,Colombia,2.0
198010070007,1980.7650273224044,Colombia,5.0
198010070008,1980.7650273224044,Colombia,7.0
198010080010,1980.7677595628415,Colombia,1.0
198010100004,1980.7732240437158,Colombia,1.0
198010150003,1980.7868852459017,Brazil,4.0
198010200005,1980.8005464480875,Colombia,1.0
198010270004,1980.8196721311476,Colombia,1.0
198010280001,1980.8224043715848,Ecuador,2.0
198011030009,1980.8387978142077,Colombia,1.0
198011110008,1980.860655737705,Colombia,1.0
198011150002,1980.8715846994535,Venezuela,2.0
198011160003,1980.8743169398906,Brazil,3.0
198011190004,1980.8825136612022,Colombia,1.0
198011210012,1980.8879781420765,Peru,1.0
198011240003,1980.896174863388,Colombia,2.0
198011240005,1980.896174863388,Colombia,3.0
198012050004,1980.9262295081967,Colombia,4.0
198012210001,1980.9699453551912,Colombia,70.0
198012210004,1980.9699453551912,Colombia,1.0
198012290003,1980.9918032786886,Colombia,1.0
198012290004,1980.9918032786886,Colombia,1.0
198101020003,1981.0027397260274,Colombia,1.0
198101040005,1981.0082191780823,Colombia,2.0
198101080001,1981.0191780821917,Colombia,2.0
198101110001,1981.027397260274,Colombia,4.0
198101150001,1981.0383561643835,Colombia,3.0
198101180001,1981.0465753424658,Colombia,1.0
198101180002,1981.0465753424658,Peru,1.0
198101190001,1981.0493150684931,Colombia,1.0
198101190004,1981.0493150684931,Colombia,1.0
198101190006,1981.0493150684931,Colombia,3.0
198101190007,1981.0493150684931,Colombia,5.0
198101230003,1981.0602739726028,Colombia,3.0
198102010006,1981.0849315068492,Colombia,2.0
198102150001,1981.123287671233,Colombia,1.0
198102150002,1981.123287671233,Colombia,1.0
198102150003,1981.123287671233,Colombia,3.0
198102230001,1981.145205479452,Colombia,1.0
198103010012,1981.1616438356164,Colombia,1.0
198103060007,1981.1753424657534,Colombia,3.0
198103110007,1981.1890410958904,Colombia,6.0
