eventid,year,country_txt,nkill
197011010001,1970.8328767123287,Pakistan,4.0
197501190004,1975.0027397260274,India,4.0
197502080001,1975.1041095890412,Pakistan,1.0
197507270002,1975.5671232876712,Sri Lanka,1.0
197610110002,1976.775956284153,Pakistan,1.0
197808020008,1978.5835616438355,Pakistan,1.0
197808050001,1978.5917808219178,Pakistan,4.0
197901140001,1979.035616438356,India,3.0
197902010007,1979.0849315068492,Pakistan,6.0
197902010008,1979.0849315068492,Sri Lanka,1.0
197902140010,1979.1205479452055,Afghanistan,1.0
197903220008,1979.2191780821918,Sri Lanka,1.0
197904260007,1979.3150684931506,India,4.0
197906140040,1979.4493150684932,India,1.0
197907010008,1979.495890410959,India,2.0
197908080005,1979.6,India,1.0
197908190001,1979.6301369863013,India,1.0
197908200003,1979.6328767123289,India,1.0
197908250002,1979.6465753424657,India,1.0
197908260001,1979.6493150684933,India,1.0
197908270005,1979.6520547945206,Afghanistan,50.0
197908270006,1979.6520547945206,India,1.0
197908270007,1979.6520547945206,India,1.0
197908290001,1979.6575342465753,India,3.0
197909080001,1979.6849315068494,India,3.0
197909090001,1979.6876712328767,Afghanistan,2.0
197909220008,1979.7232876712328,India,4.0
197912120004,1979.945205479452,India,1.0
197912200009,1979.9671232876713,India,3.0
198001010005,1980.0,India,1.0
198001090004,1980.0218579234972,India,2.0
198003210002,1980.2185792349726,India,1.0
198003210009,1980.2185792349726,India,4.0
198004040001,1980.2568306010928,India,2.0
198004250006,1980.3142076502731,India,1.0
198005080002,1980.3497267759562,Pakistan,17.0
198005230003,1980.3907103825136,Bangladesh,6.0
198008270001,1980.6530054644809,India,6.0
198101150006,1981.0383561643835,India,6.0
198102160001,1981.1260273972603,Pakistan,1.0
198103020005,1981.164383561644,Pakistan,1.0
198104060001,1981.2602739726028,India,1.0
198104270005,1981.317808219178,India,3.0
198105300001,1981.4082191780822,Bangladesh,6.0
198109010007,1981.6657534246576,India,9.0
198109150003,1981.704109589041,India,1.0
198109250001,1981.731506849315,Pakistan,2.0
198110150003,1981.786301369863,Sri Lanka,3.0
198110160001,1981.7890410958903,India,1.0
198111290002,1981.9095890410958,India,3.0
198202190003,1982.1342465753426,India,20.0
198206040005,1982.4219178082192,India,6.0
198206090001,1982.4356164383562,India,19.0
198206090002,1982.4356164383562,Sri Lanka,2.0
198206140006,1982.4493150684932,India,1.0
198206150001,1982.4520547945206,India,1.0
198206200004,1982.4657534246576,India,4.0
198208200020,1982.6328767123289,India,1.0
198209130004,1982.6986301369864,Pakistan,3.0
198210000012,1982.7479452054795,India,5.0
198210250009,1982.813698630137,India,6.0
198210260011,1982.8164383561643,India,1.0
198210270009,1982.8191780821917,Sri Lanka,5.0
198302150003,1983.123287671233,India,1.0
198303210008,1983.2164383561644,India,1.0
198303300002,1983.2410958904109,India,10.0
198304070001,1983.2630136986302,India,2.0
198304250001,1983.3123287671233,India,2.0
198306010005,1983.4136986301369,Sri Lanka,2.0
198306260013,1983.482191780822,India,1.0
198306270002,1983.4849315068493,India,2.0
198307060008,1983.509589041096,Pakistan,8.0
198308100002,1983.6054794520549,Sri Lanka,2.0
198308140002,1983.6164383561643,Sri Lanka,1.0
198308150003,1983.6191780821919,India,2.0
198309210003,1983.7205479452055,India,2.0
198309230004,1983.7260273972602,India,1.0
198309260001,1983.7342465753425,India,3.0
198310130002,1983.7808219178082,India,4.0
198310130003,1983.7808219178082,India,4.0
198310150004,1983.786301369863,India,3.0
198310170004,1983.7917808219179,India,1.0
198310250001,1983.813698630137,Pakistan,2.0
198311070002,1983.849315068493,India,14.0
198311150003,1983.8712328767124,India,1.0
198311180010,1983.8794520547945,India,4.0
198311300002,1983.9123287671232,Sri Lanka,1.0
198312200003,1983.9671232876713,India,1.0
198402000002,1984.0846994535518,India,2.0
198402010007,1984.0846994535518,India,4.0
198402070003,1984.1010928961748,India,1.0
198402150020,1984.122950819672,India,1.0
198402160009,1984.1256830601094,India,1.0
198402160010,1984.1256830601094,India,1.0
198402260004,1984.1530054644809,India,3.0
198402260005,1984.1530054644809,India,5.0
198402290017,1984.1612021857923,India,3.0
198403030002,1984.1693989071039,Sri Lanka,1.0
198403050002,1984.1748633879781,Sri Lanka,1.0
198403050003,1984.1748633879781,Sri Lanka,1.0
198403150008,1984.2021857923498,India,14.0
198403230005,1984.224043715847,India,1.0
198403250003,1984.2295081967213,India,1.0
198403260012,1984.2322404371585,Sri Lanka,3.0
198403270010,1984.2349726775956,Sri Lanka,3.0
198403280004,1984.2377049180327,Sri Lanka,7.0
198403280007,1984.2377049180327,India,2.0
198403290013,1984.24043715847,Sri Lanka,2.0
198403300002,1984.2431693989072,India,4.0
198403300003,1984.2431693989072,India,1.0
198404000006,1984.2486338797814,Sri Lanka,2.0
198404000007,1984.2486338797814,Sri Lanka,2.0
198404000008,1984.2486338797814,Sri Lanka,2.0
198404010007,1984.2486338797814,India,2.0
198404020001,1984.2513661202186,India,3.0
198404030005,1984.2540983606557,India,1.0
198404050013,1984.25956284153,India,2.0
198404080002,1984.2677595628415,India,1.0
198404080005,1984.2677595628415,India,1.0
198404090006,1984.2704918032787,Sri Lanka,2.0
198404090007,1984.2704918032787,Sri Lanka,3.0
198404110005,1984.275956284153,Sri Lanka,5.0
198404110006,1984.275956284153,India,2.0
198404110007,1984.275956284153,India,1.0
198404110008,1984.275956284153,India,1.0
198404110013,1984.275956284153,India,2.0
198404120001,1984.27868852459,India,1.0
198404140001,1984.2841530054645,India,1.0
198404140002,1984.2841530054645,India,1.0
198404160008,1984.2896174863388,India,1.0
198404160009,1984.2896174863388,India,1.0
198404160010,1984.2896174863388,India,1.0
198404170009,1984.292349726776,India,2.0
198404170012,1984.292349726776,India,1.0
198404190007,1984.2978142076502,India,2.0
198404210006,1984.3032786885246,India,1.0
198404220003,1984.3060109289618,India,1.0
198404220010,1984.3060109289618,India,3.0
198404230008,1984.308743169399,India,1.0
198404230014,1984.308743169399,India,6.0
198404240001,1984.311475409836,India,2.0
198404240002,1984.311475409836,India,1.0
198404260009,1984.3169398907103,India,1.0
198404260010,1984.3169398907103,India,1.0
198404300003,1984.327868852459,India,2.0
198404300004,1984.327868852459,Sri Lanka,1.0
198405010014,1984.3306010928961,India,3.0
198405020005,1984.3333333333333,Sri Lanka,1.0
198405040006,1984.3387978142077,Sri Lanka,1.0
198405060005,1984.344262295082,India,1.0
198405070001,1984.3469945355191,India,1.0
198405100009,1984.3551912568305,India,1.0
198405120006,1984.360655737705,India,1.0
198405130009,1984.363387978142,India,1.0
198405140002,1984.3661202185792,India,3.0
198405140010,1984.3661202185792,India,3.0
198405180008,1984.377049180328,India,1.0
198405200001,1984.3825136612022,India,1.0
198405210010,1984.3852459016393,India,1.0
198405210012,1984.3852459016393,India,1.0
198405210013,1984.3852459016393,India,4.0
198405230006,1984.3907103825136,India,3.0
198405250006,1984.396174863388,India,1.0
198405290004,1984.4071038251366,India,2.0
198405300004,1984.4098360655737,India,2.0
198405300005,1984.4098360655737,India,2.0
198406010002,1984.4153005464482,India,4.0
198406020002,1984.4180327868853,India,3.0
198406020003,1984.4180327868853,India,1.0
198406020004,1984.4180327868853,India,1.0
198406020005,1984.4180327868853,India,1.0
198406050003,1984.4262295081967,Sri Lanka,3.0
198406050007,1984.4262295081967,Sri Lanka,1.0
198406050009,1984.4262295081967,Sri Lanka,3.0
198406110008,1984.4426229508197,Sri Lanka,18.0
198406150005,1984.4535519125684,India,1.0
