eventid,year,country_txt,nkill
197001000001,1970.0,Philippines,1.0
197003240001,1970.2246575342465,Philippines,1.0
197004020001,1970.2493150684932,Philippines,2.0
197004210001,1970.3013698630136,Philippines,36.0
197006020001,1970.4164383561645,Philippines,1.0
197109000002,1971.6657534246576,Cambodia,2.0
197203270001,1972.2349726775956,Philippines,1.0
197206210001,1972.4699453551912,Philippines,1.0
197209000001,1972.7377049180327,Cambodia,1.0
197404130001,1974.2794520547945,Philippines,3.0
197404230001,1974.3068493150686,Thailand,2.0
197506150004,1975.4520547945206,Philippines,1.0
197602210003,1976.139344262295,Philippines,8.0
197605210003,1976.3852459016393,Philippines,13.0
197605240001,1976.3934426229507,Philippines,16.0
197606170002,1976.4590163934427,Philippines,3.0
197606230002,1976.4754098360656,Philippines,7.0
197709220006,1977.7232876712328,Thailand,1.0
197711290004,1977.9095890410958,Indonesia,1.0
197712040003,1977.9232876712329,Malaysia,100.0
197801140001,1978.035616438356,Philippines,4.0
197801190003,1978.0493150684931,Philippines,2.0
197804130005,1978.2794520547945,Philippines,43.0
197804190008,1978.295890410959,Philippines,2.0
197804200002,1978.2986301369863,Philippines,2.0
197808130004,1978.613698630137,Philippines,5.0
197808220003,1978.6383561643836,Philippines,6.0
197808300004,1978.6602739726027,Thailand,6.0
197809020002,1978.668493150685,Philippines,10.0
197809020003,1978.668493150685,Philippines,4.0
197809090007,1978.6876712328767,Philippines,6.0
197809100013,1978.690410958904,Philippines,3.0
197809110003,1978.6931506849314,Philippines,4.0
197809160010,1978.7068493150684,Philippines,3.0
197809180006,1978.7123287671234,Philippines,8.0
197809210005,1978.7205479452055,Philippines,3.0
197809250002,1978.731506849315,Philippines,2.0
197809300008,1978.7452054794521,Thailand,9.0
197810190002,1978.7972602739726,Thailand,14.0
197811030001,1978.8383561643836,Philippines,16.0
197811170007,1978.876712328767,Philippines,1.0
197812010004,1978.9150684931508,Philippines,1.0
197812010005,1978.9150684931508,Philippines,3.0
197812230003,1978.9753424657533,Cambodia,1.0
197901020004,1979.0027397260274,Myanmar,3.0
197901030012,1979.0054794520547,Myanmar,2.0
197901030013,1979.0054794520547,Myanmar,2.0
197901040006,1979.0082191780823,Myanmar,2.0
197901070006,1979.0164383561644,Philippines,6.0
197901090003,1979.021917808219,Myanmar,8.0
197901100007,1979.0246575342467,Philippines,8.0
197901140004,1979.035616438356,Myanmar,11.0
197901140008,1979.035616438356,Philippines,19.0
197901180010,1979.0465753424658,Philippines,3.0
197901180022,1979.0465753424658,Philippines,3.0
197901250005,1979.0657534246575,Myanmar,2.0
197902020003,1979.0876712328768,Myanmar,13.0
197902020008,1979.0876712328768,Philippines,1.0
197902030006,1979.0904109589042,Myanmar,5.0
197902030007,1979.0904109589042,Philippines,2.0
197902050007,1979.0958904109589,Philippines,2.0
197902080004,1979.1041095890412,Myanmar,1.0
197902130007,1979.1178082191782,Myanmar,6.0
197902150010,1979.123287671233,Thailand,6.0
197903090004,1979.1835616438357,Myanmar,5.0
197903200002,1979.213698630137,Myanmar,4.0
197903200003,1979.213698630137,Myanmar,22.0
197903250006,1979.227397260274,Philippines,1.0
197903250007,1979.227397260274,Philippines,1.0
197904010003,1979.2465753424658,Thailand,1.0
197904140003,1979.282191780822,Philippines,4.0
197904190010,1979.295890410959,Thailand,1.0
197904210008,1979.3013698630136,Thailand,4.0
197904220003,1979.304109589041,Thailand,2.0
197904220006,1979.304109589041,Thailand,1.0
197905000002,1979.3287671232877,Philippines,1.0
197905000003,1979.3287671232877,Philippines,1.0
