eventid,year,country_txt,nkill
197002100001,1970.109589041096,West Germany (FRG),1.0
197002130002,1970.1178082191782,West Germany (FRG),7.0
197002210002,1970.1397260273973,Switzerland,47.0
197004030001,1970.2520547945205,Ireland,1.0
197006260001,1970.482191780822,United Kingdom,5.0
197006270001,1970.4849315068493,United Kingdom,3.0
197006270002,1970.4849315068493,United Kingdom,1.0
197006270003,1970.4849315068493,United Kingdom,1.0
197006270004,1970.4849315068493,United Kingdom,3.0
197008110001,1970.6082191780822,United Kingdom,2.0
197009020001,1970.668493150685,Greece,2.0
197009040003,1970.6739726027397,United Kingdom,1.0
197009060004,1970.6794520547944,Netherlands,1.0
197009300001,1970.7452054794521,United Kingdom,1.0
197011160002,1970.8739726027397,United Kingdom,2.0
197012230001,1970.9753424657533,United Kingdom,1.0
197101270004,1971.0712328767124,United Kingdom,1.0
197102060002,1971.0986301369862,United Kingdom,1.0
197102070001,1971.1013698630136,United Kingdom,1.0
197102090001,1971.1068493150685,United Kingdom,5.0
197102150002,1971.123287671233,United Kingdom,1.0
197102260001,1971.1534246575343,United Kingdom,2.0
197103080003,1971.1808219178083,United Kingdom,1.0
197103100003,1971.186301369863,United Kingdom,1.0
197104070002,1971.2630136986302,Sweden,1.0
197105080002,1971.3479452054794,United Kingdom,1.0
197105220001,1971.386301369863,United Kingdom,1.0
197105250002,1971.3945205479451,United Kingdom,1.0
197107120001,1971.5260273972603,United Kingdom,1.0
197107140001,1971.531506849315,United Kingdom,1.0
197108080001,1971.6,United Kingdom,1.0
197108090002,1971.6027397260275,United Kingdom,1.0
197108090003,1971.6027397260275,United Kingdom,1.0
197108100001,1971.6054794520549,United Kingdom,1.0
197108110003,1971.6082191780822,United Kingdom,1.0
197108110004,1971.6082191780822,United Kingdom,1.0
197108140001,1971.6164383561643,United Kingdom,1.0
197108250001,1971.6465753424657,United Kingdom,1.0
197108250002,1971.6465753424657,United Kingdom,1.0
197108290004,1971.6575342465753,United Kingdom,1.0
197108300001,1971.6602739726027,United Kingdom,1.0
197109030001,1971.6712328767123,United Kingdom,1.0
197109030002,1971.6712328767123,United Kingdom,1.0
197109040001,1971.6739726027397,United Kingdom,1.0
197109090002,1971.6876712328767,United Kingdom,1.0
197109130001,1971.6986301369864,United Kingdom,1.0
197109130002,1971.6986301369864,United Kingdom,1.0
197109140001,1971.7013698630137,United Kingdom,1.0
197109140002,1971.7013698630137,United Kingdom,1.0
197109140003,1971.7013698630137,United Kingdom,1.0
197109160002,1971.7068493150684,United Kingdom,1.0
