imonth,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,459.0,0.0,0.0,45.0,0.0,18.0,16.0,28.0,24.0,25.0,18.0,110.0
2,0.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,22.0,74.0,28.0,0.0,0.0,2.0,18.0,45.0,80.0,55.0,23.0,132.0
3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,7.0,12.0,20.0,0.0,0.0,15.0,0.0,21.0,25.0,89.0,50.0,17.0,38.0
4,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,20.0,16.0,38.0,15.0,46.0,24.0,29.0,117.0
5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,20.0,0.0,121.0,0.0,2.0,48.0,21.0,1.0,43.0,57.0,68.0,37.0,99.0,134.0
6,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.0,2.0,0.0,1.0,18.0,10.0,16.0,3.0,16.0,0.0,5.0,25.0,0.0,73.0,2.0,103.0,131.0
7,0.0,0.0,0.0,30.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,30.0,13.0,22.0,50.0,149.0
8,0.0,67.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,125.0,3.0,0.0,4.0,0.0,5.0,15.0,80.0,74.0,23.0,17.0,120.0
9,0.0,0.0,0.0,10.0,4.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,9.0,53.0,75.0,10.0,53.0,39.0,145.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,0.0,10.0,14.0,10.0,129.0,47.0,40.0,46.0,61.0,10.0,91.0
11,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,17.0,0.0,7.0,159.0,4.0,80.0,33.0,55.0,18.0,64.0,103.0,90.0
12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,7.0,0.0,0.0,0.0,80.0,84.0,46.0,82.0,55.0,577.0,134.0,99.0
