imonth,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,41.0,0.0,67.0,65.0,24.0,10.0,45.0,24.0,0.0
2,0.0,103.0,214.0,3.0,0.0,1.0,11.0,0.0,1.0
3,3.0,0.0,1.0,2.0,12.0,34.0,0.0,2.0,2.0
4,0.0,15.0,413.0,12.0,3.0,95.0,2.0,0.0,0.0
5,0.0,11.0,27.0,5.0,0.0,35.0,0.0,0.0,4.0
6,0.0,0.0,0.0,5.0,86.0,25.0,16.0,0.0,0.0
7,0.0,0.0,26.0,7.0,5.0,0.0,21.0,0.0,23.0
8,24.0,0.0,135.0,6.0,292.0,23.0,0.0,41.0,20.0
9,0.0,0.0,14.0,14.0,52.0,27.0,1.0,0.0,4.0
10,0.0,79.0,11.0,52.0,105.0,96.0,0.0,0.0,2.0
11,0.0,0.0,0.0,27.0,48.0,212.0,1.0,0.0,0.0
12,0.0,18.0,0.0,20.0,6.0,23.0,0.0,0.0,0.0
